N	2gram	Tiupa_Hudo_1	FransuaR
1	и в	14	29
2	и не	2	16
3	и все	4	13
4	в этой	8	13
5	как и	9	12
6	но в	5	12
7	так и	13	11
8	и на	3	11
9	в этом	11	11
10	то же	9	10
11	как мы	3	10
12	мы уже	4	10
13	в то	8	10
14	не только	12	10
15	в конце	4	9
16	но и	5	9
17	все эти	3	9
18	и с	4	9
19	его в	3	9
20	же время	8	8
21	прежде всего	11	8
22	в его	8	8
23	и его	5	8
24	как бы	7	8
25	в том	12	7
26	из них	4	6
27	своего рода	7	6
28	но он	3	6
29	поэтому и	2	5
30	у него	9	5
31	это не	7	5
32	до конца	2	5
33	и о	4	5
34	в нем	3	5
35	в своей	10	5
36	и по	3	5
37	перед нами	5	4
38	только для	2	4
39	с его	5	4
40	в литературе	3	4
41	что он	9	4
42	по своему	3	4
43	еще не	7	4
44	один из	4	4
45	то что	8	4
46	жизни и	5	4
47	все это	2	4
48	на самом	2	4
49	в результате	2	4
50	тем что	3	4
51	точки зрения	5	4
52	в частности	5	3
53	в качестве	9	3
54	в своем	4	3
55	превращается в	3	3
56	и так	2	3
57	с ее	2	3
58	что у	3	3
59	в ее	3	3
60	все же	3	3
61	но как	2	3
62	том что	16	3
63	то в	4	3
64	такой же	3	3
65	того что	4	3
66	той же	2	3
67	по преимуществу	3	3
68	он не	4	3
69	здесь не	2	3
70	как к	3	3
71	одновременно и	5	3
72	при этом	12	3
73	там же	2	3
74	того чтобы	3	3
75	и даже	3	3
76	особенно в	2	3
77	с ними	2	3
78	не случайно	7	3
79	в ней	4	3
80	в себе	11	3
81	по своей	4	3
82	своего времени	3	3
83	связи с	4	2
84	в этих	5	2
85	жизни в	6	2
86	быть может	7	2
87	это в	3	2
88	к тому	7	2
89	и к	4	2
90	одной из	2	2
91	ни в	5	2
92	да и	2	2
93	что я	2	2
94	тех кто	2	2
95	именно в	7	2
96	на этом	3	2
97	но не	3	2
98	о своей	2	2
99	в себя	2	2
100	не может	7	2
101	на его	2	2
102	может быть	5	2
103	хотя и	2	2
104	никогда не	6	2
105	уже не	7	2
106	а также	3	2
107	если в	2	2
108	со стороны	3	2
109	раз в	2	2
110	и для	3	2
111	себя в	4	2
112	также в	2	2
113	как в	8	2
114	в их	2	2
115	как раз	4	2
116	о природе	3	2
117	во второй	5	2
118	они не	2	2
119	с точки	3	2
120	бы на	2	2
121	не столько	2	2
122	друг друга	5	2
123	в своих	3	2
124	в одной	2	2
125	еще раз	2	2
126	как будто	4	2
127	только в	5	2
128	о том	12	2
129	как он	2	2
130	и это	4	2
131	нет ничего	2	2
132	так сказать	2	2
133	с ним	4	2
134	по адресу	2	2
