N	2gram	Bakhtin_Fr_5	TeoriaLi
1	не только	14	18
2	в качестве	2	17
3	и не	15	16
4	а в	4	14
5	и в	45	13
6	может быть	2	12
7	так и	6	12
8	то есть	25	12
9	при этом	2	11
10	в этом	14	11
11	в том	10	11
12	но не	4	10
13	а не	4	10
14	и его	13	10
15	в его	13	9
16	то же	11	9
17	что в	12	8
18	своего рода	4	8
19	но и	10	8
20	том что	7	7
21	во второй	2	7
22	в отличие	2	7
23	в данном	2	7
24	точки зрения	4	7
25	в то	11	7
26	только в	4	7
27	как это	4	7
28	отличие от	2	7
29	с его	7	6
30	же время	9	6
31	в первой	4	6
32	лишь в	2	6
33	как бы	12	6
34	но в	14	6
35	и одновременно	3	5
36	в своем	11	5
37	а также	4	5
38	как и	10	5
39	не в	7	5
40	в пределах	2	5
41	в самом	4	5
42	в нем	10	5
43	данном случае	2	5
44	как в	3	5
45	он не	6	5
46	между тем	2	5
47	не менее	3	4
48	не столько	2	4
49	можно сказать	2	4
50	ни в	3	4
51	в своей	3	4
52	то что	2	4
53	в их	4	4
54	и т.п	16	4
55	не может	5	4
56	сказать что	4	4
57	хотя и	5	4
58	но он	3	4
59	говорить о	2	4
60	мира и	8	4
61	перед нами	4	3
62	и др	8	3
63	в отношении	2	3
64	он должен	2	3
65	прежде всего	10	3
66	и к	5	3
67	в акте	5	3
68	по своему	4	3
69	для него	3	3
70	того что	3	3
71	например в	5	3
72	в сторону	2	3
73	с ее	5	3
74	во времени	2	3
75	как раз	5	3
76	так в	2	3
77	таким образом	8	3
78	именно в	3	3
79	в другом	3	3
80	и вот	3	3
81	и что	2	3
82	потому что	7	3
83	в основе	4	3
84	в этой	6	3
85	и т.д	2	3
86	его в	5	3
87	все эти	5	3
88	в эпизоде	9	3
89	человека с	5	3
90	но на	3	2
91	о чем	3	2
92	себя и	2	2
93	в конце	7	2
94	жизни в	2	2
95	того же	3	2
96	это не	3	2
97	на фоне	2	2
98	вовсе не	8	2
99	что он	6	2
100	к тому	2	2
101	об этом	4	2
102	и как	5	2
103	в большинстве	2	2
104	и больше	2	2
105	одной из	5	2
106	даже в	2	2
107	не могло	3	2
108	к нему	2	2
109	в целом	2	2
110	во всех	13	2
111	вместе с	3	2
112	но она	3	2
113	а именно	2	2
114	здесь не	6	2
115	в романе	11	2
116	и для	3	2
117	это и	5	2
118	в себя	5	2
119	в году	3	2
120	и о	4	2
121	с точки	2	2
122	и даже	4	2
123	и притом	2	2
124	так же	8	2
125	право на	10	2
126	роль в	2	2
127	у него	4	2
128	и здесь	4	2
129	о том	4	2
130	и это	4	2
131	в чем	2	2
132	это было	4	2
