N	2gram	Savitsky_E_1	Problema
1	то есть	6	39
2	то что	6	38
3	и не	14	37
4	вовсе не	6	37
5	и в	37	35
6	не есть	2	33
7	сказать что	4	24
8	не только	18	24
9	том что	6	19
10	о том	3	18
11	может быть	6	18
12	в этом	12	17
13	но и	14	16
14	только в	9	14
15	и что	2	13
16	потому что	3	13
17	во всяком	3	13
18	не может	9	13
19	в том	11	12
20	того что	7	12
21	также и	7	12
22	хотя бы	15	12
23	что в	21	11
24	прежде всего	9	11
25	и даже	6	11
26	не будет	3	11
27	в таком	3	11
28	всяком случае	3	10
29	и с	2	10
30	тем более	4	10
31	а не	2	10
32	в данном	3	10
33	и то	2	10
34	для нас	4	9
35	в этой	2	9
36	что же	2	9
37	было бы	8	8
38	по себе	4	8
39	при помощи	2	8
40	не является	3	7
41	не имеет	4	7
42	того или	4	7
43	в его	2	7
44	так и	10	7
45	бы и	3	7
46	так как	7	7
47	тем самым	5	7
48	мы не	4	7
49	можно ли	3	6
50	с другой	7	6
51	что все	2	6
52	можно сказать	4	6
53	а именно	2	6
54	но как	2	6
55	в то	16	6
56	на то	6	6
57	есть не	2	6
58	при условии	2	6
59	и для	3	6
60	мы можем	3	6
61	в виде	5	6
62	но в	14	6
63	как будто	2	6
64	в области	11	6
65	в частности	5	5
66	представление о	2	5
67	или иной	4	5
68	в самом	4	5
69	той или	4	5
70	отнюдь не	9	5
71	данном случае	2	5
72	или иного	4	5
73	с этим	2	5
74	с одной	8	5
75	так же	9	5
76	и на	6	5
77	и более	2	5
78	между собой	2	5
79	и все	2	5
80	этом смысле	3	5
81	как и	7	5
82	по своему	7	5
83	то же	15	5
84	как мы	5	5
85	одной стороны	8	5
86	другой стороны	2	5
87	можно было	3	5
88	с другими	2	5
89	в себе	9	5
90	не могут	2	4
91	не говоря	2	4
92	что если	2	4
93	в этих	2	4
94	в своем	14	4
95	в отношении	32	4
96	что на	2	4
97	как же	2	4
98	и как	2	4
99	есть в	2	4
100	не можем	2	4
101	это значит	2	4
102	в общем	3	4
103	как бы	6	4
104	и тут	2	4
105	говоря уже	2	4
106	и тем	3	4
107	и только	3	4
108	таким образом	2	4
109	заключается в	2	4
110	а в	2	4
111	вообще не	3	4
112	в результате	3	4
113	но если	5	4
114	тем что	3	4
115	если бы	2	4
116	стороны и	6	4
117	но не	5	4
118	но именно	2	4
119	в каком	4	4
120	или по	2	4
121	далеко не	2	4
122	он сам	2	3
123	но даже	4	3
124	и от	3	3
125	вопрос о	4	3
126	к тому	8	3
127	и можно	2	3
128	несмотря на	4	3
129	и если	2	3
130	хотя и	2	3
131	в их	11	3
132	то ни	4	3
133	относятся к	2	3
134	и наконец	2	3
135	и по	5	3
136	в своих	2	3
137	в истории	2	3
138	мы должны	2	3
139	бы в	2	3
140	то не	2	3
141	с тем	3	3
142	уже и	3	3
143	для них	2	3
144	тогда когда	2	3
145	в случае	2	3
146	и к	3	3
147	и того	2	3
148	не нужно	2	3
149	она не	2	3
150	и этот	2	3
151	в значительной	2	3
152	или точнее	2	3
153	для того	6	3
154	и притом	4	3
155	а тем	2	3
156	в той	5	2
157	не в	5	2
158	независимо от	4	2
159	как нам	5	2
160	и мы	3	2
161	к нему	2	2
162	нам кажется	7	2
163	бы то	4	2
164	друг от	2	2
165	даже в	4	2
166	или в	2	2
167	как на	3	2
168	само по	4	2
169	в ней	4	2
170	точки зрения	23	2
171	себе в	3	2
172	ведь и	2	2
173	во все	3	2
174	частности в	2	2
175	или хотя	2	2
176	значение только	2	2
177	в них	3	2
178	с и	10	2
179	утверждать что	2	2
180	представляет собой	3	2
181	в качестве	14	2
182	ли это	3	2
183	от друга	2	2
184	по преимуществу	2	2
185	он не	2	2
186	а также	7	2
187	что и	3	2
188	во всех	6	2
189	все другие	2	2
190	вместе с	2	2
191	в последние	6	2
192	и прежде	3	2
193	еще более	2	2
194	того чтобы	6	2
195	во многих	4	2
196	и поэтому	2	2
