N	2gram	Propp_Morf_1	Problemy
1	и не	12	31
2	и в	13	29
3	может быть	52	24
4	а не	11	22
5	в этом	14	22
6	т е	21	21
7	как бы	3	19
8	точки зрения	2	19
9	не только	4	15
10	то что	8	15
11	но и	4	14
12	то же	7	14
13	в пределах	3	13
14	уже не	2	13
15	с точки	2	13
16	как и	3	12
17	не может	14	12
18	таким образом	21	12
19	в то	3	10
20	только в	2	10
21	там где	5	10
22	с его	2	9
23	это не	6	9
24	все же	7	9
25	но не	4	9
26	все эти	2	9
27	если бы	2	9
28	что он	4	8
29	что в	8	8
30	отношению к	4	8
31	по отношению	4	8
32	потому что	3	8
33	в том	6	8
34	прежде всего	9	7
35	вовсе не	4	7
36	том что	4	7
37	не в	3	7
38	она не	2	7
39	так и	6	7
40	в форме	6	7
41	входит в	2	7
42	и как	5	7
43	а в	7	7
44	но в	2	7
45	не могут	4	6
46	в целом	3	6
47	несмотря на	4	6
48	к нему	3	6
49	что она	2	6
50	как в	3	6
51	самом деле	4	6
52	так же	3	6
53	могут быть	16	6
54	его в	2	6
55	так как	16	6
56	перед нами	10	5
57	и др	10	5
58	было бы	3	5
59	но все	3	5
60	еще не	3	5
61	это и	2	5
62	в сущности	3	5
63	он не	3	5
64	на самом	4	5
65	героя а	4	5
66	во всяком	2	5
67	между тем	5	5
68	ничего не	4	5
69	в результате	7	4
70	о герое	3	4
71	что и	7	4
72	но это	6	4
73	не значит	2	4
74	от того	3	4
75	не на	2	4
76	и т	41	4
77	и для	2	4
78	тем что	4	4
79	как же	2	4
80	как мы	6	4
81	героя в	4	4
82	в этой	2	4
83	что же	2	4
84	с другой	8	3
85	по существу	12	3
86	как их	2	3
87	одна из	4	3
88	и пр	37	3
89	лишь на	2	3
90	всяком случае	2	3
91	оно не	2	3
92	он может	2	3
93	на него	3	3
94	другой стороны	4	3
95	тому что	4	3
96	на котором	3	3
97	например в	2	3
98	приводит к	2	3
99	друг друга	3	3
100	тому как	5	3
101	и здесь	5	3
102	сказать что	2	3
103	подобно тому	6	3
104	но как	2	3
105	как будто	2	3
106	мы должны	3	3
107	далеко не	5	3
108	если же	5	3
109	и этим	5	3
110	то они	2	2
111	на вопрос	2	2
112	связи с	10	2
113	себя и	2	2
114	однако в	2	2
115	его и	2	2
116	то ни	3	2
117	хотя бы	4	2
118	вопрос о	7	2
119	и ее	3	2
120	и к	4	2
121	же в	2	2
122	мы видим	13	2
123	из его	2	2
124	бы то	3	2
125	эта форма	13	2
126	благодаря этому	3	2
127	есть и	4	2
128	как таковой	2	2
129	один из	5	2
130	в большинстве	3	2
131	в один	3	2
132	на его	4	2
133	и вызывает	3	2
134	то перед	5	2
135	ни было	2	2
136	нами в	2	2
137	или же	6	2
138	здесь мы	3	2
139	и что	2	2
140	из которых	3	2
141	заставляет его	2	2
142	можно было	2	2
143	этот вопрос	2	2
144	в которых	2	2
145	как например	2	2
146	на пути	4	2
147	и есть	2	2
148	в россии	2	2
149	большинстве случаев	3	2
150	заметить что	8	2
151	в которой	3	2
152	оно может	3	2
153	с этим	11	2
