N	2gram	Bakhtin_sl_2	Istorich
1	и т	35	27
2	и в	39	26
3	т д	2	24
4	то что	2	16
5	не только	24	15
6	что в	3	14
7	может быть	37	14
8	но и	21	12
9	что он	2	10
10	так и	15	10
11	таким образом	8	10
12	и его	33	10
13	что и	3	9
14	все же	6	9
15	и не	22	9
16	его в	4	9
17	так как	4	9
18	то же	4	8
19	этих случаях	2	8
20	а в	4	8
21	в этих	7	7
22	как и	6	7
23	героя в	3	7
24	он не	2	7
25	как в	13	7
26	в этом	16	7
27	не всегда	2	6
28	в дальнейшем	2	6
29	еще не	7	6
30	мы видели	2	6
31	вместе с	2	6
32	не может	20	6
33	а не	14	6
34	к нему	3	6
35	могут быть	7	6
36	как он	2	6
37	у него	3	5
38	и как	3	5
39	это не	5	5
40	в одном	2	5
41	это и	2	5
42	но все	5	5
43	но не	6	5
44	на нем	2	5
45	в его	7	5
46	мы уже	2	5
47	до сих	2	5
48	и др	4	5
49	сих пор	2	5
50	в некоторых	3	5
51	как мы	7	5
52	уже не	5	5
53	не в	9	5
54	с ними	5	5
55	и с	9	5
56	и здесь	2	5
57	в другом	2	5
58	но в	6	5
59	с другой	5	4
60	вовсе не	10	4
61	все что	2	4
62	даже в	2	4
63	так в	2	4
64	здесь не	4	4
65	того как	2	4
66	но эта	2	4
67	и даже	7	4
68	но он	2	4
69	о том	2	4
70	перед нами	3	3
71	и более	2	3
72	к своему	9	3
73	на котором	2	3
74	этом случае	6	3
75	для нас	5	3
76	в том	5	3
77	том что	5	3
78	и других	4	3
79	но это	3	3
80	и при	2	3
81	во всем	4	3
82	при этом	7	3
83	связанные с	4	3
84	она не	6	3
85	и другие	2	3
86	мы увидим	2	3
87	например в	5	3
88	на его	2	3
89	как бы	7	3
90	все эти	6	3
91	а также	3	3
92	входить в	2	3
93	но мы	2	3
94	на него	2	3
95	а именно	2	3
96	как это	3	3
97	те же	2	3
98	в свете	3	3
99	или в	2	3
100	в данном	2	3
101	связан с	3	3
102	связи с	3	3
103	только в	5	3
104	там где	6	3
105	уже в	2	2
106	не могут	5	2
107	должна быть	3	2
108	не менее	4	2
109	никогда не	7	2
110	однако в	2	2
111	его и	2	2
112	в своем	6	2
113	с этим	2	2
114	и все	5	2
115	по себе	5	2
116	с помощью	4	2
117	его как	2	2
118	ни в	4	2
119	его от	3	2
120	в истории	11	2
121	одна из	4	2
122	от него	5	2
123	на этом	3	2
124	и там	3	2
125	действительность но	2	2
126	или на	2	2
127	конечно не	5	2
128	хотя и	2	2
129	хотя бы	3	2
130	в нем	19	2
131	себя в	8	2
132	в свой	2	2
133	отношение к	4	2
134	таков например	2	2
135	в форме	2	2
136	и их	5	2
137	все это	16	2
138	в языке	2	2
139	в связи	2	2
140	лишь в	3	2
141	только с	2	2
142	и на	4	2
143	сказать что	3	2
144	в виде	2	2
145	даже и	4	2
146	в себе	2	2
147	сливается с	4	2
148	в особенности	3	2
149	в области	2	2
