N	2gram	Propp_Russ_1	Literetu
1	а не	2	20
2	и в	36	19
3	может быть	8	17
4	своего рода	3	13
5	то же	3	12
6	и не	6	11
7	в том	17	10
8	как и	10	10
9	но и	16	10
10	состоит в	8	9
11	не может	4	9
12	тогда как	2	9
13	в этом	12	9
14	не только	22	8
15	том что	19	7
16	то что	6	7
17	так и	7	7
18	не менее	3	6
19	при этом	6	6
20	и на	10	6
21	у нас	8	5
22	одна из	4	5
23	но не	2	5
24	в качестве	3	5
25	вместе с	10	5
26	так в	4	5
27	в году	2	5
28	того что	4	5
29	то есть	3	5
30	что в	19	4
31	в частности	2	4
32	отнюдь не	2	4
33	но тем	2	4
34	в ней	2	4
35	в его	2	4
36	еще в	4	4
37	один из	8	4
38	и других	7	4
39	так что	2	4
40	мы не	6	4
41	тем что	4	4
42	точки зрения	3	4
43	не случайно	2	4
44	в области	3	4
45	в нем	2	3
46	по существу	4	3
47	и как	2	3
48	но это	4	3
49	такой же	2	3
50	во всех	4	3
51	вплоть до	4	3
52	не знали	2	3
53	и др	4	3
54	не с	3	3
55	в их	4	3
56	и для	2	3
57	так как	15	3
58	с точки	3	3
59	а в	9	3
60	и с	2	3
61	как правило	3	3
62	в равной	2	3
63	ничего не	3	3
64	на этом	3	2
65	не было	2	2
66	к жизни	3	2
67	с тем	8	2
68	у него	2	2
69	себя и	2	2
70	в нашем	2	2
71	для этого	2	2
72	в них	6	2
73	в какой	2	2
74	в одном	3	2
75	в жизни	2	2
76	в каждом	2	2
77	как уже	4	2
78	и к	3	2
79	а также	3	2
80	равной степени	2	2
81	для нас	6	2
82	этом случае	5	2
83	тем не	3	2
84	е годы	2	2
85	до конца	2	2
86	еще не	4	2
87	как бы	5	2
88	если в	3	2
89	что и	7	2
90	как он	2	2
91	все же	5	2
92	и т	10	2
93	в целом	2	2
94	из них	8	2
95	могут быть	2	2
96	и до	2	2
97	в е	2	2
98	уже не	6	2
99	и что	4	2
100	в своих	2	2
101	в русском	4	2
102	потому что	10	2
103	одно из	5	2
104	на себя	2	2
105	в первый	4	2
106	о том	8	2
107	в россии	4	2
108	представляет собой	4	2
109	как это	8	2
110	с ним	2	2
111	но в	2	2
