N	2gram	Voloshinov_1	Problemy
1	и в	38	46
2	то есть	4	40
3	и не	14	27
4	может быть	13	23
5	как бы	28	19
6	не может	12	19
7	в нем	4	17
8	в этом	10	16
9	не только	27	14
10	и т.п	21	14
11	слова в	5	13
12	перед нами	3	12
13	но и	13	12
14	как и	10	12
15	как мы	9	12
16	и на	6	11
17	точки зрения	10	11
18	в одном	3	11
19	а не	6	11
20	не в	6	10
21	между ними	3	10
22	прежде всего	21	9
23	в том	2	9
24	в самом	4	9
25	и все	4	9
26	вовсе не	2	9
27	слово не	4	9
28	и к	4	9
29	в его	6	9
30	с точки	5	9
31	конечно не	3	8
32	сих пор	2	8
33	или в	2	8
34	и с	5	7
35	еще не	3	7
36	слово и	3	7
37	в себе	9	7
38	слова и	5	7
39	никогда не	7	6
40	но это	2	6
41	хотя и	3	6
42	друг друга	2	6
43	слово в	2	6
44	но в	5	6
45	что он	2	6
46	мы увидим	5	6
47	то же	14	6
48	все это	4	6
49	и он	2	6
50	и его	7	6
51	только в	6	6
52	это не	3	5
53	с самим	2	5
54	же время	7	5
55	при этом	9	5
56	и сам	2	5
57	в котором	3	5
58	к нему	2	5
59	жизни и	3	5
60	ведь и	2	5
61	в то	9	5
62	так как	7	5
63	в жизни	2	5
64	с его	7	5
65	это слово	2	5
66	установки на	2	5
67	о том	4	5
68	во всех	6	5
69	если мы	4	5
70	речи и	6	5
71	так сказать	4	5
72	уже в	5	4
73	в этих	2	4
74	можно сказать	4	4
75	слова но	3	4
76	да и	4	4
77	и нет	2	4
78	кроме того	2	4
79	в виду	3	4
80	в словах	3	4
81	слово как	7	4
82	таким образом	7	4
83	еще и	2	4
84	все эти	2	4
85	и наконец	5	4
86	должно быть	2	4
87	потому что	5	4
88	и здесь	3	4
89	мы не	9	4
90	мы можем	7	4
91	не знает	3	4
92	как в	2	4
93	точек зрения	4	4
94	том что	3	4
95	но не	2	4
96	совершенно не	3	4
97	он не	2	4
98	все же	7	4
99	то что	8	4
100	в процессе	6	4
101	так и	6	4
102	уже не	4	4
103	самом деле	4	4
104	здесь не	2	4
105	в отношении	2	3
106	к своему	4	3
107	словом и	3	3
108	в мире	2	3
109	другого человека	2	3
110	но для	3	3
111	себе и	2	3
112	и для	3	3
113	не к	3	3
114	отношение к	2	3
115	и их	5	3
116	так же	4	3
117	с помощью	6	3
118	и даже	3	3
119	также и	2	3
120	в конце	6	3
121	их в	3	3
122	бы в	5	3
123	мы имеем	2	3
124	но при	3	3
125	если бы	4	3
126	с собой	2	3
127	и несколько	2	3
128	и при	2	3
129	по своей	2	3
130	всех его	2	3
131	слов и	7	3
132	было бы	7	3
133	мы уже	10	3
134	в своей	2	3
135	что и	3	3
136	себя в	4	3
137	войти в	2	3
138	на него	4	3
139	что же	8	3
140	только на	3	3
141	для наших	2	3
142	еще более	2	3
143	в той	5	3
144	тем же	3	3
145	той же	5	3
146	в слове	3	3
147	слова как	2	3
148	между двумя	2	3
149	тем что	2	3
150	в этой	6	3
151	и т.д	21	3
152	и это	7	3
153	зрения как	2	2
154	и речь	2	2
155	вопрос о	2	2
156	или иной	4	2
157	человек с	2	2
158	к тому	4	2
159	оно является	2	2
160	все время	5	2
161	для нас	3	2
162	слова мы	2	2
163	мы будем	6	2
164	и как	9	2
165	но все	4	2
166	времени и	2	2
167	и само	3	2
168	для него	3	2
169	и следовательно	5	2
170	той или	3	2
171	и является	5	2
172	и тем	6	2
173	в первой	2	2
174	целый ряд	3	2
175	языка и	4	2
176	влияние на	4	2
177	отношения к	3	2
178	не было	2	2
179	те же	4	2
180	лишь в	4	2
181	речь и	4	2
182	а в	5	2
183	увидим что	2	2
184	в которых	2	2
185	сказать что	3	2
186	и так	6	2
187	языка в	2	2
188	что мы	11	2
189	с ним	2	2
190	между тем	3	2
191	всякое высказывание	3	2
192	с этим	2	2
193	и жизнь	2	2
194	этом мы	3	2
195	у нас	4	2
196	слова не	2	2
197	не нужно	2	2
198	почему же	2	2
199	об этом	3	2
200	но ведь	6	2
201	этого слова	3	2
202	нет и	3	2
203	и пр	4	2
204	вместе с	5	2
205	слово или	2	2
206	бы и	2	2
207	при всем	2	2
208	бы не	2	2
209	что такое	4	2
210	хотя бы	18	2
211	авторской речью	3	2
212	высказывания и	3	2
213	да еще	2	2
214	слов в	4	2
215	можно было	4	2
216	ничего не	8	2
217	этот вопрос	2	2
218	может стать	2	2
219	которые в	2	2
220	мы конечно	2	2
