N	2gram	Nazirov_Tr_1	VelikijI
1	и не	7	20
2	и в	18	16
3	то что	4	9
4	еще не	4	8
5	к людям	3	6
6	в мире	3	5
7	как бы	7	5
8	но и	4	5
9	все это	4	5
10	в силах	2	4
11	что все	2	4
12	в образе	6	4
13	и я	2	4
14	что он	6	4
15	в нем	4	4
16	как и	5	4
17	так и	5	4
18	потому что	2	4
19	в этом	9	4
20	и все	4	4
21	в его	3	4
22	с его	2	3
23	что в	4	3
24	в конце	3	3
25	ни в	2	3
26	в том	2	3
27	не в	2	3
28	но это	4	3
29	что я	4	3
30	к тому	2	3
31	никогда не	2	3
32	что и	2	3
33	бы и	2	3
34	и что	4	3
35	не имеет	2	3
36	должно быть	3	3
37	личности и	2	3
38	все эти	3	3
39	но в	6	3
40	не могут	2	2
41	с тем	2	2
42	это не	5	2
43	прежде всего	4	2
44	том что	4	2
45	одна из	2	2
46	для него	3	2
47	и сам	3	2
48	ивана карамазова	2	2
49	не только	8	2
50	один из	3	2
51	и за	2	2
52	тем что	2	2
53	уже не	2	2
54	не так	2	2
55	с ним	3	2
56	и то	2	2
57	и это	2	2
58	смысл жизни	3	2
