N	2gram	Berdyaev_V_1	OGranits
1	и в	16	13
2	прежде всего	2	9
3	и не	20	8
4	в его	4	7
5	не только	2	6
6	то что	9	6
7	только в	2	6
8	как бы	5	6
9	хотя бы	3	5
10	но мы	2	4
11	в своей	3	4
12	все это	5	4
13	лишь в	3	4
14	мы не	2	4
15	но в	3	4
16	что в	3	3
17	никогда не	3	3
18	но и	5	3
19	так и	4	3
20	и все	4	3
21	превращается в	3	3
22	да и	2	3
23	как и	4	3
24	не в	3	3
25	и то	2	3
26	говорить о	4	3
27	и для	3	3
28	так как	9	3
29	в нем	4	2
30	ее в	2	2
31	а не	7	2
32	в них	3	2
33	а в	2	2
34	все эти	3	2
35	материалом для	2	2
36	к тому	3	2
37	в чем	3	2
38	не имеет	3	2
39	в том	3	2
40	том что	2	2
41	что они	7	2
42	в этом	4	2
43	от этого	3	2
44	тем что	2	2
45	между тем	2	2
46	могут быть	2	2
47	для него	2	2
48	тот же	3	2
49	нет ничего	3	2
50	вслед за	2	2
51	в ней	4	2
