N	2gram	Vygotskiy__6	Russkaja
1	не может	19	22
2	и не	11	19
3	в том	28	17
4	в этом	27	17
5	и в	28	14
6	с другом	5	14
7	друг с	5	14
8	то что	28	13
9	таким образом	18	11
10	то же	7	11
11	точки зрения	13	11
12	но и	10	10
13	в то	6	10
14	том что	19	9
15	не только	16	9
16	в себе	4	9
17	с точки	10	9
18	может быть	13	9
19	прежде всего	2	8
20	того чтобы	10	8
21	как на	3	8
22	к тому	10	7
23	самом деле	2	7
24	в данном	2	7
25	мы должны	3	7
26	если бы	7	6
27	что он	18	6
28	и к	6	6
29	с тем	5	6
30	для него	6	6
31	к которой	2	6
32	для того	8	6
33	для всех	2	6
34	все это	2	6
35	в своем	7	6
36	в своих	3	6
37	между собой	9	5
38	он должен	4	5
39	вопрос о	5	5
40	на то	4	5
41	и на	5	5
42	при этом	3	5
43	до сих	3	5
44	было бы	9	5
45	в своей	2	5
46	он не	7	5
47	никогда не	8	5
48	в нем	7	5
49	сих пор	3	5
50	во всех	4	5
51	и только	3	5
52	по существу	2	5
53	а в	2	5
54	потому что	22	5
55	только в	18	5
56	но не	10	4
57	не могут	5	4
58	что в	17	4
59	тогда когда	6	4
60	как и	6	4
61	как бы	11	4
62	себе и	2	4
63	все же	2	4
64	вместе с	7	4
65	от того	10	4
66	в их	3	4
67	приводит к	6	4
68	в совершенно	2	4
69	точку зрения	2	4
70	не в	4	4
71	можно было	7	4
72	и то	4	4
73	в этой	5	4
74	в его	3	4
75	и т.д	3	4
76	его в	6	4
77	так как	10	4
78	он сам	2	3
79	на том	2	3
80	именно в	4	3
81	из этих	3	3
82	в конце	2	3
83	что все	5	3
84	этом случае	2	3
85	и как	6	3
86	в другом	2	3
87	то в	5	3
88	что они	2	3
89	в качестве	4	3
90	еще не	8	3
91	несмотря на	2	3
92	в самом	8	3
93	но если	4	3
94	знаем что	4	3
95	для этого	2	3
96	но мы	3	3
97	что и	4	3
98	из них	2	3
99	только к	3	3
100	при котором	2	3
101	что оно	7	3
102	в значительной	2	3
103	того что	24	3
104	ко всем	4	3
105	и по	3	3
106	друг друга	4	3
107	приходит к	2	3
108	тем что	8	3
109	связи с	3	3
110	из этого	2	3
111	в сознании	4	3
112	зависит от	3	2
113	всю свою	2	2
114	и более	2	2
115	в частности	4	2
116	у него	2	2
117	в меру	2	2
118	друг другу	2	2
119	были бы	2	2
120	и от	2	2
121	с этим	4	2
122	этот вопрос	3	2
123	это в	2	2
124	состоит в	2	2
125	представить себе	3	2
126	совершенно очевидно	3	2
127	ясно что	4	2
128	по себе	3	2
129	так что	6	2
130	это есть	3	2
131	но это	2	2
132	является не	2	2
133	от него	2	2
134	отличается от	3	2
135	что с	3	2
136	она не	2	2
137	каждого отдельного	3	2
138	по самому	2	2
139	и является	2	2
140	могут не	2	2
141	но совершенно	2	2
142	в котором	2	2
143	отношении к	3	2
144	и тем	5	2
145	на этой	5	2
146	для нас	2	2
147	ее в	2	2
148	тому что	11	2
149	целый ряд	4	2
150	всем этим	2	2
151	по отношению	10	2
152	отношения к	3	2
153	все эти	2	2
154	только на	2	2
155	и что	6	2
156	тем самым	8	2
157	а не	3	2
158	значительной мере	2	2
159	что такое	3	2
160	и наконец	2	2
161	так же	15	2
162	в других	2	2
163	том же	5	2
164	больше чем	3	2
165	в силу	17	2
166	мы можем	9	2
167	остается в	2	2
168	мы уже	2	2
169	последнее время	2	2
170	в этих	2	2
171	с ним	2	2
172	в области	6	2
173	но в	5	2
