N	2gram	Tiupa_Vved_1	Problema
1	то есть	8	46
2	в его	4	43
3	и не	12	42
4	и в	13	38
5	не может	7	27
6	может быть	18	26
7	как бы	4	22
8	по отношению	7	21
9	отнюдь не	7	19
10	отношению к	7	19
11	и с	2	17
12	и его	5	16
13	в нем	5	15
14	в этом	21	15
15	прежде всего	7	13
16	только в	6	13
17	но не	5	12
18	во всех	2	11
19	и для	3	11
20	в области	3	11
21	отношение к	2	10
22	таким образом	4	10
23	но и	19	9
24	не имеет	2	9
25	не только	20	9
26	место в	2	8
27	в том	10	8
28	было бы	4	8
29	то что	6	8
30	слова в	2	7
31	что в	3	7
32	с другой	5	7
33	не в	6	7
34	в самом	2	7
35	как и	11	7
36	еще не	7	7
37	в своей	5	7
38	как мы	3	7
39	не всегда	2	6
40	в пределах	2	6
41	не к	4	6
42	и наконец	2	6
43	а в	6	6
44	произведение в	2	6
45	все же	6	6
46	дело с	2	6
47	самом деле	3	6
48	мы можем	2	6
49	то же	5	5
50	все они	2	5
51	в своем	5	5
52	это не	6	5
53	высшей степени	2	5
54	при этом	26	5
55	имеет место	4	5
56	никогда не	4	5
57	в основе	3	5
58	далеко не	4	5
59	с ним	3	5
60	в них	2	5
61	в высшей	2	5
62	так и	8	5
63	в отличие	2	5
64	а не	15	5
65	быть только	2	5
66	могут быть	4	5
67	отличие от	2	5
68	должна быть	2	4
69	не менее	4	4
70	в нашем	6	4
71	на самом	4	4
72	чтобы стать	2	4
73	в ней	4	4
74	другой стороны	2	4
75	данном случае	6	4
76	в то	4	4
77	о том	5	4
78	к которому	2	4
79	но в	6	4
80	но они	2	4
81	не с	3	4
82	как в	4	4
83	в романе	6	4
84	тем самым	5	4
85	можно было	2	4
86	в данном	13	4
87	в себе	5	4
88	здесь не	2	4
89	композиционных форм	2	3
90	и от	2	3
91	вследствие этого	3	3
92	слова но	2	3
93	тем не	3	3
94	но это	3	3
95	имеем дело	3	3
96	же время	3	3
97	одной стороны	5	3
98	например в	2	3
99	хотя и	7	3
100	не является	3	3
101	точка зрения	3	3
102	и тем	2	3
103	в целом	3	3
104	с одной	5	3
105	и на	3	3
106	также и	4	3
107	если бы	7	3
108	и все	4	3
109	на фоне	2	3
110	и к	2	3
111	в событии	4	3
112	как его	2	3
113	том что	7	3
114	говорить о	2	3
115	все что	3	3
116	он не	3	3
117	на него	2	3
118	бытия в	2	3
119	начало и	2	3
120	приводит к	2	3
121	в мире	8	3
122	в слове	3	3
123	едва ли	3	3
124	в едином	3	2
125	а лишь	2	2
126	том как	3	2
127	в частности	13	2
128	в этих	3	2
129	в какой	4	2
130	или иной	3	2
131	можно сказать	4	2
132	не можем	2	2
133	в свою	4	2
134	по поводу	2	2
135	той или	3	2
136	не вполне	3	2
137	в котором	8	2
138	не было	2	2
139	этом отношении	4	2
140	лишь в	2	2
141	того что	6	2
142	в своих	2	2
143	не следует	3	2
144	к его	3	2
145	в начале	3	2
146	о котором	2	2
147	мы имеем	5	2
148	и более	3	2
149	не все	2	2
150	к этому	2	2
151	а к	3	2
152	одна из	4	2
153	что и	2	2
154	в современной	3	2
155	бы не	2	2
156	и конец	2	2
157	событие как	2	2
158	тем что	2	2
