N	3gram	Vygotskiy__3	Psycholo
1	для того чтобы	7	19
2	в том что	17	12
3	о том что	3	10
4	на то что	3	6
5	так же точно	3	5
6	и только после	2	5
7	с самого начала	6	5
8	в его основе	3	4
9	можно было бы	5	4
10	друг с другом	5	4
11	смысле этого слова	4	3
12	так же как	6	3
13	и в этом	2	3
14	во всяком случае	4	3
15	с одной стороны	5	3
16	мы никогда не	2	3
17	то что мы	2	3
18	то что в	2	3
19	так как она	2	3
20	заключается в том	7	3
21	сами по себе	3	3
22	и той же	2	2
23	в то время	4	2
24	вместе с тем	10	2
25	с другой стороны	3	2
26	таким образом что	2	2
27	то время как	4	2
28	одной и той	2	2
