N	2gram	Bakhtin_Fr_1	Problema
1	то есть	45	39
2	то что	3	38
3	и не	22	37
4	вовсе не	18	37
5	и в	65	35
6	сказать что	6	24
7	не только	10	24
8	том что	6	19
9	даже и	3	18
10	о том	2	18
11	может быть	6	18
12	в этом	15	17
13	но и	10	16
14	и вообще	3	16
15	что мы	2	14
16	только в	7	14
17	потому что	5	13
18	не может	3	13
19	в том	16	12
20	того что	2	12
21	что в	3	11
22	прежде всего	11	11
23	не просто	3	11
24	и даже	8	11
25	в таком	2	11
26	и с	3	10
27	еще не	6	10
28	да и	2	10
29	ничего не	3	10
30	для нас	4	9
31	в этой	4	9
32	только на	2	9
33	уже не	3	8
34	в виду	3	8
35	есть только	2	8
36	значение и	2	8
37	как раз	3	8
38	все же	6	8
39	не является	3	7
40	все эти	10	7
41	в его	9	7
42	так и	10	7
43	так как	6	7
44	с другой	3	6
45	можно сказать	2	6
46	но это	3	6
47	мы и	3	6
48	но как	3	6
49	и для	2	6
50	но в	14	6
51	и вовсе	3	6
52	в области	7	6
53	в частности	5	5
54	и без	2	5
55	или иной	5	5
56	кроме того	2	5
57	в самом	4	5
58	той или	5	5
59	с одной	2	5
60	и на	11	5
61	и все	5	5
62	раз и	2	5
63	как и	5	5
64	связи с	4	5
65	по своему	8	5
66	как мы	6	5
67	одной стороны	2	5
68	что не	2	5
69	в себе	3	5
70	еще и	5	5
71	и это	2	5
72	не могут	3	4
73	в этих	2	4
74	в своем	8	4
75	в отношении	6	4
76	есть в	5	4
77	в общем	4	4
78	как бы	22	4
79	не вполне	2	4
80	все это	9	4
81	их в	2	4
82	и здесь	3	4
83	всех этих	8	4
84	что он	3	4
85	но не	2	4
86	до сих	4	4
87	сих пор	4	4
88	и самый	2	4
89	разного рода	3	4
90	на самом	6	4
91	самом деле	3	4
92	далеко не	3	4
93	или даже	2	3
94	и от	2	3
95	из этих	2	3
96	к тому	2	3
97	но эта	2	3
98	несмотря на	2	3
99	значительной мере	2	3
100	хотя и	2	3
101	мы уже	12	3
102	в целом	2	3
103	при всех	2	3
104	и их	3	3
105	в их	4	3
106	одновременно и	2	3
107	при этом	6	3
108	и наконец	2	3
109	и по	2	3
110	не знает	6	3
111	в своих	5	3
112	в основе	8	3
113	его в	7	3
114	здесь только	2	3
115	и ни	3	3
116	перестает быть	3	3
117	тело или	2	3
118	и к	4	3
119	нет и	2	3
120	от всего	2	3
121	можно говорить	3	3
122	в значительной	6	3
123	мы здесь	2	3
124	в свете	2	3
125	быть только	2	3
126	в таких	2	3
127	том числе	10	2
128	и многие	2	2
129	и вещи	2	2
130	на всю	4	2
131	в той	5	2
132	его от	2	2
133	не в	4	2
134	но все	3	2
135	числе и	7	2
136	и само	2	2
137	и др	24	2
138	в состоянии	3	2
139	к нему	3	2
140	нам кажется	2	2
141	на этой	3	2
142	при таком	2	2
143	ни с	2	2
144	можно только	4	2
145	даже в	3	2
146	в системе	3	2
147	или в	2	2
148	в ней	6	2
149	точки зрения	7	2
150	является здесь	2	2
151	нет ничего	3	2
152	это в	4	2
153	в них	5	2
154	но при	2	2
155	в условиях	13	2
156	в тех	3	2
157	в заключение	2	2
158	он не	2	2
159	о нем	3	2
160	и особенно	2	2
161	во всех	9	2
162	на него	2	2
163	мысли и	4	2
164	и прежде	3	2
165	совершенно не	4	2
166	входит в	4	2
167	еще более	5	2
168	роль в	2	2
169	от всякого	2	2
170	во многих	2	2
171	это было	2	2
