N	2gram	Propp_Isto_5	Otkroven
1	у него	2	22
2	и в	25	19
3	но и	13	13
4	и не	11	13
5	в этом	10	12
6	а не	2	11
7	не в	6	11
8	человека в	3	11
9	может быть	17	11
10	не только	13	11
11	человека и	2	10
12	и все	3	10
13	вопрос о	2	10
14	в нем	7	10
15	никогда не	3	9
16	потому что	7	9
17	прежде всего	6	9
18	и он	6	8
19	но он	2	7
20	он не	4	7
21	в его	12	7
22	все это	4	6
23	как и	7	6
24	то что	7	5
25	а в	3	5
26	в том	6	5
27	в этой	3	5
28	т е	16	4
29	того чтобы	3	4
30	и его	9	4
31	все эти	8	4
32	не может	6	4
33	что в	8	4
34	него и	5	4
35	к нему	3	3
36	в этих	6	3
37	это не	6	3
38	что он	22	3
39	того что	2	3
40	для того	3	3
41	еще не	8	3
42	могут быть	6	3
43	когда он	2	3
44	в русской	3	3
45	никто не	3	3
46	о том	7	3
47	с ним	4	3
48	как бы	2	3
49	это было	2	3
50	уже в	2	2
51	все же	10	2
52	что и	6	2
53	ее в	2	2
54	и для	2	2
55	с тем	8	2
56	в истории	4	2
57	что у	4	2
58	что все	4	2
59	все еще	4	2
60	к этому	2	2
61	по себе	2	2
62	в ее	4	2
63	его не	3	2
64	в которой	4	2
65	в других	2	2
66	том что	8	2
67	так что	2	2
68	и на	8	2
69	сказать что	2	2
70	и с	3	2
71	тем что	10	2
72	его в	9	2
73	в своей	2	2
74	так как	11	2
75	и этим	2	2
76	ничего не	2	2
77	и из	3	2
78	и потому	2	2
79	же можно	4	2
