N	2gram	Medvedev_F_2	FransuaR
1	и в	38	65
2	и др	3	24
3	как бы	4	22
4	и не	20	22
5	вовсе не	11	18
6	в сущности	4	16
7	в том	11	16
8	в этом	27	15
9	но в	4	14
10	в нем	13	13
11	прежде всего	15	11
12	и на	3	11
13	и его	21	10
14	не только	9	10
15	но и	13	10
16	так и	8	10
17	все эти	6	10
18	в эпоху	2	9
19	в его	10	9
20	во всех	5	9
21	все это	3	9
22	в основе	5	8
23	всех этих	3	8
24	в дальнейшем	4	8
25	и другие	2	8
26	и даже	4	8
27	формы и	2	7
28	его в	3	7
29	в области	3	7
30	жизни и	3	7
31	точки зрения	8	7
32	только в	6	7
33	главным образом	3	6
34	никогда не	2	6
35	том что	2	6
36	все же	8	6
37	как мы	7	6
38	времени и	2	6
39	в значительной	3	6
40	при этом	9	6
41	может быть	23	6
42	в ней	6	6
43	на самом	3	6
44	сказать что	2	6
45	они были	2	6
46	так как	4	6
47	с его	11	5
48	еще более	5	5
49	превращается в	2	5
50	потому что	2	5
51	отличие от	2	5
52	для него	7	5
53	и пр	21	5
54	в своей	7	5
55	как в	4	5
56	как и	9	5
57	в той	2	5
58	между тем	2	5
59	и все	3	5
60	литературы и	4	5
61	в общем	5	4
62	связи с	13	4
63	и к	4	4
64	не в	15	4
65	в этой	6	4
66	отношение к	2	4
67	совершенно не	4	4
68	в самом	16	4
69	из них	4	4
70	и до	3	4
71	в их	6	4
72	в отличие	2	4
73	между ними	2	4
74	здесь и	4	4
75	входит в	4	4
76	так сказать	3	4
77	не могут	7	3
78	что в	7	3
79	не является	3	3
80	на котором	2	3
81	это не	2	3
82	не просто	2	3
83	на фоне	4	3
84	в тех	2	3
85	что он	5	3
86	в ее	2	3
87	но все	3	3
88	но это	2	3
89	самом деле	8	3
90	речевого общения	6	3
91	даже в	2	3
92	к нему	3	3
93	с точки	7	3
94	то что	6	3
95	от всех	2	3
96	и их	3	3
97	и прежде	3	3
98	как раз	6	3
99	не может	14	3
100	в известной	2	3
101	этом отношении	7	3
102	и других	2	3
103	уже не	7	3
104	можно говорить	2	3
105	применении к	2	3
106	менее всего	3	3
107	во всей	2	3
108	с другой	3	3
109	в применении	2	3
110	в других	7	3
111	даже и	4	3
112	он и	3	3
113	в искусстве	2	3
114	но как	2	3
115	и здесь	3	3
116	с ним	2	3
117	ничего не	4	3
118	и с	9	3
119	в виду	2	3
120	но не	2	2
121	и многие	2	2
122	к тому	4	2
123	или даже	2	2
124	и от	2	2
125	из этих	3	2
126	раз и	4	2
127	этих двух	2	2
128	значение и	3	2
129	и нового	2	2
130	его от	4	2
131	он был	2	2
132	это время	2	2
133	более того	5	2
134	от него	2	2
135	кроме того	2	2
136	до конца	2	2
137	например в	3	2
138	значительной степени	3	2
139	хотя и	3	2
140	он не	6	2
141	и для	5	2
142	в целом	3	2
143	не к	2	2
144	постановки проблемы	2	2
145	во второй	2	2
146	в большинстве	4	2
147	в некоторых	4	2
148	в процессе	9	2
149	приводит к	2	2
150	только на	3	2
151	особенно в	3	2
152	отрицает и	2	2
153	и этим	2	2
154	очень характерно	2	2
155	не входит	3	2
156	того что	3	2
157	что не	4	2
158	и наконец	4	2
159	и по	2	2
160	есть только	2	2
161	не была	2	2
162	роль в	3	2
163	отметить что	2	2
164	в таком	2	2
165	или в	3	2
166	этот вопрос	2	2
167	их в	2	2
168	в этих	2	2
169	речи и	3	2
170	могут быть	6	2
171	пусть и	2	2
172	совершенно иной	2	2
173	от всякого	2	2
174	ни на	2	2
175	и это	2	2
176	в особенности	4	2
177	большинстве случаев	3	2
178	в чем	2	2
179	это было	3	2
