N	2gram	Savitsky_E_1	Istorich
1	и в	37	26
2	т е	9	22
3	так как	7	18
4	никогда не	3	13
5	потому что	3	13
6	что в	21	12
7	таким образом	2	12
8	в том	11	12
9	и на	6	12
10	в этом	12	12
11	мы видели	3	11
12	может быть	6	11
13	с другой	7	10
14	том что	6	10
15	и не	14	10
16	не только	18	10
17	представление о	2	9
18	но и	14	9
19	а именно	2	9
20	вместе с	2	8
21	другой стороны	2	8
22	с одной	8	7
23	мы можем	3	7
24	одной стороны	8	7
25	о том	3	7
26	но в	14	7
27	то что	6	6
28	ее в	3	6
29	как в	3	6
30	не может	9	6
31	в виде	5	6
32	и с	2	6
33	мы не	4	6
34	как и	7	5
35	мы видим	2	5
36	нас к	2	5
37	в ней	4	5
38	в его	2	5
39	не будет	3	5
40	так и	10	5
41	то же	15	5
42	и что	2	5
43	как это	4	5
44	тем что	3	5
45	в то	16	5
46	только в	9	5
47	там где	3	5
48	с тем	3	4
49	на своем	3	4
50	прежде всего	9	4
51	связано с	3	4
52	как бы	6	4
53	и тем	3	4
54	что и	3	4
55	как мы	5	4
56	и по	5	4
57	а также	7	4
58	в других	2	4
59	себе в	3	4
60	но как	2	4
61	при помощи	2	3
62	независимо от	4	3
63	если бы	2	3
64	в частности	5	3
65	могут быть	2	3
66	в них	3	3
67	вообще не	3	3
68	и от	3	3
69	в одном	2	3
70	должна быть	2	3
71	вопрос о	4	3
72	не в	5	3
73	такой же	2	3
74	же как	5	3
75	в качестве	14	3
76	вопрос не	2	3
77	она не	2	3
78	наряду с	2	3
79	и эта	2	3
80	главным образом	2	3
81	когда он	3	3
82	в своей	8	3
83	данном случае	2	3
84	со стороны	5	3
85	случаях когда	2	3
86	а в	2	3
87	и других	2	3
88	и наконец	2	3
89	как на	3	3
90	или в	2	3
91	в своих	2	3
92	в данном	3	3
93	и то	2	3
94	сказать что	4	3
95	и только	3	3
96	в себе	9	3
97	как будто	2	3
98	далеко не	2	3
99	от этого	5	3
100	с этой	6	2
101	и как	2	2
102	в этих	2	2
103	в эту	2	2
104	в своем	14	2
105	не означает	2	2
106	того же	3	2
107	с этим	2	2
108	народов не	2	2
109	вовсе не	6	2
110	стороны и	6	2
111	утверждать что	2	2
112	на то	6	2
113	можно сказать	4	2
114	к тому	8	2
115	для нас	4	2
116	приводит нас	2	2
117	и некоторые	3	2
118	но не	5	2
119	так же	9	2
120	было бы	8	2
121	кажется что	2	2
122	в свои	2	2
123	страны и	3	2
124	всяком случае	3	2
125	даже в	4	2
126	что эти	2	2
127	не есть	2	2
128	нам кажется	7	2
129	северной америке	3	2
130	не имеет	4	2
131	в северной	2	2
132	жизни и	2	2
133	в некоторых	2	2
134	что же	2	2
135	целый ряд	2	2
136	он не	2	2
137	и сейчас	2	2
138	она в	3	2
139	тем самым	5	2
140	а не	2	2
141	того что	7	2
142	можно было	3	2
143	во всяком	3	2
144	в которых	3	2
145	представляет собой	3	2
146	мы должны	2	2
147	в этой	2	2
148	что это	2	2
149	мира и	3	2
150	отметить что	3	2
