N	2gram	Kanaev_Sov_1	EvropaiC
1	таким образом	11	32
2	в том	4	31
3	и в	7	24
4	все эти	5	19
5	не может	17	18
6	может быть	12	15
7	все же	3	15
8	точки зрения	12	13
9	самом деле	2	12
10	в этом	7	12
11	все это	3	11
12	с этим	2	11
13	мы знаем	2	10
14	как бы	4	10
15	при этом	3	9
16	друг с	2	9
17	в результате	6	9
18	как и	6	9
19	с другом	2	9
20	что в	2	9
21	не в	3	8
22	в самом	2	8
23	знаем что	2	8
24	и все	3	8
25	ясно что	3	8
26	с точки	5	8
27	не менее	2	7
28	и не	6	7
29	и что	2	7
30	из этих	2	7
31	в этой	3	6
32	отличается от	3	6
33	так как	4	6
34	еще не	3	6
35	мы можем	6	6
36	вместе с	4	6
37	что это	2	5
38	что все	2	5
39	у него	2	5
40	в целом	4	5
41	но в	3	5
42	и к	3	5
43	что при	2	5
44	в его	2	5
45	не только	4	5
46	быть и	2	5
47	но все	2	5
48	в себе	3	5
49	в которой	2	5
50	не могут	2	4
51	в конце	3	4
52	тем не	2	4
53	в дальнейшем	4	4
54	из них	4	4
55	между собой	3	4
56	мы должны	4	4
57	совершенно не	2	4
58	то же	3	4
59	если мы	4	4
60	из которых	2	4
61	в таком	2	4
62	в виде	2	4
63	и т.д	3	4
64	состоит из	3	4
65	в области	3	4
66	может не	3	3
67	с одной	2	3
68	в нашем	2	3
69	не подлежит	3	3
70	вопрос о	4	3
71	для нас	3	3
72	в настоящее	2	3
73	в нем	3	3
74	на этой	3	3
75	то ни	2	3
76	и наконец	5	3
77	и по	2	3
78	а в	4	3
79	это не	4	3
80	настоящее время	2	3
81	и потому	3	3
82	можно назвать	2	3
83	прежде всего	5	3
84	у нас	3	3
85	как известно	2	3
86	тот же	2	3
87	подлежит сомнению	2	3
88	отличие от	2	3
89	свою очередь	2	2
90	точку зрения	4	2
91	как мы	2	2
92	такой же	2	2
93	на этом	2	2
94	в свою	2	2
95	всяком случае	2	2
96	только один	2	2
97	мы видели	4	2
98	что она	3	2
99	то и	2	2
100	и будет	2	2
101	говорить о	2	2
102	в один	2	2
103	во всяком	2	2
104	отнюдь не	3	2
105	при таком	3	2
106	он должен	2	2
107	этих двух	2	2
108	конечно в	2	2
109	одна из	3	2
110	было бы	3	2
111	наконец не	2	2
112	жизни и	4	2
113	что же	5	2
114	из одного	2	2
115	с общим	2	2
116	если же	2	2
