N	2gram	Propp_Russ_1	Formalny
1	и в	36	38
2	в этом	12	27
3	т е	17	26
4	может быть	8	23
5	и пр	2	21
6	таким образом	6	20
7	и не	6	20
8	и т	10	14
9	не может	4	14
10	в нем	2	13
11	но и	16	13
12	связи с	4	13
13	с тем	8	11
14	в том	17	11
15	в его	2	10
16	в связи	4	10
17	и с	2	9
18	как и	10	9
19	при этом	6	9
20	не только	22	9
21	отнюдь не	2	8
22	что и	7	8
23	все же	5	8
24	так и	7	8
25	тем что	4	8
26	точки зрения	3	8
27	что в	19	7
28	по существу	4	7
29	в других	11	7
30	как мы	10	7
31	уже не	6	7
32	с точки	3	7
33	не было	2	6
34	то что	6	6
35	в ней	2	6
36	вместе с	10	6
37	в их	4	6
38	то же	3	6
39	все эти	2	6
40	а не	2	6
41	могут быть	2	6
42	только в	4	6
43	а в	9	6
44	в первый	4	5
45	во всех	4	5
46	с этим	2	5
47	т д	9	5
48	и для	2	5
49	независимо от	2	4
50	к этому	4	4
51	к тому	4	4
52	в дальнейшем	2	4
53	что они	7	4
54	его от	2	4
55	в большинстве	2	4
56	как они	2	4
57	как бы	5	4
58	и к	3	4
59	из них	8	4
60	в некоторых	4	4
61	как в	5	4
62	за счет	2	4
63	входит в	4	4
64	в особенности	2	4
65	там где	2	4
66	ничего не	3	4
67	так как	15	4
68	но в	2	4
69	всех этих	2	3
70	если в	3	3
71	для них	3	3
72	главным образом	2	3
73	и др	4	3
74	в какой	2	3
75	из этих	4	3
76	и здесь	2	3
77	и как	2	3
78	но все	3	3
79	например в	2	3
80	должно было	2	3
81	его с	4	3
82	в целом	2	3
83	и их	4	3
84	быть и	2	3
85	и до	2	3
86	значение и	2	3
87	только на	3	3
88	все это	6	3
89	так в	4	3
90	на самом	2	3
91	большинстве случаев	2	3
92	такой же	2	3
93	того что	4	3
94	мы не	6	3
95	или в	2	3
96	и на	10	3
97	хотя и	2	3
98	слова в	3	3
99	что это	3	3
100	их к	2	3
101	в области	3	3
102	борьбы с	2	2
103	между двумя	2	2
104	и более	2	2
105	и другие	13	2
106	подойти к	2	2
107	по этому	3	2
108	состоит в	8	2
109	в этих	3	2
110	в качестве	3	2
111	тому что	4	2
112	для этого	2	2
113	и многие	2	2
114	это не	10	2
115	представление о	3	2
116	не просто	2	2
117	тем и	2	2
118	что именно	2	2
119	это время	2	2
120	в тех	4	2
121	и нового	2	2
122	его как	2	2
123	до конца	2	2
124	том что	19	2
125	но это	4	2
126	должна была	2	2
127	но не	2	2
128	она не	2	2
129	в целях	3	2
130	что на	4	2
131	к другому	2	2
132	значения и	2	2
133	он был	2	2
134	один из	8	2
135	разница между	2	2
136	приводит к	3	2
137	на этом	3	2
138	должны были	2	2
139	и других	7	2
140	находится в	2	2
141	в в	2	2
142	можно говорить	2	2
143	не имеет	6	2
144	и по	8	2
145	с ними	5	2
146	этот вопрос	2	2
147	их в	3	2
148	между тем	7	2
149	как например	3	2
150	они были	2	2
151	потому что	10	2
152	как это	8	2
153	с ним	2	2
154	та же	2	2
