N	2gram	Nazirov_Vr_1	Analitik
1	тогда как	2	19
2	в этом	8	18
3	и в	8	16
4	не только	9	16
5	как и	6	14
6	в том	3	12
7	но и	7	12
8	и не	5	12
9	том что	3	12
10	как бы	4	10
11	при этом	4	10
12	и даже	6	9
13	в этой	2	9
14	отнюдь не	2	8
15	и т.п	2	8
16	в себе	2	7
17	то что	7	7
18	о том	4	7
19	а также	2	7
20	в мире	2	6
21	может быть	4	6
22	но в	6	6
23	не менее	2	4
24	в своем	3	4
25	столь же	2	4
26	в конце	3	4
27	у него	5	4
28	уже не	2	4
29	для него	2	4
30	все это	4	4
31	как раз	2	4
32	не может	2	4
33	и его	3	4
34	то же	5	4
35	точки зрения	2	4
36	нашего времени	2	4
37	место в	2	3
38	никогда не	2	3
39	не мог	2	3
40	несмотря на	4	3
41	из них	2	3
42	ответ на	2	3
43	а в	2	3
44	и то	2	3
45	тем что	3	3
46	в эту	2	3
47	и все	7	3
48	речь идет	3	2
49	к этому	3	2
50	в одну	2	2
51	на то	3	2
52	он был	3	2
53	же время	5	2
54	что в	7	2
55	еще не	2	2
56	о чем	2	2
57	в своей	2	2
58	в котором	6	2
59	вместе с	2	2
60	и стал	2	2
61	отношения к	2	2
62	таким образом	2	2
63	т е	3	2
64	и он	2	2
65	с точки	2	2
66	так же	4	2
67	на основе	2	2
68	между тем	5	2
69	и во	3	2
70	он не	3	2
71	о себе	3	2
72	в то	5	2
73	в его	3	2
74	его в	3	2
75	с ним	4	2
76	же не	2	2
