N	2gram	Kanaev_Sov_1	RusskieA
1	и в	7	36
2	не только	4	22
3	что в	2	19
4	в том	4	17
5	в и	2	17
6	так как	4	15
7	в этом	7	12
8	это не	4	10
9	как мы	2	10
10	как и	6	10
11	вместе с	4	10
12	а в	4	9
13	у нас	3	8
14	из них	4	8
15	может быть	12	8
16	и по	2	8
17	и не	6	6
18	для нас	3	6
19	при этом	3	6
20	уже не	2	6
21	таким образом	11	6
22	мы не	9	6
23	все это	3	6
24	в виде	2	6
25	все же	3	5
26	как бы	4	5
27	из этих	2	4
28	одна из	3	4
29	еще не	3	4
30	следующим образом	3	4
31	в некоторых	2	4
32	не может	17	4
33	и что	2	4
34	не менее	2	3
35	что это	2	3
36	но все	2	3
37	в одном	3	3
38	в свою	2	3
39	и к	3	3
40	тем не	2	3
41	на этом	2	3
42	не можем	7	3
43	в настоящее	2	3
44	не будем	2	3
45	приводит к	2	3
46	то же	3	3
47	с точки	5	3
48	на этот	2	3
49	ничего не	6	3
50	их в	4	3
51	точки зрения	12	3
52	настоящее время	2	3
53	в области	3	3
54	могут быть	2	2
55	в нашем	2	2
56	между собой	3	2
57	с этим	2	2
58	и потому	3	2
59	в каждом	8	2
60	в нем	3	2
61	у него	2	2
62	в дальнейшем	4	2
63	мы видим	2	2
64	такой же	2	2
65	свою очередь	2	2
66	быть и	2	2
67	как известно	2	2
68	отнюдь не	3	2
69	в его	2	2
70	на этой	3	2
71	в целом	4	2
72	что она	3	2
73	все эти	5	2
74	а не	3	2
75	и пр	2	2
76	мы можем	6	2
77	но в	3	2
78	мы должны	4	2
79	в один	2	2
80	как он	3	2
