N	2gram	Tiupa_Lite_2	DiskursI
1	в качестве	5	34
2	не только	8	28
3	в том	10	23
4	а не	20	22
5	то есть	5	20
6	том что	7	19
7	тогда как	9	19
8	может быть	17	17
9	представляет собой	2	17
10	и в	19	16
11	как и	10	16
12	в этом	9	15
13	еще не	2	14
14	но и	10	14
15	коммуникативного события	2	14
16	при этом	6	13
17	и т.п	10	12
18	прежде всего	4	11
19	но не	5	11
20	и не	11	11
21	с другой	8	10
22	в частности	4	9
23	состоит в	9	9
24	в нем	3	9
25	отношению к	3	9
26	одной стороны	6	9
27	по отношению	4	9
28	не может	9	9
29	с одной	7	9
30	а также	2	8
31	отнюдь не	4	8
32	своего рода	13	8
33	так и	7	8
34	о том	2	8
35	но в	2	8
36	в основе	2	7
37	художественного письма	2	7
38	в его	4	7
39	со стороны	3	7
40	то же	12	7
41	не было	2	7
42	в себе	6	7
43	не в	4	7
44	и как	3	6
45	в рамках	4	5
46	как бы	2	5
47	то что	7	5
48	во всех	3	5
49	коммуникативное событие	3	5
50	а в	3	5
51	в себя	3	5
52	в их	3	5
53	и на	6	5
54	в данном	3	5
55	что в	4	4
56	не является	2	4
57	в них	2	4
58	для себя	2	4
59	и к	2	4
60	что он	3	4
61	уже не	2	4
62	для него	4	4
63	в истории	2	4
64	в целом	2	4
65	же время	9	4
66	одной из	2	4
67	такого рода	9	4
68	что не	2	4
69	потому что	2	4
70	могут быть	2	4
71	и т.д	7	4
72	как правило	3	4
73	однако в	6	3
74	того же	4	3
75	столь же	5	3
76	как уже	2	3
77	что и	2	3
78	в ее	2	3
79	в ситуации	2	3
80	эстетической деятельности	3	3
81	при всей	2	3
82	картина мира	2	3
83	еще в	4	3
84	себе не	2	3
85	один из	4	3
86	не с	3	3
87	хотя бы	2	3
88	все же	2	3
89	из них	2	3
90	ли не	4	3
91	и.п смирнов	4	3
92	того что	5	3
93	другой стороны	4	3
94	и даже	8	3
95	являет собой	2	3
96	в своих	2	3
97	тем что	4	3
98	точки зрения	4	3
99	в то	9	3
100	тому как	2	3
101	в каждой	2	3
102	это прежде	2	3
103	коммуникативная стратегия	5	3
104	мира в	2	3
105	в противоположность	2	2
106	не менее	6	2
107	никогда не	3	2
108	и без	2	2
109	и одновременно	2	2
110	том числе	2	2
111	в какой	2	2
112	по крайней	2	2
113	в одном	2	2
114	в каждом	2	2
115	в году	5	2
116	не более	2	2
117	крайней мере	2	2
118	в дискурсе	2	2
119	эстетического субъекта	3	2
120	е годы	2	2
121	на этом	2	2
122	в начале	3	2
123	в сущности	3	2
124	в принципе	5	2
125	одним из	3	2
126	в равной	3	2
127	и др	3	2
128	говоря уже	2	2
129	с ее	2	2
130	себя в	6	2
131	в культуре	3	2
132	в е	2	2
133	данном случае	3	2
134	мысли и	2	2
135	жизни в	4	2
136	как к	3	2
137	поскольку в	3	2
138	уже в	2	2
139	человека в	4	2
140	сознания в	3	2
141	и что	2	2
142	том чтобы	3	2
143	х годов	3	2
144	свидетельствует о	2	2
145	и он	3	2
146	слово не	2	2
147	то с	2	2
148	и его	3	2
149	героя в	2	2
150	следует признать	3	2
151	подобно тому	2	2
152	на себя	2	2
153	соответствии с	2	2
154	но как	2	2
155	в другом	3	2
156	не говоря	2	2
157	в этой	3	2
158	уже о	2	2
159	едва ли	4	2
160	в виду	2	2
