N	2gram	Tiupa_Anal_3	Hudozhes
1	том что	12	16
2	и в	18	14
3	так и	14	13
4	а не	9	12
5	в том	9	12
6	не только	22	12
7	при этом	11	12
8	о том	6	12
9	прежде всего	5	11
10	анекдота и	2	11
11	в этом	14	11
12	в себе	2	11
13	для него	6	10
14	что он	4	9
15	как и	14	9
16	в качестве	12	9
17	то же	3	9
18	как в	3	8
19	то что	2	8
20	же время	3	8
21	отношению к	7	8
22	по отношению	7	8
23	между тем	5	8
24	в этой	6	8
25	в то	3	8
26	в его	7	8
27	ничего не	3	8
28	это не	2	7
29	личности в	3	7
30	к тому	6	7
31	уже не	5	7
32	не в	6	7
33	еще не	6	7
34	своего рода	8	7
35	как бы	10	7
36	не может	2	7
37	именно в	3	7
38	а в	10	7
39	не случайно	8	7
40	тогда как	20	7
41	никогда не	5	6
42	что в	9	6
43	было бы	3	6
44	в первой	8	6
45	в глазах	2	6
46	как правило	5	6
47	не менее	4	5
48	перед нами	4	5
49	с его	8	5
50	к жизни	3	5
51	в частности	12	5
52	об этом	2	5
53	может быть	9	5
54	только в	2	5
55	и он	2	5
56	и а	4	5
57	но и	13	5
58	во второй	7	5
59	самом деле	2	5
60	и его	13	5
61	точки зрения	3	5
62	героя и	4	5
63	но в	2	5
64	в анекдоте	2	4
65	в своем	4	4
66	столь же	4	4
67	и от	2	4
68	и все	2	4
69	можно сказать	4	4
70	и к	4	4
71	тем не	2	4
72	то в	2	4
73	картины мира	4	4
74	несмотря на	2	4
75	в самом	5	4
76	анекдот и	2	4
77	в ней	2	4
78	один из	2	4
79	что она	2	4
80	картина мира	4	4
81	себя в	4	4
82	как раз	7	4
83	не было	3	4
84	художественного целого	6	4
85	человеческого я	2	4
86	он не	6	4
87	по своей	2	4
88	в русской	7	4
89	в конце	5	4
90	всего лишь	8	4
91	но не	7	3
92	отнюдь не	4	3
93	притча о	7	3
94	с этим	3	3
95	же в	2	3
96	себе самому	2	3
97	в мире	5	3
98	в ее	3	3
99	говорить о	3	3
100	художественной реальности	3	3
101	по своему	2	3
102	в пределах	4	3
103	такого рода	5	3
104	по преимуществу	2	3
105	даже в	2	3
106	в нем	2	3
107	русской литературе	4	3
108	все же	4	3
109	со стороны	9	3
110	в тексте	9	3
111	приводит к	4	3
112	и для	2	3
113	этом отношении	3	3
114	все эти	2	3
115	в заключительной	4	3
116	лишь в	5	3
117	и даже	8	3
118	с точки	2	3
119	и по	2	3
120	тем что	2	3
121	однако и	3	3
122	и на	4	3
123	как к	2	3
124	в финале	3	3
125	притчи и	4	3
126	его в	3	3
127	а также	2	3
128	едва ли	3	3
129	в рамках	3	2
130	в ответ	2	2
131	если в	3	2
132	представляется нам	2	2
133	однако в	5	2
134	так в	3	2
135	конечном счете	2	2
136	не столько	3	2
137	художественности в	2	2
138	и потому	2	2
139	уже говорилось	2	2
140	в себя	2	2
141	по себе	4	2
142	в конечном	2	2
143	наш взгляд	2	2
144	состоит в	4	2
145	да и	2	2
146	в противовес	2	2
147	одна из	2	2
148	о своей	2	2
149	в целом	3	2
150	как нам	5	2
151	например в	2	2
152	на его	2	2
153	в начале	6	2
154	значительной степени	2	2
155	хотя и	2	2
156	героем анекдота	2	2
157	авторской позиции	2	2
158	впервые в	3	2
159	в форме	2	2
160	в их	6	2
161	все это	3	2
162	внимание на	4	2
163	а и	4	2
164	а а	5	2
165	иначе говоря	2	2
166	и не	12	2
167	но с	2	2
168	ключ к	3	2
169	жанровой стратегии	2	2
170	в значительной	2	2
171	на наш	2	2
172	что не	3	2
173	персонажа в	2	2
174	для притчи	2	2
175	той же	5	2
176	притчи в	2	2
177	в результате	5	2
178	пока еще	3	2
179	личности и	2	2
180	герой анекдота	2	2
181	с ее	3	2
182	со мною	2	2
183	но как	3	2
184	здесь не	3	2
185	так сказать	2	2
186	я и	3	2
187	мы не	3	2
