N	2gram	Bakhtin_sl_2	Myshleni
1	в том	5	33
2	том что	5	27
3	точки зрения	8	26
4	то что	2	20
5	в этом	16	19
6	с точки	3	18
7	мышления и	5	16
8	и в	39	15
9	не только	24	15
10	речи и	3	15
11	что в	3	14
12	таким образом	8	14
13	и речи	2	13
14	человеческой речи	2	12
15	что он	2	12
16	того чтобы	2	12
17	в процессе	13	11
18	но и	21	10
19	для того	2	10
20	мы не	2	10
21	в своем	6	9
22	может быть	37	9
23	не может	20	9
24	о том	2	9
25	в сущности	6	9
26	связи с	3	9
27	так и	15	8
28	никогда не	7	8
29	не в	9	8
30	одной стороны	5	7
31	с одной	5	7
32	и не	22	7
33	как бы	7	7
34	по себе	5	7
35	он не	2	7
36	и т.п	2	7
37	во всяком	3	7
38	в отношении	4	6
39	точку зрения	3	6
40	как мы	7	6
41	мы уже	2	6
42	мы видели	2	6
43	по отношению	4	6
44	в связи	2	6
45	с другой	5	6
46	сказать что	3	6
47	в истории	11	6
48	как он	2	6
49	как это	3	6
50	но в	6	6
51	в зависимости	4	6
52	вовсе не	10	6
53	и к	6	6
54	как и	6	6
55	зависимости от	4	6
56	вместе с	2	6
57	с таким	2	6
58	всяком случае	2	6
59	там где	6	6
60	от действительности	2	5
61	это не	5	5
62	уже в	2	5
63	и др	4	5
64	и их	5	5
65	с помощью	4	5
66	и даже	7	5
67	тогда когда	2	5
68	все что	2	5
69	отношению к	4	5
70	то же	4	5
71	независимо от	2	4
72	прежде всего	8	4
73	для нас	5	4
74	все это	16	4
75	в них	6	4
76	что оно	4	4
77	а в	4	4
78	и с	9	4
79	так как	4	4
80	с его	7	4
81	для всех	4	4
82	все же	6	4
83	даже в	2	4
84	как в	13	4
85	того как	2	4
86	хотя бы	3	4
87	и его	33	4
88	только в	5	4
89	речи все	2	3
90	для этого	4	3
91	человека и	3	3
92	в собственном	3	3
93	для него	7	3
94	при этом	7	3
95	уже сказано	2	3
96	точка зрения	2	3
97	но мы	2	3
98	языка и	9	3
99	этом отношении	3	3
100	все эти	6	3
101	те же	2	3
102	но эта	2	3
103	они не	2	3
104	лишь в	3	3
105	с другими	4	3
106	в результате	2	3
107	в основе	4	3
108	с ним	7	3
109	и все	5	3
110	и особенно	2	3
111	с этим	2	3
112	но не	6	3
113	собственном смысле	3	3
114	бы и	3	3
115	во власти	2	3
116	речи как	2	3
117	а не	14	3
118	или в	2	3
119	значение в	2	3
120	в данном	2	3
121	в отличие	12	3
122	отличие от	13	3
123	чем в	2	2
124	не могут	5	2
125	сама по	3	2
126	в этих	7	2
127	перед нами	3	2
128	как например	2	2
129	как уже	2	2
130	или иной	5	2
131	ни в	4	2
132	и как	3	2
133	но все	5	2
134	и более	2	2
135	и само	2	2
136	и языком	2	2
137	той или	5	2
138	с ее	2	2
139	могут быть	7	2
140	в некоторых	3	2
141	в их	2	2
142	и других	4	2
143	в более	2	2
144	остается в	5	2
145	говорить о	3	2
146	также и	2	2
147	во всем	4	2
148	мира и	5	2
149	а также	3	2
150	в одном	2	2
151	или как	4	2
152	у него	3	2
153	к его	2	2
154	и различные	2	2
155	стороны и	3	2
156	именно в	2	2
157	речи не	2	2
158	с их	3	2
159	мы увидим	2	2
160	действительность но	2	2
161	за пределы	2	2
162	к ней	2	2
163	в его	7	2
164	языков в	8	2
165	должен быть	2	2
166	при каких	2	2
167	что и	3	2
168	во всех	12	2
169	или менее	2	2
170	без всякого	2	2
171	и для	5	2
172	в себя	2	2
173	той же	3	2
174	в себе	2	2
175	в другом	2	2
176	на протяжении	2	2
177	ту же	3	2
178	самого автора	2	2
179	более или	2	2
