N	2gram	Vygotskiy__5	formyVre
1	и в	30	46
2	в этом	14	22
3	прежде всего	4	14
4	и т	7	14
5	вовсе не	3	13
6	в романе	2	13
7	и его	6	12
8	только в	5	11
9	смерти в	2	11
10	не только	16	11
11	во всех	2	11
12	т п	3	11
13	в том	27	10
14	как бы	19	10
15	точки зрения	7	10
16	то есть	13	10
17	но в	5	10
18	у него	3	9
19	не в	8	9
20	мы уже	6	9
21	вместе с	12	9
22	но и	6	9
23	и не	6	9
24	и для	6	9
25	связи с	2	8
26	как и	6	8
27	в его	4	8
28	жизни и	6	8
29	то же	7	8
30	того чтобы	20	8
31	для того	20	8
32	с точки	2	8
33	потому что	23	8
34	из них	2	8
35	в них	4	7
36	в одном	2	7
37	может быть	11	7
38	то что	37	7
39	так и	3	7
40	и на	3	7
41	никогда не	9	6
42	и все	4	6
43	при этом	8	6
44	как мы	5	6
45	еще не	5	6
46	все же	7	6
47	все это	2	6
48	человека в	3	6
49	и наконец	3	6
50	в основе	7	6
51	так как	9	6
52	и с	2	6
53	в частности	4	5
54	в своем	6	5
55	с этим	2	5
56	по существу	2	5
57	в то	2	5
58	но не	7	5
59	он не	3	5
60	в нем	7	5
61	что в	24	5
62	все эти	2	5
63	должно быть	2	5
64	уже в	6	4
65	с этой	2	4
66	из этих	3	4
67	же в	2	4
68	том что	21	4
69	так что	3	4
70	что они	5	4
71	с другом	3	4
72	друг с	3	4
73	в котором	2	4
74	как в	3	4
75	отношения к	2	4
76	а не	8	4
77	и он	2	4
78	в себе	5	4
79	о том	10	4
80	о чем	4	3
81	себя и	2	3
82	не является	2	3
83	того же	2	3
84	к этому	3	3
85	с помощью	2	3
86	к тому	8	3
87	на первый	2	3
88	что он	17	3
89	а затем	2	3
90	и как	7	3
91	это значит	2	3
92	в качестве	2	3
93	для него	3	3
94	тот же	3	3
95	имеет место	3	3
96	что на	3	3
97	что и	3	3
98	в форме	2	3
99	целый ряд	3	3
100	т д	3	3
101	и другие	3	3
102	таким образом	20	3
103	в совершенно	6	3
104	в их	3	3
105	того что	8	3
106	и даже	2	3
107	а в	4	3
108	в которых	2	3
109	и совершенно	4	3
110	тем что	6	3
111	в другом	3	3
112	же самое	5	3
113	в этих	3	3
114	не могли	4	3
115	в виду	4	3
116	из самых	2	2
117	на этом	6	2
118	она еще	2	2
119	и есть	5	2
120	и та	2	2
121	друг от	2	2
122	с другой	9	2
123	это не	3	2
124	и так	2	2
125	в одной	2	2
126	что все	6	2
127	первый план	3	2
128	их не	2	2
129	по себе	7	2
130	или иной	2	2
131	можно сказать	2	2
132	в отношении	2	2
133	он был	2	2
134	именно в	6	2
135	у нас	4	2
136	мы видим	8	2
137	в этой	5	2
138	с тем	8	2
139	совсем не	2	2
140	утверждает что	2	2
141	между ними	2	2
142	до конца	2	2
143	было бы	5	2
144	и к	4	2
145	от друга	2	2
146	в сущности	12	2
147	и о	3	2
148	и потому	5	2
149	один из	5	2
150	сих пор	5	2
151	строго говоря	2	2
152	этом случае	2	2
153	для чего	2	2
154	быть и	2	2
155	и до	2	2
156	в эпосе	2	2
157	находится в	2	2
158	и самый	2	2
159	не может	9	2
160	и только	3	2
161	этом отношении	3	2
162	с одной	12	2
163	чем не	2	2
164	в двух	5	2
165	в себя	2	2
166	и вот	2	2
167	в той	3	2
168	тем же	3	2
169	так же	13	2
170	как на	11	2
171	рядом с	5	2
172	о смерти	5	2
173	сами по	2	2
174	в данном	3	2
175	мы имеем	8	2
176	могут быть	8	2
177	но он	3	2
178	что здесь	3	2
179	ту же	2	2
180	не знает	2	2
181	в конце	4	2
182	как он	2	2
183	и это	8	2
184	там где	4	2
185	как это	7	2
186	до сих	5	2
