N	2gram	Losev_Dial_1	StatiiOP
1	и в	18	25
2	в этом	12	24
3	у пушкина	4	22
4	в том	9	20
5	что в	13	19
6	что он	11	19
7	может быть	17	19
8	что это	11	16
9	том что	9	15
10	и пр	5	13
11	в его	3	12
12	то что	13	12
13	не только	13	12
14	в этих	5	11
15	так что	15	11
16	прежде всего	10	10
17	и не	30	10
18	но и	7	9
19	и т	21	8
20	все это	11	8
21	как например	2	8
22	т е	25	8
23	о том	4	8
24	это было	2	8
25	это не	9	7
26	что касается	2	7
27	было бы	12	7
28	с этим	2	7
29	не может	12	7
30	что такое	10	7
31	точки зрения	17	7
32	в то	6	7
33	из этих	2	6
34	в конце	4	6
35	не в	6	6
36	только в	3	6
37	как бы	11	6
38	как в	2	6
39	а в	5	6
40	т п	2	6
41	то же	10	5
42	в них	3	5
43	потому что	14	5
44	с другой	6	5
45	на то	5	5
46	ни в	15	5
47	об этом	4	5
48	говорит что	3	5
49	в котором	4	5
50	и это	2	5
51	а не	14	5
52	того что	2	5
53	другой стороны	4	5
54	он не	3	5
55	так и	9	5
56	мы имеем	2	5
57	но в	6	5
58	этом отношении	2	4
59	всяком случае	2	4
60	точка зрения	2	4
61	по крайней	4	4
62	в каждом	2	4
63	этом смысле	3	4
64	была бы	3	4
65	крайней мере	4	4
66	как и	2	4
67	мы видим	4	4
68	это есть	9	4
69	но это	8	4
70	то в	7	4
71	что здесь	2	4
72	в качестве	2	4
73	можно сказать	6	4
74	если бы	12	4
75	в ней	3	4
76	к ней	4	4
77	относится к	2	4
78	в своей	2	4
79	отношение к	5	4
80	отличается от	2	4
81	в особенности	5	4
82	не было	6	4
83	с точки	12	4
84	в чем	6	4
85	к нему	8	4
86	и для	2	4
87	и с	5	4
88	время как	2	4
89	сказать что	10	4
90	во всяком	4	4
91	в каком	8	4
92	все же	5	4
93	ничего не	17	4
94	и более	4	3
95	тому что	3	3
96	к этому	2	3
97	же время	4	3
98	всех этих	3	3
99	с этой	2	3
100	для него	2	3
101	тем более	2	3
102	что я	3	3
103	и что	12	3
104	на этом	2	3
105	одной стороны	2	3
106	несмотря на	10	3
107	о которых	2	3
108	конце концов	3	3
109	все эти	2	3
110	не является	3	3
111	со стороны	2	3
112	в их	3	3
113	как раз	4	3
114	уже не	2	3
115	что для	3	3
116	в виде	2	3
117	говорить о	5	3
118	в другом	2	3
119	так как	11	3
120	а с	2	2
121	не был	2	2
122	не менее	2	2
123	исторической эпохи	2	2
124	никогда не	9	2
125	для этого	2	2
126	точку зрения	3	2
127	и у	2	2
128	как о	2	2
129	но они	2	2
130	вовсе не	7	2
131	не буду	3	2
132	утверждать что	3	2
133	что именно	2	2
134	или иной	3	2
135	к тому	4	2
136	как мы	4	2
137	не как	2	2
138	если и	2	2
139	но все	3	2
140	такой же	2	2
141	что они	3	2
142	что если	2	2
143	но не	4	2
144	до сих	2	2
145	только тогда	2	2
146	еще не	2	2
147	и может	2	2
148	это за	2	2
149	в самом	3	2
150	на что	2	2
151	в виду	5	2
152	на себе	3	2
153	если в	3	2
154	гораздо более	3	2
155	один из	3	2
156	как можно	2	2
157	дело не	2	2
158	сих пор	2	2
159	и тогда	2	2
160	только что	3	2
161	нас не	2	2
162	в отношении	5	2
163	т д	19	2
164	с одной	2	2
165	не просто	7	2
166	мы находим	7	2
167	самом деле	3	2
168	для того	2	2
169	что не	7	2
170	его не	6	2
171	между собою	2	2
172	в которых	2	2
173	то он	2	2
174	можно найти	2	2
175	то и	2	2
176	но есть	2	2
177	ни на	6	2
178	могут быть	3	2
179	он и	2	2
180	но как	2	2
181	что эта	4	2
182	и ни	6	2
183	не имеет	15	2
184	заметить что	2	2
