N	3gram	Losev_Prob_2	VLabPisa
1	и т д	6	15
2	с другой стороны	5	8
3	не может быть	3	8
4	по этому поводу	2	7
5	более или менее	4	6
6	хотя бы и	3	5
7	в то же	4	5
8	можно сказать что	3	4
9	в связи с	5	4
10	в том что	4	4
11	это и есть	2	3
12	в этой области	3	3
13	о том что	14	3
14	в значительной мере	3	3
15	в том числе	2	2
16	в конце концов	7	2
17	в частности в	2	2
18	том числе и	2	2
19	не только не	2	2
20	точном смысле слова	2	2
21	по крайней мере	6	2
22	до сих пор	4	2
23	только то что	3	2
24	во всяком случае	10	2
25	одной стороны и	3	2
26	с одной стороны	5	2
27	бы не было	3	2
28	подобно тому как	2	2
29	можно было бы	2	2
30	для того чтобы	2	2
