N	2gram	Tiupa_Hudo_1	Psycholo
1	то что	4	32
2	и в	19	31
3	в том	18	30
4	то есть	18	26
5	что в	6	23
6	может быть	14	22
7	таким образом	3	20
8	при этом	13	19
9	художественного произведения	3	17
10	не может	7	17
11	как и	2	16
12	том что	8	16
13	и не	15	16
14	точки зрения	10	15
15	только в	5	14
16	а не	9	13
17	не только	16	13
18	что и	2	13
19	так же	2	12
20	если мы	2	12
21	в этом	11	12
22	в самом	5	11
23	могут быть	4	11
24	не в	7	11
25	в области	6	11
26	того что	4	10
27	потому что	3	10
28	искусства в	4	9
29	по себе	2	9
30	ни в	5	9
31	как в	2	9
32	никогда не	2	8
33	произведение искусства	8	8
34	всякий раз	2	8
35	все это	2	8
36	и что	3	8
37	что он	3	7
38	есть в	2	7
39	и его	12	7
40	заключается в	2	7
41	того чтобы	2	7
42	сказать что	4	7
43	о том	2	7
44	вовсе не	2	6
45	одной стороны	2	6
46	художественного творчества	4	6
47	если бы	3	6
48	из этих	3	6
49	отнюдь не	2	6
50	а в	12	6
51	что она	2	6
52	для того	2	6
53	в его	9	6
54	не является	4	5
55	в ее	5	5
56	с одной	2	5
57	говорит что	2	5
58	в какой	2	5
59	как бы	9	5
60	в целом	3	5
61	другой стороны	5	5
62	и для	2	5
63	то же	10	5
64	с другой	7	5
65	иначе говоря	4	5
66	в то	6	5
67	к тому	4	4
68	в которой	2	4
69	и другие	2	4
70	в виду	5	4
71	искусства как	3	4
72	прежде всего	4	4
73	тому что	2	4
74	в себе	9	4
75	отличие от	7	4
76	одна из	2	4
77	от себя	3	4
78	и о	3	4
79	один из	2	4
80	в этих	3	4
81	со стороны	2	4
82	совпадает с	2	4
83	в искусстве	7	4
84	этого слова	2	4
85	между тем	4	4
86	как это	5	4
87	мы имеем	6	4
88	произведении искусства	2	3
89	состоит в	16	3
90	в частности	13	3
91	могут служить	2	3
92	конечном счете	5	3
93	в своем	2	3
94	и к	3	3
95	не будет	2	3
96	но не	11	3
97	например в	3	3
98	в этой	2	3
99	хотя и	3	3
100	в слове	3	3
101	он не	4	3
102	в конечном	5	3
103	в своей	5	3
104	так и	11	3
105	который в	2	3
106	в отличие	7	3
107	и по	2	3
108	слова в	2	3
109	и это	2	3
110	в художественном	4	3
111	в произведении	3	3
112	на деле	3	3
113	но в	7	3
114	в основе	4	2
115	не менее	3	2
116	тот кто	2	2
117	этих двух	2	2
118	сама по	2	2
119	и составляет	3	2
120	этом смысле	3	2
121	и как	3	2
122	и состоит	3	2
123	в них	2	2
124	одного и	2	2
125	в жизни	2	2
126	или иных	2	2
127	с ним	2	2
128	а только	4	2
129	том и	2	2
130	тем не	3	2
131	уже не	4	2
132	и потому	2	2
133	только о	2	2
134	себя и	2	2
135	представляет собой	10	2
136	более или	5	2
137	в качестве	24	2
138	того же	2	2
139	без остатка	2	2
140	или иным	3	2
141	случае не	2	2
142	о чем	2	2
143	это отношение	3	2
144	имеет место	2	2
145	из которого	4	2
146	тех или	2	2
147	далеко не	2	2
148	к жизни	2	2
149	на почве	3	2
150	даже в	3	2
151	и тем	2	2
152	в нем	5	2
153	области искусства	2	2
154	как говорит	3	2
155	отношение к	5	2
156	я думаю	2	2
157	но и	10	2
158	или менее	5	2
159	приводит к	5	2
160	отличается от	2	2
161	как раз	3	2
162	в себя	2	2
163	на основе	2	2
164	тем самым	4	2
165	к нему	3	2
166	с точки	3	2
167	в чем	2	2
168	как к	2	2
169	их в	3	2
170	одно из	2	2
171	из виду	2	2
172	в каком	2	2
173	но как	2	2
174	и то	4	2
175	его в	2	2
176	из этого	2	2
177	искусства но	3	2
178	в одном	2	2
