N	2gram	Bakhtin_fo_2	Problema
1	то что	7	42
2	вовсе не	13	35
3	то есть	10	33
4	и в	46	32
5	и не	9	31
6	в этом	22	19
7	не только	11	17
8	потому что	8	16
9	по себе	2	15
10	а не	4	15
11	в себе	4	15
12	как бы	10	14
13	может быть	7	14
14	у нас	2	14
15	но в	10	14
16	в нем	5	13
17	что в	5	12
18	вещи и	2	12
19	том что	4	12
20	так и	7	12
21	и т	14	11
22	и даже	3	11
23	также и	4	11
24	о том	4	11
25	так как	6	11
26	то же	8	10
27	прежде всего	14	10
28	в этой	2	10
29	т д	3	10
30	отнюдь не	4	10
31	но не	5	9
32	в том	10	9
33	но и	9	9
34	так же	2	9
35	же самое	3	9
36	по своему	2	9
37	еще не	6	9
38	того чтобы	8	9
39	в данном	2	9
40	и это	2	9
41	не может	2	8
42	все эти	5	8
43	и о	2	8
44	и на	7	8
45	было бы	2	8
46	для того	8	8
47	но это	2	8
48	никогда не	6	7
49	смысле слова	2	7
50	все это	6	7
51	того что	3	7
52	всех этих	7	7
53	в них	7	7
54	и все	6	7
55	что он	3	7
56	во всех	11	7
57	как мы	6	7
58	во всяком	2	7
59	тем что	3	7
60	только в	11	7
61	здесь не	2	7
62	и есть	2	6
63	в конце	2	6
64	так что	4	6
65	и как	3	6
66	при этом	6	6
67	хотя и	3	6
68	в виду	3	6
69	таким образом	3	6
70	это не	2	6
71	говорить о	2	6
72	его в	6	6
73	как это	2	6
74	о чем	3	6
75	в то	5	6
76	в его	8	6
77	в своем	5	5
78	или иной	2	5
79	можно сказать	2	5
80	мы уже	9	5
81	в котором	4	5
82	с тем	2	5
83	не является	3	5
84	то в	2	5
85	тем более	3	5
86	связи с	8	5
87	далеко не	2	5
88	совсем не	2	4
89	и весь	2	4
90	именно в	2	4
91	не в	9	4
92	в дальнейшем	5	4
93	и пр	2	4
94	один из	2	4
95	после этого	2	4
96	в их	3	4
97	и только	2	4
98	не было	3	4
99	а в	3	4
100	их в	4	4
101	в истории	4	4
102	как он	2	4
103	в литературе	2	4
104	же в	4	4
105	самое время	3	4
106	а также	3	4
107	как в	4	4
108	если не	2	4
109	и для	9	4
110	в связи	8	4
111	только для	2	3
112	уже в	4	3
113	прежде чем	3	3
114	в этих	3	3
115	в отношении	2	3
116	с другой	2	3
117	что все	2	3
118	что они	4	3
119	из них	8	3
120	и его	12	3
121	в самой	2	3
122	в которых	3	3
123	с этим	5	3
124	но он	2	3
125	точки зрения	10	3
126	что здесь	2	3
127	с ним	4	3
128	и во	6	3
129	как и	8	3
130	того же	3	3
131	есть и	4	3
132	здесь в	6	3
133	до сих	2	3
134	к тому	3	3
135	он не	5	3
136	сами по	2	3
137	быть и	2	3
138	сих пор	2	3
139	уже не	3	3
140	не на	3	3
141	с точки	8	3
142	значит что	2	3
143	мы будем	3	2
144	друг другу	2	2
145	в это	3	2
146	этом случае	2	2
147	без всякого	2	2
148	следовательно и	3	2
149	для него	3	2
150	кроме того	3	2
151	для чего	2	2
152	и до	2	2
153	не для	2	2
154	должно быть	5	2
155	мы наблюдаем	3	2
156	особенно в	2	2
157	этого романа	2	2
158	и с	6	2
159	из этих	4	2
160	и должно	2	2
161	мы имеем	2	2
162	том как	3	2
163	могут быть	2	2
164	а потом	2	2
165	и так	2	2
166	на первый	3	2
167	о его	2	2
168	по существу	5	2
169	мы видим	2	2
170	в качестве	3	2
171	она не	2	2
172	со всеми	2	2
173	в сущности	2	2
174	и потому	2	2
175	нет и	3	2
176	вместе с	9	2
177	ее в	3	2
178	как его	2	2
179	и всегда	2	2
180	в ряд	9	2
