N	2gram	Tiupa_Narr_1	Analitik
1	в качестве	21	31
2	может быть	25	29
3	в том	18	27
4	не может	10	22
5	и не	20	21
6	в частности	14	19
7	и в	19	18
8	а не	12	17
9	но и	23	17
10	представляет собой	13	16
11	отнюдь не	5	15
12	не только	32	15
13	тогда как	12	14
14	коммуникативного события	12	14
15	не в	14	14
16	как и	7	13
17	в его	9	13
18	в этом	17	13
19	текста в	2	12
20	том что	14	12
21	при этом	9	12
22	художественного текста	2	12
23	состоит в	13	11
24	в себе	8	11
25	то есть	19	11
26	но не	5	10
27	то же	4	9
28	а в	11	9
29	иначе говоря	6	9
30	в то	3	9
31	в мире	9	8
32	не есть	3	8
33	в той	6	8
34	в принципе	4	8
35	нуждается в	5	8
36	но в	6	8
37	к тому	7	7
38	этого слова	2	7
39	значении этого	3	7
40	тем самым	6	7
41	времени и	7	6
42	это не	2	6
43	прежде всего	4	6
44	или иной	5	6
45	же время	4	6
46	в сущности	3	6
47	в случае	7	6
48	себя в	5	6
49	той или	4	6
50	далеко не	5	6
51	то что	11	6
52	коммуникативное событие	3	6
53	в себя	6	6
54	в отличие	5	6
55	отличие от	5	6
56	по отношению	7	6
57	в основе	5	6
58	точки зрения	10	6
59	по своей	3	6
60	только в	4	6
61	мы имеем	2	6
62	и как	5	5
63	в этой	5	5
64	что в	3	5
65	такого рода	7	5
66	имеет место	4	5
67	как бы	4	5
68	отношению к	6	5
69	в тексте	16	5
70	и т.п	8	5
71	сводится к	3	5
72	и его	5	5
73	между тем	3	5
74	и на	3	5
75	что иное	2	5
76	о том	6	5
77	в произведении	3	5
78	иное как	2	5
79	могут быть	3	4
80	себя и	2	4
81	конечном счете	2	4
82	столь же	3	4
83	с другой	8	4
84	не всегда	2	4
85	по себе	5	4
86	в литературе	2	4
87	не что	2	4
88	ни в	3	4
89	тому же	5	4
90	субъекта и	2	4
91	имеем дело	2	4
92	в области	2	4
93	в конечном	3	4
94	не с	3	4
95	все же	7	4
96	так и	9	4
97	во времени	8	4
98	дело с	2	4
99	именно в	6	4
100	и пространстве	5	4
101	уже не	5	4
102	ни было	3	4
103	из которых	4	4
104	с точки	2	4
105	исходя из	2	4
106	как правило	4	4
107	и соответственно	2	4
108	всего лишь	2	4
109	том числе	6	3
110	по мысли	3	3
111	в рамках	12	3
112	с его	6	3
113	> в	3	3
114	однако в	2	3
115	которая в	2	3
116	и одновременно	2	3
117	то ни	3	3
118	хотя бы	4	3
119	и все	2	3
120	в любом	2	3
121	личности в	2	3
122	или иного	2	3
123	в собственном	2	3
124	в нем	4	3
125	и представляет	2	3
126	что он	6	3
127	она может	2	3
128	в силу	4	3
129	том или	2	3
130	во внешнем	2	3
131	как известно	2	3
132	еще не	7	3
133	одной стороны	7	3
134	что не	4	3
135	одним из	2	3
136	он не	3	3
137	о нем	4	3
138	если в	3	3
139	даже в	2	3
140	не будет	3	3
141	бы то	3	3
142	в культуре	2	3
143	а именно	3	3
144	а с	3	3
145	с одной	7	3
146	как справедливо	2	3
147	организации текста	2	3
148	того или	2	3
149	к нему	5	3
150	в таком	2	3
151	тому как	2	3
152	не случайно	2	3
153	между двумя	5	3
154	или ином	2	3
155	подобно тому	2	3
156	как будто	3	3
157	что мы	2	3
158	будто бы	3	3
159	бы быть	3	3
160	а также	7	3
161	оно может	2	3
162	своего рода	12	3
163	таком случае	2	3
164	в противоположность	2	2
165	быть может	2	2
166	художественного высказывания	2	2
167	не являются	2	2
168	никогда не	3	2
169	все эти	2	2
170	между собой	2	2
171	но о	3	2
172	в какой	2	2
173	первом случае	2	2
174	не столько	4	2
175	не является	8	2
176	из этих	3	2
177	мировое древо	2	2
178	говорит и	2	2
179	текста на	3	2
180	не сводится	2	2
181	поведения в	2	2
182	что именно	2	2
183	можно сказать	5	2
184	дискурс в	2	2
185	основе своей	4	2
186	различного рода	3	2
187	то в	6	2
188	и потому	2	2
189	в противовес	4	2
190	не предполагает	5	2
191	отношение к	2	2
192	для него	2	2
193	обозначить как	2	2
194	в пределах	2	2
195	читателя в	2	2
196	было бы	4	2
197	несмотря на	2	2
198	при всей	4	2
199	не о	3	2
200	и самого	3	2
201	в роли	2	2
202	одного из	4	2
203	нет и	2	2
204	сами по	2	2
205	не все	5	2
206	один из	3	2
207	представляют собой	2	2
208	как говорит	3	2
209	из них	3	2
210	события в	2	2
211	и до	2	2
212	данном случае	4	2
213	со стороны	9	2
214	присутствия в	3	2
215	выступает в	2	2
216	который в	2	2
217	по выражению	2	2
218	другой стороны	4	2
219	отличается от	4	2
220	здесь не	4	2
221	как к	2	2
222	бы не	2	2
223	отношения к	2	2
224	мифологическое мышление	2	2
225	собой не	2	2
226	этом отношении	3	2
227	сюжетного повествования	3	2
228	в двух	2	2
229	символическое воскресение	2	2
230	самом деле	2	2
231	особенно в	3	2
232	роль в	2	2
233	как мы	3	2
234	бесконечно репродуцируемых	2	2
235	на себя	3	2
236	каждый из	2	2
237	я героя	2	2
238	жизненной позиции	4	2
239	и рецептивная	3	2
240	тем более	2	2
241	героя в	8	2
242	в присутствии	3	2
243	в данном	5	2
244	даже самое	2	2
245	по бахтину	3	2
246	этом ряду	2	2
247	жизни но	2	2
248	в первом	3	2
249	героя к	3	2
250	в эпизоде	3	2
251	и с	4	2
252	мира в	5	2
