N	2gram	Losev_Vlad_1	Problema
1	то есть	3	46
2	в его	12	43
3	и не	17	42
4	и в	31	38
5	не может	6	27
6	может быть	6	26
7	отнюдь не	3	19
8	и с	14	17
9	и его	7	16
10	в нем	4	15
11	в этом	14	15
12	и т	2	14
13	только в	9	13
14	за пределы	3	12
15	но не	3	12
16	ни в	2	11
17	и для	2	11
18	к нему	4	10
19	отношение к	3	10
20	таким образом	3	10
21	но и	19	9
22	не только	24	9
23	место в	2	8
24	в том	11	8
25	и как	4	8
26	точки зрения	2	8
27	было бы	2	8
28	для нее	2	8
29	то что	18	8
30	что в	14	7
31	с другой	3	7
32	не в	5	7
33	в самом	2	7
34	как и	4	7
35	еще не	2	7
36	совершенно не	2	7
37	в своей	4	7
38	как мы	9	7
39	а в	9	6
40	все же	3	6
41	ничего не	3	6
42	то же	6	5
43	в своем	4	5
44	при этом	2	5
45	никогда не	9	5
46	все эти	3	5
47	с ним	5	5
48	в них	2	5
49	конечно не	2	5
50	и о	2	5
51	так и	6	5
52	не менее	2	4
53	в нашем	4	4
54	другой стороны	3	4
55	с ними	2	4
56	сказать что	7	4
57	в то	8	4
58	о том	11	4
59	и потому	6	4
60	но в	12	4
61	как в	3	4
62	тем самым	2	4
63	хотя бы	2	4
64	в себе	4	4
65	здесь не	3	4
66	мы будем	2	3
67	и от	5	3
68	в тех	2	3
69	тем не	2	3
70	да и	4	3
71	в дальнейшем	8	3
72	но это	3	3
73	же время	4	3
74	кроме того	7	3
75	несмотря на	4	3
76	хотя и	4	3
77	в целом	3	3
78	все это	5	3
79	и даже	15	3
80	и на	3	3
81	также и	10	3
82	и все	4	3
83	этом смысле	4	3
84	ясно что	2	3
85	и к	6	3
86	том что	14	3
87	от него	2	3
88	все что	2	3
89	мы увидим	3	3
90	одной из	2	3
91	не будем	2	3
92	он не	10	3
93	нет и	2	3
94	на него	3	3
95	значение для	2	3
96	и это	2	3
97	едва ли	3	3
98	на этом	2	2
99	я не	4	2
100	и весь	2	2
101	в частности	2	2
102	что все	2	2
103	первый план	2	2
104	на то	5	2
105	можно сказать	6	2
106	но зато	2	2
107	по поводу	12	2
108	и у	4	2
109	в котором	6	2
110	ни с	4	2
111	но она	3	2
112	как к	2	2
113	в связи	3	2
114	в особенности	4	2
115	не было	5	2
116	человека как	3	2
117	чем не	2	2
118	и других	2	2
119	этой области	2	2
120	здесь мы	3	2
121	лишь в	2	2
122	и что	6	2
123	того что	2	2
124	и здесь	3	2
125	в своих	5	2
126	к себе	2	2
127	к его	3	2
128	но как	5	2
129	в начале	3	2
130	во всем	4	2
131	в истории	4	2
132	о котором	2	2
133	мы должны	2	2
134	в россии	4	2
135	как это	7	2
136	с его	11	2
137	раз и	3	2
138	к этому	6	2
139	вовсе не	5	2
140	на первый	2	2
141	что он	12	2
142	у нас	6	2
143	по существу	2	2
144	а к	22	2
145	этот момент	2	2
146	что и	5	2
147	себя в	4	2
148	к своему	3	2
149	того чтобы	2	2
150	для того	2	2
151	и он	3	2
152	тем что	2	2
153	в виде	3	2
154	и вообще	4	2
155	дело в	4	2
156	в чем	2	2
