N	2gram	Berdyaev_V_1	Problema
1	и в	16	30
2	в своей	3	22
3	то что	9	18
4	не только	2	18
5	том что	2	17
6	в этом	4	17
7	но и	5	13
8	людей и	2	13
9	потому что	4	13
10	в том	3	12
11	в его	4	12
12	и не	20	12
13	для нас	2	10
14	на земле	7	9
15	но в	3	9
16	только в	2	9
17	и все	4	9
18	в конце	3	8
19	хотя и	5	8
20	никогда не	3	7
21	что он	4	7
22	как и	4	7
23	но не	2	7
24	так и	4	7
25	не в	3	7
26	прежде всего	2	6
27	уже не	2	6
28	и для	3	6
29	как бы	5	6
30	в нем	4	6
31	что и	3	6
32	и что	3	6
33	а в	2	6
34	так как	9	6
35	с тем	2	5
36	что в	3	5
37	людей в	3	5
38	а не	7	5
39	и то	2	5
40	если не	3	4
41	человека и	6	4
42	ни в	3	4
43	для людей	2	4
44	и сам	2	4
45	у людей	2	4
46	не так	2	4
47	к людям	6	4
48	а с	2	4
49	свободы и	12	4
50	что от	2	3
51	для них	2	3
52	в духе	2	3
53	что они	7	3
54	тот же	3	3
55	еще не	8	3
56	того что	5	3
57	и никогда	2	3
58	в человека	2	3
59	от этого	3	3
60	в ней	4	3
61	с ним	2	3
62	мира в	2	3
63	не могут	2	2
64	верит в	2	2
65	по этому	3	2
66	нет у	4	2
67	в них	3	2
68	который тоже	2	2
69	хотя бы	3	2
70	это не	2	2
71	за то	3	2
72	один из	2	2
73	к тому	3	2
74	да и	2	2
75	мы и	2	2
76	не будет	2	2
77	жизни и	3	2
78	что не	4	2
79	вслед за	2	2
80	огонь с	2	2
81	конечно не	2	2
82	в котором	4	2
83	людей не	2	2
84	не к	2	2
85	и за	2	2
86	ее в	2	2
87	все что	4	2
88	и люди	2	2
89	и тогда	2	2
90	все эти	3	2
91	почему в	2	2
92	и они	3	2
93	мы не	2	2
94	того чтобы	2	2
95	земли и	2	2
96	его не	2	2
97	можно было	2	2
98	во всяком	2	2
99	между тем	2	2
100	тем что	2	2
101	нас и	3	2
102	в чем	3	2
