N	2gram	Propp_Russ_2	Psycholo
1	то что	5	32
2	и в	29	31
3	в том	22	30
4	и т	5	26
5	что в	22	23
6	может быть	13	22
7	таким образом	6	20
8	при этом	6	19
9	так как	13	18
10	не может	5	17
11	как и	11	16
12	том что	22	16
13	а не	4	13
14	не только	10	13
15	что и	2	13
16	так же	4	12
17	мы не	6	12
18	в этом	11	12
19	могут быть	2	11
20	не в	4	11
21	того что	3	10
22	потому что	5	10
23	как в	7	9
24	никогда не	2	8
25	вместе с	6	8
26	все это	10	8
27	т д	5	8
28	и что	5	8
29	том чтобы	2	7
30	есть в	2	7
31	только тогда	3	7
32	того чтобы	6	7
33	тому как	3	7
34	о том	9	7
35	что это	3	6
36	очевидно что	2	6
37	одной стороны	2	6
38	до конца	3	6
39	было бы	3	6
40	из этих	2	6
41	а в	9	6
42	что она	3	6
43	для того	6	6
44	эта теория	4	5
45	и все	4	5
46	тогда когда	4	5
47	в ее	3	5
48	показывает что	8	5
49	все же	2	5
50	так что	4	5
51	с одной	2	5
52	то время	2	5
53	для нас	6	5
54	она не	3	5
55	совершенно не	2	5
56	как бы	18	5
57	и для	2	5
58	то же	4	5
59	с другой	2	5
60	подобно тому	3	5
61	в то	2	5
62	в которой	2	4
63	в котором	3	4
64	и другие	14	4
65	в виду	2	4
66	прежде всего	2	4
67	отличие от	3	4
68	по существу	4	4
69	же как	4	4
70	одна из	11	4
71	у нас	4	4
72	и о	3	4
73	один из	2	4
74	в этих	3	4
75	к этому	5	4
76	в своих	2	4
77	с этой	2	4
78	там где	2	4
79	между тем	3	4
80	как это	4	4
81	мы имеем	6	4
82	совсем не	2	3
83	с тем	6	3
84	состоит в	15	3
85	с в	8	3
86	та же	2	3
87	рассматриваться как	2	3
88	представление о	5	3
89	совершенно очевидно	2	3
90	вопрос о	4	3
91	и другой	3	3
92	что на	2	3
93	чтобы вызвать	2	3
94	это и	2	3
95	но не	5	3
96	не можем	2	3
97	для объяснения	2	3
98	из которых	2	3
99	в этой	3	3
100	в своей	2	3
101	что при	2	3
102	в отличие	3	3
103	не было	2	3
104	и других	3	3
105	и по	3	3
106	в таком	4	3
107	в которых	4	3
108	с этим	2	3
109	во всем	2	3
110	все то	2	3
111	когда мы	2	3
112	что по	4	3
113	но в	5	3
114	т е	24	3
115	ее от	2	3
116	не менее	2	2
117	видели что	4	2
118	если она	2	2
119	по этому	2	2
120	главным образом	3	2
121	и как	2	2
122	в разные	2	2
123	и там	3	2
124	в них	4	2
125	и от	3	2
126	ее и	2	2
127	это в	2	2
128	не всегда	3	2
129	там же	12	2
130	тем не	2	2
131	уже не	4	2
132	должна была	5	2
133	представляет собой	2	2
134	представления об	2	2
135	что здесь	3	2
136	в качестве	3	2
137	что с	2	2
138	это имеет	2	2
139	о чем	4	2
140	том же	4	2
141	далеко не	4	2
142	в него	2	2
143	к жизни	5	2
144	она как	2	2
145	к числу	2	2
146	мы видели	7	2
147	из них	4	2
148	но и	8	2
149	говорит о	2	2
150	как мы	3	2
151	то и	4	2
152	этому поводу	2	2
153	на самом	2	2
154	к нему	4	2
155	что для	3	2
156	принадлежат к	2	2
157	их в	4	2
158	и с	10	2
159	одно из	2	2
160	как например	3	2
161	и то	2	2
162	будто бы	5	2
163	его в	8	2
164	из этого	2	2
