N	2gram	Propp_Isto_6	Marksizm
1	может быть	11	28
2	и в	26	19
3	как бы	4	19
4	и не	10	19
5	не может	6	18
6	то же	5	16
7	и его	7	16
8	как мы	4	15
9	в этом	12	15
10	таким образом	12	14
11	не только	10	13
12	в нем	8	11
13	если бы	3	11
14	вовсе не	2	11
15	не в	3	10
16	но и	9	10
17	том что	10	10
18	так и	5	10
19	при этом	3	9
20	как и	5	9
21	а не	2	9
22	по отношению	2	8
23	в то	5	8
24	с его	4	8
25	отношению к	2	8
26	только в	5	8
27	никогда не	13	7
28	в том	12	7
29	его в	5	7
30	но в	7	7
31	прежде всего	4	7
32	одна из	2	7
33	к тому	2	6
34	ни в	2	6
35	и как	2	6
36	мы уже	6	6
37	мы можем	7	6
38	на этой	2	5
39	в форме	2	5
40	так же	2	5
41	и на	12	5
42	к этому	3	5
43	того же	2	5
44	в его	5	5
45	все же	8	5
46	в данном	3	5
47	должна быть	3	4
48	это не	4	4
49	на то	2	4
50	то что	6	4
51	и тем	4	4
52	мы видели	11	4
53	того что	2	4
54	с ними	2	4
55	сказать что	3	4
56	что он	9	4
57	было бы	2	4
58	связь с	11	4
59	и ее	3	4
60	в себе	3	4
61	ничего не	2	4
62	перед нами	2	3
63	в этих	2	3
64	с другой	10	3
65	и от	3	3
66	здесь мы	4	3
67	в этой	2	3
68	одной стороны	7	3
69	в ней	5	3
70	а в	3	3
71	с этим	2	3
72	с одной	7	3
73	что оно	4	3
74	все эти	8	3
75	не имеет	2	3
76	и формы	2	3
77	не было	3	3
78	о том	7	3
79	так как	18	3
80	оно может	2	3
81	у нас	5	3
82	в качестве	3	3
83	связано с	4	3
84	до сих	4	3
85	еще не	9	3
86	он не	2	3
87	относится к	2	3
88	и до	2	3
89	что и	4	3
90	не есть	2	3
91	не будет	5	3
92	в своей	3	3
93	только что	2	3
94	и то	3	3
95	во всяком	2	3
96	могут быть	3	3
97	и это	8	3
98	сих пор	4	3
99	связана с	3	2
100	все время	2	2
101	независимо от	3	2
102	что в	12	2
103	что это	2	2
104	в одной	2	2
105	вопрос о	3	2
106	в тех	3	2
107	мы знаем	2	2
108	он был	2	2
109	что они	2	2
110	такое понимание	2	2
111	о чем	2	2
112	не так	2	2
113	всяком случае	2	2
114	другими словами	3	2
115	жизни и	2	2
116	в своем	2	2
117	они не	3	2
118	как на	3	2
119	но для	2	2
120	в более	6	2
121	и с	6	2
122	он и	2	2
123	но как	4	2
124	или как	2	2
125	от этого	3	2
126	у него	7	2
127	уже знаем	2	2
128	стороны и	2	2
129	зависимости от	2	2
130	но не	2	2
131	или же	2	2
132	а с	2	2
133	сводится к	2	2
134	что не	2	2
135	должны быть	2	2
136	и эта	3	2
137	и он	4	2
138	мы не	6	2
139	или в	3	2
140	об одном	2	2
141	тем что	5	2
142	в виде	6	2
143	далеко не	3	2
144	там где	5	2
145	от него	3	2
146	из него	2	2
147	вместе с	8	2
