N	2gram	Vygotskiy__5	Analitik
1	в качестве	4	31
2	может быть	9	29
3	в том	18	27
4	не может	18	22
5	и не	12	21
6	в частности	3	19
7	и в	16	18
8	а не	10	17
9	но и	6	17
10	представляет собой	7	16
11	не только	16	15
12	не в	6	14
13	как и	8	13
14	в его	11	13
15	в этом	25	13
16	том что	15	12
17	при этом	4	12
18	состоит в	6	11
19	но не	10	10
20	то же	8	9
21	а в	3	9
22	в то	5	9
23	есть не	2	8
24	не есть	4	8
25	в той	6	8
26	но в	6	8
27	к тому	6	7
28	тем самым	8	7
29	это не	4	6
30	прежде всего	3	6
31	в самом	4	6
32	в сущности	13	6
33	в случае	2	6
34	то что	26	6
35	в своей	2	6
36	в себя	3	6
37	в отличие	2	6
38	отличие от	2	6
39	по отношению	12	6
40	в основе	8	6
41	точки зрения	18	6
42	по своей	3	6
43	только в	10	6
44	и того	3	5
45	и как	3	5
46	в этой	6	5
47	что в	16	5
48	имеет место	2	5
49	как бы	5	5
50	внутренней речи	7	5
51	отношению к	12	5
52	в целом	4	5
53	в их	3	5
54	и его	3	5
55	между тем	3	5
56	и на	6	5
57	о том	8	5
58	на вопрос	5	4
59	того что	16	4
60	и более	3	4
61	могут быть	4	4
62	себя и	2	4
63	столь же	2	4
64	с другой	4	4
65	по себе	7	4
66	тому же	2	4
67	того же	7	4
68	для того	14	4
69	в области	12	4
70	не с	2	4
71	все же	3	4
72	вместе с	4	4
73	так и	7	4
74	именно в	4	4
75	сознания в	3	4
76	из того	11	4
77	из которых	3	4
78	с точки	9	4
79	в другом	6	4
80	с ним	5	4
81	не могут	4	3
82	и есть	7	3
83	которая в	2	3
84	хотя бы	5	3
85	в нем	7	3
86	и к	2	3
87	обратиться к	2	3
88	в ходе	12	3
89	что он	25	3
90	в силу	10	3
91	как известно	4	3
92	еще не	4	3
93	одной стороны	3	3
94	никто не	2	3
95	к объекту	7	3
96	одним из	2	3
97	он не	8	3
98	в котором	2	3
99	если в	3	3
100	что и	3	3
101	вопрос об	3	3
102	таким образом	19	3
103	а с	2	3
104	с одной	3	3
105	того чтобы	17	3
106	к нему	3	3
107	тому как	4	3
108	между двумя	3	3
109	мере в	5	3
110	подобно тому	4	3
111	как будто	2	3
112	что мы	4	3
113	вопроса о	3	3
114	как он	6	3
115	если бы	8	3
116	только для	2	2
117	может иметь	2	2
118	и то	4	2
119	которое дает	2	2
120	только не	3	2
121	на все	5	2
122	никогда не	5	2
123	все эти	4	2
124	его и	3	2
125	между собой	13	2
126	в какой	6	2
127	не является	5	2
128	тогда когда	5	2
129	вовсе не	2	2
130	вопрос о	12	2
131	как уже	3	2
132	той мере	3	2
133	можно сказать	5	2
134	то в	3	2
135	и потому	2	2
136	такой же	4	2
137	должно быть	8	2
138	отношение к	11	2
139	для него	5	2
140	в пределах	4	2
141	или не	2	2
142	было бы	10	2
143	на его	2	2
144	за пределы	4	2
145	как совокупность	2	2
146	свое время	2	2
147	совпадает с	2	2
148	и является	3	2
149	в свое	2	2
150	еще в	3	2
151	к предмету	2	2
152	представляют собой	2	2
153	он может	3	2
154	из них	2	2
155	в процессе	13	2
156	другой стороны	2	2
157	на примере	3	2
158	на этом	3	2
159	же мере	5	2
160	отношения к	2	2
161	той же	4	2
162	этом отношении	5	2
163	самом деле	3	2
164	и по	4	2
165	как мы	10	2
166	на основе	2	2
167	ничто не	2	2
168	тем более	4	2
169	из виду	2	2
170	одного и	3	2
171	же самое	4	2
172	могли бы	6	2
173	и составляет	4	2
174	в первом	3	2
175	так как	16	2
176	потому что	21	2
177	в которой	5	2
178	и с	3	2
