N	3gram	Voloshinov_2	formyVre
1	то же время	8	9
2	как мы уже	3	8
3	в то же	8	6
4	и того же	4	5
5	одного и того	4	5
6	в связи с	7	5
7	для того чтобы	6	5
8	нашей точки зрения	2	3
9	одно и то	3	3
10	с нашей точки	2	3
11	до сих пор	3	3
12	и то же	3	3
13	по отношению к	8	3
14	не может быть	10	3
15	с самого начала	5	2
16	той или иной	4	2
17	в нем нет	2	2
18	с точки зрения	13	2
19	с одной стороны	3	2
20	одной стороны и	2	2
21	в отличие от	3	2
22	как если бы	4	2
23	в точном смысле	4	2
24	может быть и	5	2
25	к тому же	2	2
26	и прежде всего	2	2
27	в том что	6	2
28	но и в	2	2
