N	2gram	Vygotskiy__6	OGranits
1	и в	28	13
2	и его	3	12
3	прежде всего	2	9
4	не может	19	8
5	и не	11	8
6	может быть	13	8
7	точки зрения	13	7
8	в его	3	7
9	таким образом	18	6
10	не только	16	6
11	то что	28	6
12	только в	18	6
13	мы должны	3	6
14	как бы	11	6
15	все же	2	5
16	с точки	10	5
17	языка и	5	5
18	и т.д	3	5
19	и наконец	2	5
20	в процессе	9	5
21	то же	7	4
22	но мы	3	4
23	в своей	2	4
24	в школе	12	4
25	все это	2	4
26	в каждом	3	4
27	на фоне	3	4
28	мы не	6	4
29	мы можем	9	4
30	слов и	3	4
31	было бы	9	4
32	в сознании	4	4
33	но в	5	4
34	отношению к	10	3
35	что в	17	3
36	никогда не	8	3
37	но и	10	3
38	так и	6	3
39	в их	3	3
40	по отношению	10	3
41	и все	5	3
42	в одном	2	3
43	точку зрения	2	3
44	самом деле	2	3
45	к одному	2	3
46	как и	6	3
47	не в	4	3
48	в которой	7	3
49	и то	4	3
50	в пределах	5	3
51	в себе	4	3
52	с этим	4	3
53	так как	10	3
54	еще в	2	2
55	не менее	2	2
56	и др	2	2
57	себе что	2	2
58	с этой	2	2
59	самого начала	7	2
60	и тем	5	2
61	в нем	7	2
62	ее в	2	2
63	к предмету	6	2
64	в целом	3	2
65	который мы	4	2
66	а не	3	2
67	что эта	2	2
68	в отношении	10	2
69	отношений между	10	2
70	другой стороны	2	2
71	с другой	2	2
72	не на	2	2
73	в них	3	2
74	в связи	2	2
75	а в	2	2
76	все эти	2	2
77	к анализу	3	2
78	те же	3	2
79	с самого	7	2
80	к тому	10	2
81	и к	6	2
82	как в	3	2
83	если бы	7	2
84	в чем	6	2
85	не имеет	6	2
86	в том	28	2
87	так же	15	2
88	том что	19	2
89	в зависимости	5	2
90	мы видим	7	2
91	с ними	2	2
92	с помощью	13	2
93	в своих	3	2
94	в данном	2	2
95	зависимости от	5	2
96	что они	2	2
97	в этом	27	2
98	от этого	3	2
99	тем что	8	2
100	и следовательно	4	2
101	могут быть	5	2
102	при этом	3	2
103	нуждается в	3	2
104	связанные с	3	2
105	для него	6	2
106	форм и	2	2
107	в другом	2	2
108	более того	2	2
109	несмотря на	2	2
110	мы уже	2	2
111	разрыв между	2	2
112	в области	6	2
113	в самом	8	2
114	мог бы	3	2
115	имеет место	2	2
116	которое мы	2	2
117	там где	7	2
118	бы в	3	2
119	и является	2	2
