N	2gram	Berdyaev_N_1	Vladivir
1	и в	16	31
2	не только	5	24
3	но и	3	19
4	то что	4	18
5	и не	11	17
6	у него	2	15
7	и даже	2	15
8	том что	2	14
9	что в	9	14
10	в этом	7	14
11	и с	2	14
12	но в	2	12
13	с его	6	11
14	в том	8	11
15	потому что	4	11
16	о том	4	11
17	он не	8	10
18	никогда не	6	9
19	а в	2	9
20	в то	2	8
21	как это	2	7
22	сказать что	3	7
23	и к	5	6
24	и потому	4	6
25	может быть	7	6
26	так и	2	6
27	не может	16	6
28	и что	2	6
29	это было	3	6
30	все это	5	5
31	не в	6	5
32	и от	2	5
33	жизни и	8	5
34	не было	4	5
35	я не	2	4
36	и все	4	4
37	этом смысле	2	4
38	в нем	5	4
39	в себе	2	4
40	как и	7	4
41	совсем не	12	4
42	такого рода	2	4
43	хотя и	2	4
44	себя в	2	4
45	в своей	3	4
46	в истории	3	4
47	мысли и	2	4
48	в россии	3	4
49	к тому	3	3
50	с другой	3	3
51	в жизни	5	3
52	как в	3	3
53	но не	2	3
54	но это	6	3
55	но я	2	3
56	по своему	4	3
57	за пределы	3	3
58	вместе с	2	3
59	другой стороны	2	3
60	все эти	2	3
61	уже не	2	3
62	и на	2	3
63	но она	2	3
64	место в	2	2
65	с тем	3	2
66	не менее	4	2
67	нет и	2	2
68	в них	4	2
69	хотя бы	2	2
70	по существу	2	2
71	что все	2	2
72	и весь	2	2
73	ни в	6	2
74	это и	2	2
75	еще не	3	2
76	и мы	4	2
77	конечно не	3	2
78	том чтобы	2	2
79	к жизни	3	2
80	в свои	2	2
81	что она	2	2
82	и для	4	2
83	лишь в	6	2
84	того чтобы	2	2
85	что такое	3	2
86	времени в	2	2
87	и это	2	2
88	бога и	3	2
