N	2gram	Vinokur_Vv_1	Marksizm
1	точки зрения	7	34
2	может быть	24	26
3	и не	13	26
4	не может	13	24
5	с точки	2	20
6	и в	27	19
7	и его	5	19
8	таким образом	19	17
9	языка как	2	17
10	в этом	34	16
11	как бы	5	15
12	языка в	4	14
13	прежде всего	8	13
14	языка и	12	13
15	как мы	9	13
16	как и	5	12
17	и для	4	11
18	связи с	3	11
19	в самом	12	10
20	в нем	13	10
21	самом деле	6	10
22	в результате	3	9
23	только в	13	9
24	при этом	3	8
25	но и	5	8
26	о языке	3	8
27	до сих	5	8
28	не только	21	8
29	все же	8	8
30	то что	17	8
31	сих пор	5	8
32	в каждом	4	7
33	в связи	2	7
34	все эти	3	7
35	так же	3	7
36	и те	2	7
37	но в	10	7
38	язык как	3	7
39	в ее	11	7
40	во всех	2	7
41	науки об	2	7
42	то же	8	7
43	а не	3	7
44	слова как	2	7
45	в том	31	6
46	другой стороны	5	6
47	того же	3	6
48	в его	10	6
49	на почве	5	6
50	и того	2	6
51	мы не	2	6
52	ничего не	2	6
53	с другой	8	5
54	одного и	2	5
55	в конце	3	5
56	именно в	8	5
57	не в	8	5
58	до конца	3	5
59	рядом с	2	5
60	в начале	3	5
61	к этому	3	5
62	вовсе не	6	5
63	в отличие	3	5
64	входит в	2	5
65	связи между	4	5
66	того чтобы	21	5
67	хотя бы	5	5
68	этот вопрос	4	5
69	во всяком	3	5
70	ясно что	9	5
71	отличие от	3	5
72	что в	11	4
73	не менее	8	4
74	в отношении	2	4
75	вопрос о	8	4
76	в ней	3	4
77	от того	3	4
78	не столько	2	4
79	а в	5	4
80	и на	3	4
81	сказать что	5	4
82	чем же	3	4
83	науки о	9	4
84	с этим	2	4
85	по себе	9	4
86	так называемая	2	4
87	еще не	4	4
88	было бы	5	4
89	что же	3	4
90	мысли и	2	4
91	только на	3	4
92	для того	21	4
93	между ними	2	4
94	в данном	11	4
95	отношении к	2	4
96	этом отношении	3	3
97	и есть	3	3
98	понятно что	3	3
99	в какой	4	3
100	а как	3	3
101	можно сказать	3	3
102	и как	9	3
103	в дальнейшем	2	3
104	же время	5	3
105	в котором	4	3
106	из них	3	3
107	этот процесс	3	3
108	все это	6	3
109	по отношению	4	3
110	следует что	2	3
111	конце концов	2	3
112	того что	12	3
113	не имеет	4	3
114	между тем	8	3
115	нуждается в	2	3
116	в то	5	3
117	действительности к	2	3
118	же самое	2	3
119	его в	6	3
120	языка а	2	3
121	не существует	2	3
122	смысле этого	8	3
123	первом случае	2	3
124	не могут	5	3
125	этом случае	6	3
126	том что	26	3
127	и при	2	3
128	одной из	3	3
129	в сущности	3	3
130	не есть	4	3
131	в первом	5	3
132	в своей	4	3
133	быть и	2	3
134	в истории	9	3
135	имеет свою	2	3
136	на этот	4	3
137	но все	3	3
138	и ее	4	3
139	и это	6	3
140	в области	4	3
141	зависит от	3	2
142	сама по	3	2
143	же как	3	2
144	независимо от	3	2
145	должна быть	2	2
146	в частности	3	2
147	никогда не	3	2
148	это делает	2	2
149	тому что	2	2
150	в своем	3	2
151	одной и	2	2
152	с системой	2	2
153	его к	2	2
154	тем не	8	2
155	как она	4	2
156	мог бы	2	2
157	и той	2	2
158	одним из	5	2
159	но если	3	2
160	в виду	4	2
161	всяком случае	3	2
162	себе и	2	2
163	и др	2	2
164	на этой	3	2
165	истории языка	5	2
166	жизни и	2	2
167	язык и	3	2
168	и других	3	2
169	не просто	4	2
170	целом ряде	2	2
171	именно на	2	2
172	во втором	2	2
173	действительности в	2	2
174	и даже	5	2
175	должно быть	2	2
176	можно было	7	2
177	в своих	2	2
178	в работе	3	2
179	с этой	4	2
180	говорит он	2	2
181	из этих	5	2
182	о том	15	2
183	этом смысле	11	2
184	как он	6	2
185	так как	13	2
186	свое выражение	3	2
187	и с	2	2
188	от этого	5	2
189	ни к	2	2
190	по мере	4	2
191	если бы	2	2
192	эти области	4	2
193	не как	3	2
194	быть в	4	2
195	что он	4	2
196	в себе	4	2
197	у нас	2	2
198	одна из	2	2
199	в качестве	7	2
200	есть лишь	2	2
201	к тому	4	2
202	история языка	2	2
203	этого слова	2	2
204	однако не	4	2
205	или вообще	5	2
206	что и	3	2
207	отношению к	4	2
208	отчет в	3	2
209	бы и	2	2
210	как раз	4	2
211	что не	5	2
212	из которых	2	2
213	что такое	10	2
214	той же	4	2
215	или иначе	4	2
216	связана с	4	2
217	мы можем	2	2
218	тем что	6	2
219	могут быть	4	2
220	в другом	3	2
221	и вообще	3	2
222	и т.д	4	2
223	как оно	3	2
224	в чем	4	2
