N	2gram	Bakhtin_Pr_1	VerxiiNi
1	и в	38	26
2	таким образом	10	22
3	в этом	15	15
4	точки зрения	8	13
5	как бы	22	12
6	в том	8	11
7	может быть	26	10
8	не только	9	10
9	и с	17	10
10	связи с	2	9
11	что в	7	9
12	но и	9	9
13	в области	11	9
14	с другой	7	8
15	но не	12	8
16	и не	42	8
17	и у	2	8
18	том что	3	7
19	одной стороны	3	7
20	к нему	10	7
21	то что	8	7
22	с одной	3	7
23	но в	4	7
24	и потому	4	6
25	несмотря на	3	6
26	что и	2	6
27	все же	6	6
28	так и	5	6
29	все это	3	6
30	все эти	5	6
31	с точки	6	6
32	в себе	4	6
33	мы должны	2	6
34	о том	4	6
35	и к	3	5
36	отношение к	10	5
37	одной из	3	5
38	в его	43	5
39	никогда не	5	5
40	лишь в	2	5
41	а не	5	5
42	того чтобы	2	5
43	для того	2	5
44	не имеет	9	5
45	и для	11	5
46	в мире	3	5
47	в этих	2	4
48	и от	3	4
49	что все	2	4
50	что он	2	4
51	в нем	15	4
52	из которых	2	4
53	в самом	7	4
54	в котором	2	4
55	не может	27	4
56	и только	4	4
57	а в	6	4
58	то же	5	4
59	что оно	2	4
60	и что	2	4
61	с другими	3	4
62	в виде	2	4
63	он не	3	4
64	в то	4	4
65	только в	13	4
66	то есть	46	4
67	далеко не	5	4
68	не менее	4	3
69	и другие	2	3
70	что это	2	3
71	если бы	3	3
72	хотя бы	4	3
73	к этому	2	3
74	ясно что	3	3
75	можно сказать	2	3
76	и как	8	3
77	и при	2	3
78	в своем	5	3
79	случае не	2	3
80	и о	5	3
81	не вполне	2	3
82	тем не	3	3
83	отношению к	19	3
84	в связи	2	3
85	при этом	5	3
86	но с	3	3
87	культуры и	3	3
88	в значительной	2	3
89	того что	2	3
90	и даже	3	3
91	и те	2	3
92	в таком	3	3
93	в других	4	3
94	или иное	2	2
95	не могут	2	2
96	с его	2	2
97	ни было	3	2
98	перестает быть	4	2
99	в них	5	2
100	и мир	2	2
101	и иной	3	2
102	прежде всего	13	2
103	не всегда	6	2
104	в свою	2	2
105	на то	2	2
106	или иной	2	2
107	от них	2	2
108	к его	2	2
109	и здесь	2	2
110	по существу	2	2
111	то ни	3	2
112	в начале	2	2
113	все что	3	2
114	же время	3	2
115	еще не	7	2
116	со всеми	3	2
117	конечно не	5	2
118	той или	2	2
119	и проч	28	2
120	не с	4	2
121	бы то	3	2
122	не к	6	2
123	то или	2	2
124	во всех	11	2
125	связь с	3	2
126	приводит к	3	2
127	отличается от	2	2
128	особенно в	2	2
129	не было	2	2
130	этом отношении	2	2
131	мы имеем	2	2
132	можно только	6	2
133	в самой	2	2
134	его не	2	2
135	и на	3	2
136	сказать что	4	2
137	не в	7	2
138	мы можем	6	2
139	и наконец	6	2
140	о котором	2	2
141	же самое	2	2
142	и все	3	2
143	и это	3	2
144	в россии	2	2
145	относится к	4	2
146	творца и	3	2
147	к которому	4	2
148	между тем	7	2
149	в виду	4	2
