N	2gram	Medvedev_U_1	Mirosoze
1	может быть	6	30
2	не только	10	29
3	и в	14	28
4	не может	7	28
5	но и	4	25
6	а не	10	25
7	в этом	7	20
8	не в	2	16
9	в своей	3	15
10	для него	3	11
11	в самом	2	11
12	и не	8	11
13	прежде всего	8	10
14	что он	2	10
15	было бы	3	10
16	в его	2	9
17	не есть	2	9
18	но не	2	8
19	в конце	2	7
20	но в	3	7
21	в себе	2	7
22	должна быть	2	6
23	в том	2	6
24	в этой	4	6
25	все это	5	6
26	только в	2	6
27	не могут	2	5
28	это не	3	5
29	у нас	3	5
30	как и	3	5
31	то что	7	5
32	в их	4	4
33	не как	3	4
34	что и	2	4
35	тем что	2	4
36	и с	2	3
37	с его	2	3
38	том что	2	3
39	ничего не	2	3
40	конечно не	4	3
41	бы и	2	3
42	вряд ли	3	3
43	хотя бы	5	3
44	о чем	2	2
45	одним из	2	2
46	могут быть	2	2
47	пишет он	2	2
48	даже и	2	2
49	в россии	4	2
50	а как	2	2
51	если бы	2	2
52	литературы и	2	2
53	в то	3	2
54	до сих	2	2
55	все же	3	2
56	сих пор	2	2
57	и у	2	2
58	и для	2	2
59	конце концов	2	2
60	не все	2	2
