N	2gram	Tiupa_Lite_1	SlovoVZh
1	не может	5	16
2	точки зрения	6	14
3	может быть	13	14
4	и его	4	13
5	как бы	7	13
6	таким образом	3	12
7	и в	8	12
8	отношению к	2	11
9	по отношению	3	11
10	и не	12	10
11	прежде всего	11	8
12	в нем	2	6
13	при этом	19	6
14	в том	16	6
15	только в	8	6
16	и др	3	5
17	в жизни	6	5
18	то что	10	5
19	должна быть	2	5
20	никогда не	4	5
21	а не	16	5
22	то же	5	5
23	хотя бы	2	5
24	как и	6	5
25	том что	14	5
26	отнюдь не	2	5
27	как в	5	5
28	но в	3	5
29	в виду	3	5
30	все же	4	4
31	жизни и	3	4
32	так и	4	4
33	с другой	3	4
34	уже не	7	4
35	что не	2	4
36	не в	8	4
37	в этом	12	4
38	его в	3	4
39	дело в	3	4
40	в самом	3	4
41	за пределы	2	4
42	и является	2	4
43	не только	24	4
44	не к	2	3
45	не менее	7	3
46	в художественном	4	3
47	в своей	4	3
48	художественное произведение	2	3
49	все эти	2	3
50	этой точки	3	3
51	это как	2	3
52	но и	17	3
53	того что	6	3
54	тем не	2	3
55	да и	3	3
56	самом деле	2	3
57	о том	2	3
58	художественного творчества	3	3
59	нуждается в	3	3
60	в себе	7	3
61	для него	2	3
62	в пределах	3	3
63	еще не	4	3
64	только на	2	3
65	между тем	2	3
66	перестает быть	4	2
67	уже в	5	2
68	с этой	5	2
69	с его	5	2
70	в душе	3	2
71	что в	3	2
72	данном случае	4	2
73	общего с	2	2
74	не остается	2	2
75	все они	2	2
76	в своем	11	2
77	нет ничего	2	2
78	это не	4	2
79	бы не	3	2
80	тому же	2	2
81	с одной	2	2
82	в себя	2	2
83	искусства и	5	2
84	не есть	2	2
85	и вполне	2	2
86	с точки	2	2
87	в данном	5	2
88	и то	2	2
89	но не	4	2
90	могут быть	2	2
91	общей для	2	2
92	в формах	4	2
93	в то	5	2
94	одной стороны	2	2
95	на это	2	2
96	мы в	2	2
97	на один	2	2
98	как это	8	2
99	в его	7	2
100	относится к	2	2
