N	2gram	Tiupa_Narr_1	Psycholo
1	то что	9	32
2	и в	11	31
3	в том	8	30
4	то есть	9	26
5	что в	3	23
6	может быть	15	22
7	при этом	19	19
8	не может	8	17
9	как и	13	16
10	том что	7	16
11	и не	23	16
12	точки зрения	5	15
13	только в	12	14
14	а не	13	13
15	не только	31	13
16	мы не	3	12
17	в этом	12	12
18	в самом	6	11
19	не в	6	11
20	в области	2	11
21	на то	2	10
22	в сущности	2	10
23	того что	4	10
24	потому что	5	10
25	по себе	4	9
26	как в	4	9
27	самом деле	3	9
28	никогда не	4	8
29	вместе с	2	8
30	во всяком	2	8
31	что мы	2	8
32	что он	3	7
33	и его	10	7
34	того чтобы	4	7
35	тому как	3	7
36	сказать что	2	7
37	о том	4	7
38	зависимости от	2	6
39	до конца	2	6
40	если бы	7	6
41	из этих	4	6
42	всяком случае	2	6
43	отнюдь не	2	6
44	а в	13	6
45	для того	3	6
46	и даже	2	6
47	в его	6	6
48	и все	3	5
49	не является	3	5
50	все же	4	5
51	она не	2	5
52	как бы	6	5
53	в зависимости	2	5
54	в целом	3	5
55	другой стороны	2	5
56	и для	2	5
57	то же	8	5
58	с другой	2	5
59	иначе говоря	8	5
60	подобно тому	3	5
61	в то	4	5
62	как будто	3	5
63	к тому	6	4
64	прежде всего	4	4
65	столь же	5	4
66	в себе	6	4
67	отличие от	2	4
68	одна из	4	4
69	у него	7	4
70	у нас	3	4
71	и о	3	4
72	никак не	2	4
73	точка зрения	5	4
74	один из	6	4
75	в этих	2	4
76	со стороны	8	4
77	в результате	2	4
78	мы можем	2	4
79	между тем	3	4
80	как это	3	4
81	могло бы	3	4
82	мы имеем	3	4
83	дело с	2	3
84	состоит в	10	3
85	в частности	14	3
86	могут служить	2	3
87	его и	2	3
88	в своем	3	3
89	что у	4	3
90	та же	2	3
91	что на	4	3
92	точек зрения	2	3
93	тому же	6	3
94	не будет	2	3
95	но не	4	3
96	все что	2	3
97	до сих	2	3
98	в этой	6	3
99	хотя и	4	3
100	в слове	3	3
101	он не	3	3
102	в конечном	3	3
103	речь идет	3	3
104	сих пор	2	3
105	жизни и	6	3
106	в своей	5	3
107	так и	5	3
108	только на	2	3
109	который в	2	3
110	в отличие	2	3
111	не было	3	3
112	и вот	2	3
113	тем же	2	3
114	роль в	2	3
115	в таком	2	3
116	и только	2	3
117	слова в	4	3
118	исходя из	3	3
119	в конце	2	3
120	в произведении	2	3
121	но в	7	3
122	в известном	2	2
123	не менее	3	2
124	не существует	3	2
125	тот кто	2	2
126	этих двух	2	2
127	и составляет	2	2
128	казалось бы	2	2
129	тем или	2	2
130	если она	2	2
131	и как	3	2
132	и состоит	4	2
133	и от	2	2
134	в жизни	3	2
135	не всегда	3	2
136	с ним	2	2
137	она в	2	2
138	или не	4	2
139	тем не	3	2
140	уже не	8	2
141	представляет собой	8	2
142	в качестве	14	2
143	или иным	2	2
144	о чем	4	2
145	имеет место	4	2
146	к жизни	2	2
147	и тем	4	2
148	в нем	4	2
149	из них	4	2
150	но и	27	2
151	и тогда	2	2
152	как мы	2	2
153	только что	2	2
154	как раз	6	2
155	в связи	2	2
156	этом отношении	3	2
157	же самое	2	2
158	идет о	3	2
159	тем самым	5	2
160	к чему	3	2
161	к нему	4	2
162	в чем	2	2
163	ничего не	2	2
164	нас в	2	2
165	к ним	2	2
166	из нас	2	2
167	их в	3	2
168	и с	3	2
169	но как	3	2
170	в сознании	4	2
171	и то	3	2
172	в одном	4	2
173	как она	2	2
174	стало быть	3	2
