N	2gram	Berdyaev_M_2	Problema
1	и в	46	44
2	и не	18	35
3	не есть	13	35
4	может быть	21	28
5	потому что	12	25
6	по себе	2	25
7	то что	5	23
8	в том	3	21
9	только в	3	19
10	а не	13	18
11	в этом	20	17
12	также и	4	16
13	сказать что	3	16
14	не только	18	14
15	не в	9	13
16	то же	5	13
17	так что	2	12
18	но в	10	12
19	том что	4	12
20	но и	15	10
21	у нас	11	10
22	как и	13	10
23	так и	4	10
24	это не	5	9
25	и от	3	9
26	в нем	22	9
27	не имеет	4	9
28	и с	3	9
29	что всякий	3	9
30	как бы	8	9
31	так как	8	9
32	что он	7	9
33	в его	5	9
34	что и	4	9
35	и это	5	9
36	что в	4	8
37	только и	4	8
38	или иной	2	8
39	ни в	3	8
40	смысле слова	3	8
41	того что	6	8
42	но это	8	8
43	он не	10	8
44	что же	2	8
45	в себе	10	8
46	связи с	2	8
47	не может	15	7
48	уже не	4	7
49	и что	2	7
50	с ним	3	7
51	это и	3	7
52	и потому	7	7
53	никогда не	18	6
54	для этого	4	6
55	и если	2	6
56	такого рода	2	6
57	жизни и	6	6
58	нет ничего	3	6
59	и к	7	6
60	о том	3	6
61	сам по	2	6
62	не было	11	5
63	в нашем	7	5
64	в конце	5	5
65	да и	2	5
66	нас не	2	5
67	что они	3	5
68	и есть	8	5
69	хотя и	2	5
70	в ней	11	5
71	в своем	8	5
72	а в	2	5
73	точки зрения	2	5
74	и здесь	6	5
75	есть не	5	5
76	в своей	5	5
77	как в	7	5
78	так же	6	5
79	и его	5	5
80	он сам	6	4
81	можно ли	3	4
82	тому что	4	4
83	иное как	3	4
84	не имеют	2	4
85	же и	2	4
86	образа и	2	4
87	не что	3	4
88	что иное	3	4
89	только с	3	4
90	в чем	3	4
91	можно было	2	4
92	нас в	2	4
93	тем что	3	4
94	уже в	2	3
95	же как	3	3
96	что это	6	3
97	что у	4	3
98	прежде всего	12	3
99	к тому	5	3
100	жизнь в	6	3
101	идеи и	3	3
102	есть уже	4	3
103	это есть	2	3
104	с самим	3	3
105	в этой	7	3
106	для него	18	3
107	жизни а	2	3
108	в самом	5	3
109	отношения к	2	3
110	чем не	2	3
111	но эта	2	3
112	не так	3	3
113	самого себя	4	3
114	его в	3	3
115	с собой	2	3
116	если бы	3	3
117	то в	2	3
118	там и	6	3
119	она не	8	3
120	быть и	2	3
121	и все	5	3
122	все равно	3	3
123	идея и	3	3
124	и тогда	3	3
125	хотя бы	7	3
126	образ и	5	3
127	как будто	2	3
128	есть в	3	3
129	ничего не	2	3
130	не был	2	2
131	в этих	2	2
132	в отношении	5	2
133	всегда есть	2	2
134	что все	5	2
135	не будут	2	2
136	ее и	2	2
137	и можно	3	2
138	до сих	3	2
139	совсем не	5	2
140	и нет	3	2
141	же есть	3	2
142	не стоит	3	2
143	со своим	2	2
144	есть также	2	2
145	от его	2	2
146	для чего	3	2
147	и за	2	2
148	от того	3	2
149	друг друга	12	2
150	его не	2	2
151	в основе	2	2
152	переходит в	8	2
153	бы в	2	2
154	и там	6	2
155	если нет	8	2
156	были бы	2	2
157	ничего кроме	2	2
158	этого необходимо	3	2
159	но когда	2	2
160	то он	2	2
161	и во	3	2
162	есть и	3	2
163	и своего	2	2
164	во всех	2	2
165	себя в	4	2
166	вместе с	2	2
167	сих пор	3	2
168	к самому	2	2
169	человеческой жизни	2	2
170	жизнь и	4	2
171	и для	7	2
172	и всегда	3	2
173	у них	4	2
174	но с	2	2
175	он в	3	2
176	доходит до	6	2
177	в которой	2	2
