N	2gram	Voloshinov_1	Mirosoze
1	может быть	8	30
2	не только	6	29
3	и в	13	28
4	не может	8	28
5	но и	3	25
6	а не	2	25
7	в этом	2	20
8	не в	3	16
9	в ней	2	15
10	в своей	4	15
11	никогда не	3	14
12	в нем	2	13
13	для него	2	11
14	в самом	2	11
15	и не	8	11
16	что в	3	10
17	прежде всего	9	10
18	и все	3	10
19	было бы	4	10
20	в его	7	9
21	и его	12	9
22	но в	4	7
23	нет ничего	2	7
24	в себе	3	7
25	в том	2	6
26	все это	4	6
27	лишь в	4	6
28	только в	6	6
29	в которой	3	6
30	как и	3	5
31	то что	6	5
32	уже в	2	4
33	с этой	2	4
34	смысле слова	2	4
35	мог бы	2	4
36	в их	3	4
37	а в	2	4
38	точки зрения	7	4
39	и этот	2	4
40	в них	2	4
41	не как	3	4
42	за пределы	3	4
43	есть не	2	4
44	тем что	2	4
45	к тому	2	3
46	не мог	2	3
47	и их	7	3
48	только и	4	3
49	я хочу	3	3
50	не имеет	2	3
51	с этим	3	3
52	так как	3	3
53	в ее	3	3
54	том что	2	3
55	учение о	2	3
56	вряд ли	3	3
57	хотя бы	5	3
58	связана с	3	2
59	могут быть	2	2
60	по отношению	3	2
61	все эти	2	2
62	как бы	6	2
63	бы в	2	2
64	а как	2	2
65	если бы	2	2
66	отношению к	3	2
67	мы видим	2	2
68	и к	2	2
69	еще в	2	2
70	в этот	2	2
71	все же	5	2
72	как в	2	2
73	входит в	2	2
74	и для	3	2
75	от этого	2	2
