N	2gram	Tiupa_Teor_1	Istorich
1	и в	18	22
2	мы имеем	7	19
3	в этом	8	17
4	что в	9	15
5	не только	16	14
6	но и	9	12
7	и не	13	12
8	может быть	17	11
9	в этих	3	11
10	или в	3	11
11	еще не	4	10
12	таким образом	3	10
13	но в	9	10
14	в нем	4	9
15	что и	2	9
16	вместе с	2	9
17	в том	16	9
18	том что	9	8
19	другой стороны	5	7
20	с другой	7	7
21	но не	9	7
22	то что	3	7
23	уже не	4	7
24	и здесь	2	7
25	в них	2	6
26	это не	2	6
27	не вполне	2	6
28	не все	3	6
29	а в	13	6
30	то же	7	6
31	а не	9	6
32	так в	4	6
33	если бы	3	6
34	не менее	4	5
35	в частности	16	5
36	тем не	3	5
37	один из	2	5
38	что она	2	5
39	он не	3	5
40	того что	4	5
41	могут быть	4	5
42	в этой	3	5
43	и другие	2	4
44	на смену	4	4
45	как это	8	4
46	у нас	2	4
47	не в	7	4
48	в пределах	5	4
49	только в	6	4
50	в свою	3	4
51	одним из	2	4
52	отношение к	5	4
53	а именно	2	4
54	и его	8	4
55	в данном	8	4
56	не может	4	4
57	но он	3	4
58	имеем в	3	4
59	все эти	2	4
60	я не	2	3
61	состоит в	17	3
62	превращается в	2	3
63	о себе	2	3
64	могло быть	2	3
65	прежде всего	2	3
66	к тому	2	3
67	и к	3	3
68	как и	4	3
69	и как	2	3
70	представляет собой	9	3
71	особого рода	2	3
72	в его	6	3
73	никогда не	4	3
74	в целом	3	3
75	быть и	2	3
76	ее в	2	3
77	данном случае	5	3
78	со стороны	2	3
79	дома и	2	3
80	так же	2	3
81	сказать что	3	3
82	потому что	3	3
83	и ее	3	3
84	из этих	3	3
85	далеко не	2	3
86	в русской	6	3
87	его в	2	3
88	их в	3	3
89	только не	2	2
90	в одном	2	2
91	в жизни	2	2
92	говорит и	2	2
93	вовсе не	3	2
94	можно сказать	3	2
95	ни в	2	2
96	имеются и	2	2
97	с одной	2	2
98	как в	5	2
99	при этом	12	2
100	в качестве	24	2
101	на себя	2	2
102	одной стороны	2	2
103	и о	4	2
104	хотя и	3	2
105	и потому	2	2
106	даже в	3	2
107	к жизни	2	2
108	не с	3	2
109	отношению к	4	2
110	и это	2	2
111	но она	2	2
112	так и	10	2
113	по отношению	4	2
114	в своем	4	2
115	никто не	2	2
116	и вот	3	2
117	и некоторые	2	2
118	и что	3	2
119	и даже	2	2
120	и для	2	2
121	роль в	2	2
122	о ней	2	2
123	и то	2	2
124	из которого	3	2
125	между тем	5	2
126	точки зрения	9	2
127	в другом	3	2
128	в то	6	2
129	как будто	2	2
130	как правило	4	2
131	а также	6	2
