N	2gram	Medvedev_V_1	Marksizm
1	точки зрения	3	34
2	может быть	22	26
3	и не	19	26
4	не может	17	24
5	и в	26	19
6	и его	6	19
7	таким образом	31	17
8	в этом	26	16
9	как бы	5	15
10	в процессе	16	14
11	прежде всего	13	13
12	как и	7	12
13	так и	5	11
14	и для	2	11
15	связи с	4	11
16	в самом	4	10
17	в нем	6	10
18	в слове	3	10
19	для него	8	9
20	идеологического творчества	2	9
21	лишь в	2	9
22	в результате	5	9
23	только в	7	9
24	но и	10	8
25	не только	25	8
26	все же	5	8
27	то что	6	8
28	в каждом	2	7
29	в связи	3	7
30	все эти	6	7
31	так же	3	7
32	но в	2	7
33	в ее	4	7
34	во всех	6	7
35	то же	10	7
36	а не	7	7
37	в том	15	6
38	является не	4	6
39	в науке	2	6
40	в пределах	5	6
41	другой стороны	8	6
42	отнюдь не	3	6
43	в основном	5	6
44	в его	14	6
45	так сказать	2	6
46	с другой	11	5
47	в конце	3	5
48	именно в	2	5
49	мы знаем	3	5
50	не в	6	5
51	и потому	2	5
52	к этому	9	5
53	вовсе не	3	5
54	того чтобы	3	5
55	хотя бы	19	5
56	этот вопрос	3	5
57	что в	10	4
58	не менее	2	4
59	в ней	2	4
60	не является	5	4
61	от того	2	4
62	этой проблемы	3	4
63	не столько	2	4
64	а в	3	4
65	сказать что	5	4
66	чем же	4	4
67	вне его	2	4
68	с этим	3	4
69	по себе	2	4
70	еще не	2	4
71	было бы	7	4
72	нет и	3	4
73	для того	3	4
74	между ними	3	4
75	далеко не	2	4
76	этом отношении	13	3
77	и есть	5	3
78	формы и	2	3
79	и от	3	3
80	а как	2	3
81	или иной	2	3
82	можно сказать	4	3
83	в целях	2	3
84	и как	3	3
85	же время	5	3
86	момент в	3	3
87	на язык	2	3
88	в котором	3	3
89	из них	9	3
90	этот процесс	2	3
91	все это	10	3
92	всех других	3	3
93	по отношению	7	3
94	не было	7	3
95	конце концов	2	3
96	того что	3	3
97	с другими	2	3
98	и формы	2	3
99	между тем	5	3
100	в то	6	3
101	же самое	2	3
102	действительности на	2	3
103	его в	3	3
104	он может	2	3
105	не могут	7	3
106	и к	3	3
107	том что	8	3
108	и при	5	3
109	действительности и	7	3
110	он не	2	3
111	в своей	4	3
112	это и	6	3
113	сводится к	3	3
114	имеет свою	3	3
115	должны быть	2	3
116	к этим	2	3
117	и ее	4	3
118	в которой	2	3
119	в области	2	3
120	том числе	2	2
121	зависит от	2	2
122	же как	2	2
123	в частности	11	2
124	никогда не	4	2
125	это делает	3	2
126	тому что	6	2
127	в своем	8	2
128	что все	3	2
129	числе и	2	2
130	одним из	5	2
131	в единстве	4	2
132	но для	2	2
133	в виду	4	2
134	себе и	2	2
135	и др	9	2
136	жизни и	3	2
137	и их	3	2
138	не приходится	2	2
139	и даже	2	2
140	должно быть	2	2
141	можно было	2	2
142	в философии	4	2
143	в своих	2	2
144	в работе	3	2
145	же и	2	2
146	из этих	7	2
147	к его	2	2
148	о том	10	2
149	как он	2	2
150	бы в	3	2
151	нет ни	2	2
152	в сознании	4	2
153	познание в	2	2
154	если бы	3	2
155	что он	4	2
156	в себе	6	2
157	художественный образ	5	2
158	в романе	4	2
159	у нас	2	2
160	зависимости от	5	2
161	одна из	4	2
162	в качестве	11	2
163	не об	2	2
164	она не	3	2
165	к тому	4	2
166	явлений и	3	2
167	и этот	2	2
168	что и	3	2
169	отношению к	7	2
170	бы и	6	2
171	как раз	3	2
172	человека в	2	2
173	что не	3	2
174	из которых	2	2
175	что такое	2	2
176	мира и	3	2
177	и он	2	2
178	или в	3	2
179	связана с	2	2
180	могут быть	5	2
181	в другом	2	2
182	ту же	2	2
183	в чем	2	2
