N	2gram	Tiupa_Hudo_1	EvropaiE
1	и в	14	37
2	в пределах	3	25
3	точки зрения	5	23
4	что в	6	21
5	не только	12	18
6	с точки	3	17
7	в то	8	16
8	то же	9	15
9	в своем	4	14
10	в качестве	9	14
11	же время	8	14
12	но и	5	14
13	и не	2	14
14	но в	5	14
15	в этом	11	12
16	в их	2	11
17	в том	12	11
18	с и	2	10
19	так и	13	10
20	отнюдь не	3	9
21	прежде всего	11	9
22	не может	7	9
23	т е	4	9
24	в себе	11	9
25	только в	5	9
26	к тому	7	8
27	в ее	3	8
28	было бы	6	8
29	в своей	10	8
30	между тем	8	8
31	как и	9	7
32	по своему	3	7
33	того что	4	7
34	а также	3	7
35	с этой	2	6
36	том что	16	6
37	может быть	5	6
38	на то	4	6
39	как бы	7	6
40	то что	8	6
41	того чтобы	3	6
42	и даже	3	6
43	и на	3	6
44	же как	2	5
45	в частности	5	5
46	столь же	4	5
47	не в	7	5
48	но не	3	5
49	как нам	2	5
50	одной из	2	5
51	со стороны	3	5
52	как мы	3	5
53	и по	3	5
54	и потому	2	5
55	именно в	7	4
56	вопрос о	2	4
57	или иного	2	4
58	можно сказать	4	4
59	несмотря на	4	4
60	в самом	4	4
61	то в	4	4
62	в ней	4	4
63	даже в	3	4
64	по себе	2	4
65	мы не	2	4
66	не имеет	2	4
67	того или	2	4
68	и к	4	3
69	этом отношении	3	3
70	никогда не	6	3
71	жизни в	6	3
72	и от	4	3
73	это так	2	3
74	или иную	2	3
75	ту или	2	3
76	в данной	2	3
77	из них	4	3
78	по нашему	2	3
79	во второй	5	3
80	заключает в	2	3
81	как в	8	3
82	идет о	3	3
83	она в	3	3
84	и для	3	3
85	в таком	3	3
86	можно было	5	3
87	в результате	2	3
88	потому что	5	3
89	тем что	3	3
90	о том	12	3
91	всего лишь	4	3
92	а не	12	2
93	в этих	5	2
94	не означает	2	2
95	с этим	3	2
96	и все	4	2
97	что на	2	2
98	не нужно	2	2
99	влияние на	2	2
100	же в	3	2
101	такой же	3	2
102	но как	2	2
103	участие в	2	2
104	она не	4	2
105	но еще	2	2
106	по преимуществу	3	2
107	он не	4	2
108	в его	8	2
109	наше внимание	2	2
110	если в	2	2
111	в мире	3	2
112	жизни и	5	2
113	иначе говоря	2	2
114	второй половине	2	2
115	что же	2	2
116	а в	7	2
117	если бы	3	2
118	но с	2	2
119	и что	2	2
120	в значительной	2	2
121	на основе	2	2
122	в своих	3	2
123	и с	4	2
124	хотя и	2	2
125	в этой	8	2
126	по своей	4	2
127	как будто	4	2
128	и поэтому	2	2
129	заметить что	2	2
130	же мало	2	2
131	также в	2	2
