N	3gram	Vinokur_St_1	VLabPisa
1	и т д	21	15
2	в этом отношении	7	13
3	и т п	9	9
4	с другой стороны	6	8
5	не может быть	5	8
6	по этому поводу	2	7
7	по отношению к	3	7
8	хотя бы и	2	5
9	то же время	4	5
10	в то же	4	5
11	в том что	17	4
12	в этой области	5	3
13	о том что	11	3
14	в том числе	2	2
15	чуть ли не	2	2
16	том числе и	2	2
17	по крайней мере	2	2
18	на эти вопросы	3	2
19	до сих пор	7	2
20	во всяком случае	6	2
21	том отношении что	2	2
22	в том отношении	4	2
23	с одной стороны	2	2
24	можно было бы	8	2
25	для того чтобы	10	2
