N	2gram	Kanaev_Sov_1	StatiiOP
1	в и	2	130
2	и в	7	44
3	в том	4	36
4	что в	2	30
5	в этом	7	21
6	не только	4	18
7	было бы	3	17
8	а в	4	17
9	и не	6	16
10	а не	3	16
11	может быть	12	15
12	в области	3	14
13	не в	3	12
14	у нас	3	11
15	в этой	3	11
16	самом деле	2	11
17	точки зрения	12	11
18	ясно что	3	10
19	но в	3	10
20	как и	6	9
21	в его	2	9
22	все же	3	8
23	из них	4	8
24	не может	17	8
25	это не	4	8
26	с точки	5	8
27	прежде всего	5	7
28	в самом	2	7
29	для нас	3	7
30	таким образом	11	7
31	из этих	2	6
32	что же	5	6
33	во всяком	2	6
34	всяком случае	2	6
35	не менее	2	5
36	такой же	2	5
37	совершенно не	2	5
38	в нем	3	5
39	в целом	4	5
40	жизни и	4	5
41	все это	3	5
42	той же	2	5
43	то же	3	5
44	и даже	2	5
45	и по	2	5
46	могут быть	2	5
47	все эти	5	5
48	так как	4	5
49	что это	2	4
50	что она	3	4
51	вопрос о	4	4
52	но все	2	4
53	и что	2	4
54	как бы	4	4
55	еще более	2	4
56	в которой	2	4
57	точку зрения	4	3
58	в конце	3	3
59	этих двух	2	3
60	в каждом	8	3
61	же это	4	3
62	а на	2	3
63	еще не	3	3
64	из двух	3	3
65	по мнению	2	3
66	в виде	2	3
67	о значении	2	3
68	с одной	2	3
69	на этот	2	3
70	тем же	2	3
71	в таком	2	3
72	в результате	6	3
73	с этим	2	3
74	может не	3	2
75	что все	2	2
76	уже в	3	2
77	при таком	3	2
78	и во	2	2
79	в наших	3	2
80	который как	2	2
81	каждого из	2	2
82	при этом	3	2
83	быть и	2	2
84	что при	2	2
85	со всеми	2	2
86	и потому	3	2
87	тем не	2	2
88	в первом	3	2
89	такого рода	2	2
90	можно назвать	2	2
91	он должен	2	2
92	мы не	9	2
93	ничего не	6	2
94	их в	4	2
95	у него	2	2
96	в себе	3	2
97	говорить о	2	2
98	и все	3	2
99	свою собственную	2	2
100	или же	2	2
