N	2gram	Bakhtin_fo_1	Dialekti
1	и не	14	30
2	по себе	2	25
3	и т	8	21
4	и в	50	18
5	ничего не	9	17
6	может быть	11	17
7	точки зрения	5	17
8	в нем	24	16
9	ни в	8	15
10	не имеет	4	15
11	а не	3	14
12	потому что	4	14
13	что в	5	13
14	то что	6	13
15	не только	9	13
16	и даже	2	13
17	если бы	5	12
18	было бы	2	12
19	с точки	2	12
20	в этом	25	12
21	не может	6	12
22	как бы	2	11
23	все это	4	11
24	в себе	3	11
25	так как	6	11
26	прежде всего	15	10
27	то же	11	10
28	сказать что	3	10
29	никогда не	2	9
30	отнюдь не	5	9
31	это не	6	9
32	в том	9	9
33	так и	12	9
34	том что	4	9
35	и то	4	9
36	ясно что	2	8
37	совершенно не	2	8
38	в каком	2	8
39	вовсе не	13	7
40	и как	10	7
41	но и	8	7
42	мы находим	2	7
43	что не	3	7
44	также и	2	7
45	той или	2	7
46	как она	2	7
47	с другой	2	6
48	да и	3	6
49	хотя бы	2	6
50	ни с	2	6
51	не было	7	6
52	не в	5	6
53	в то	9	6
54	и образ	3	6
55	в чем	2	6
56	с ним	2	6
57	но в	10	6
58	в этих	3	5
59	в своем	4	5
60	в дальнейшем	6	5
61	все же	6	5
62	отношение к	2	5
63	в отношении	3	5
64	в особенности	9	5
65	есть только	2	5
66	а в	3	5
67	и с	4	5
68	или не	2	5
69	мы должны	2	5
70	в виду	3	5
71	в конце	9	4
72	к тому	3	4
73	во всяком	3	4
74	об этом	2	4
75	мы видим	3	4
76	но не	5	4
77	же время	9	4
78	одно и	3	4
79	внешнее и	2	4
80	хотя и	3	4
81	не о	2	4
82	в котором	4	4
83	быть и	2	4
84	так же	6	4
85	как раз	13	4
86	только и	5	4
87	как мы	14	4
88	к ней	2	4
89	и вообще	2	4
90	как он	2	4
91	всех этих	5	3
92	в них	4	3
93	точку зрения	2	3
94	стороны и	2	3
95	есть не	3	3
96	не является	2	3
97	или иной	2	3
98	но эта	3	3
99	что и	3	3
100	а только	2	3
101	конечно не	4	3
102	он не	5	3
103	в его	13	3
104	и потому	3	3
105	один из	3	3
106	нем нет	2	3
107	друг другу	2	3
108	жизни и	8	3
109	но она	2	3
110	отношения к	3	3
111	даже не	2	3
112	в их	6	3
113	только на	3	3
114	в самом	8	3
115	в разных	5	3
116	еще и	2	3
117	еще более	3	3
118	но все	5	3
119	была бы	2	3
120	у них	2	3
121	жизнь и	4	3
122	в данном	2	3
123	в основе	5	3
124	в ней	4	3
125	могут быть	5	3
126	и еще	2	3
127	только в	4	3
128	и все	6	3
129	от этого	2	3
130	ни к	3	2
131	поэтому и	3	2
132	но они	3	2
133	того что	2	2
134	они были	2	2
135	же как	2	2
136	именно в	3	2
137	в частности	6	2
138	не знает	3	2
139	в качестве	3	2
140	сравнению с	2	2
141	как в	6	2
142	не как	2	2
143	раз и	2	2
144	с другими	3	2
145	теории относительности	2	2
146	к этому	3	2
147	вопрос о	2	2
148	но конечно	2	2
149	как и	8	2
150	всего необходимо	3	2
151	мы и	4	2
152	лишь как	2	2
153	тому же	2	2
154	здесь в	2	2
155	для него	2	2
156	до сих	3	2
157	еще не	5	2
158	одной стороны	2	2
159	и может	2	2
160	для того	5	2
161	никто не	2	2
162	себе и	3	2
163	по сравнению	2	2
164	к ним	2	2
165	и следовательно	4	2
166	и является	2	2
167	друг к	2	2
168	в своей	2	2
169	и их	8	2
170	к другу	2	2
171	сих пор	3	2
172	т п	8	2
173	и эта	2	2
174	не зная	2	2
175	с этим	6	2
176	этом отношении	3	2
177	с одной	3	2
178	все эти	9	2
179	можно только	2	2
180	если мы	2	2
181	уже не	2	2
182	и у	5	2
183	и для	4	2
184	же и	2	2
185	именно как	4	2
186	в которых	2	2
187	во всем	2	2
188	и это	4	2
189	пространства и	4	2
190	время как	5	2
