N	2gram	Bakhtin_KF_1	Myshleni
1	в том	6	33
2	том что	4	27
3	точки зрения	12	26
4	то что	7	20
5	в этом	14	19
6	с точки	9	18
7	того что	3	17
8	мышления и	2	16
9	и в	24	15
10	не только	5	15
11	что в	4	14
12	что он	2	12
13	того чтобы	2	12
14	и т.д	2	12
15	в процессе	2	11
16	в целом	10	10
17	но и	9	10
18	было бы	8	10
19	для того	3	10
20	мы не	3	10
21	в своем	16	9
22	может быть	45	9
23	не может	27	9
24	о том	3	9
25	так и	2	8
26	никогда не	5	8
27	не в	12	8
28	если бы	8	8
29	и не	26	7
30	на основе	7	7
31	потому что	2	7
32	как бы	9	7
33	по себе	2	7
34	он не	6	7
35	едва ли	2	7
36	что это	3	6
37	в этой	2	6
38	в виду	3	6
39	по отношению	26	6
40	но в	5	6
41	вовсе не	7	6
42	как и	5	6
43	самом деле	3	6
44	что эта	2	6
45	там где	5	6
46	это не	10	5
47	вопрос о	2	5
48	мышления как	2	5
49	и их	6	5
50	тогда когда	3	5
51	отношению к	22	5
52	то же	5	5
53	во всей	4	5
54	независимо от	3	4
55	прежде всего	2	4
56	для нас	4	4
57	от его	5	4
58	все это	10	4
59	не имеет	5	4
60	а в	4	4
61	к этому	2	4
62	все же	5	4
63	в качестве	2	4
64	в своей	10	4
65	как в	2	4
66	а с	2	4
67	хотя бы	4	4
68	и его	17	4
69	только в	16	4
70	для этого	2	3
71	для него	8	3
72	при этом	4	3
73	со стороны	7	3
74	и только	6	3
75	все эти	10	3
76	но эта	5	3
77	лишь в	8	3
78	мышление и	2	3
79	в основе	5	3
80	с ним	5	3
81	мы имеем	5	3
82	и все	7	3
83	но не	12	3
84	для которого	3	3
85	для себя	5	3
86	бы и	3	3
87	вытекает из	2	3
88	на самом	3	3
89	тем самым	4	3
90	а не	17	3
91	из которых	2	3
92	в данном	2	3
93	и ее	2	3
94	этого слова	2	3
95	и это	12	3
96	ничего не	3	3
97	и есть	9	2
98	или иной	2	2
99	ни в	12	2
100	и как	2	2
101	но все	5	2
102	это есть	2	2
103	не дает	3	2
104	и мы	2	2
105	на язык	3	2
106	той или	3	2
107	в котором	24	2
108	его с	2	2
109	и тем	3	2
110	с ее	2	2
111	могут быть	3	2
112	от того	3	2
113	в их	8	2
114	мысль и	2	2
115	оба эти	2	2
116	и других	2	2
117	должно быть	6	2
118	познания но	2	2
119	но для	2	2
120	к себе	2	2
121	в категориях	4	2
122	говорить о	2	2
123	но ведь	5	2
124	во всем	7	2
125	мира и	4	2
126	в одном	4	2
127	или как	2	2
128	от этого	2	2
129	нисколько не	4	2
130	отнюдь не	6	2
131	были бы	2	2
132	всей его	2	2
133	этом смысле	3	2
134	именно в	5	2
135	в его	40	2
136	нет и	3	2
137	должен быть	7	2
138	что и	7	2
139	во всех	11	2
140	научного мышления	2	2
141	и для	9	2
142	в себя	7	2
143	и эта	2	2
144	к чему	3	2
145	тем что	3	2
146	в себе	21	2
147	в другом	3	2
148	его к	2	2
149	не потому	2	2
