N	2gram	Vygotskiy__6	VelikijI
1	и не	11	20
2	и в	28	16
3	то что	28	9
4	так как	10	9
5	еще не	8	8
6	что они	2	7
7	а не	3	7
8	хотя и	3	5
9	как бы	11	5
10	но и	10	5
11	все это	2	5
12	того что	24	5
13	что все	5	4
14	что он	18	4
15	в нем	7	4
16	как и	6	4
17	что мы	11	4
18	в котором	2	4
19	так и	6	4
20	потому что	22	4
21	в этом	27	4
22	и все	5	4
23	в его	3	4
24	с его	3	3
25	что в	17	3
26	в этих	2	3
27	в них	3	3
28	в конце	2	3
29	в том	28	3
30	не в	4	3
31	но это	2	3
32	за ним	2	3
33	что я	2	3
34	к тому	10	3
35	во всех	4	3
36	никогда не	8	3
37	оно не	4	3
38	что и	4	3
39	в своей	2	3
40	тому что	11	3
41	и что	6	3
42	не имеет	6	3
43	от этого	3	3
44	все эти	2	3
45	в чем	6	3
46	но в	5	3
47	что их	3	2
48	не могут	5	2
49	до того	3	2
50	с тем	5	2
51	это не	5	2
52	прежде всего	2	2
53	для нас	2	2
54	том что	19	2
55	мы и	4	2
56	от него	2	2
57	но не	10	2
58	это мы	3	2
59	для него	6	2
60	того чтобы	10	2
61	вместо того	2	2
62	не только	16	2
63	не могли	5	2
64	один из	3	2
65	но мы	3	2
66	не с	2	2
67	на том	2	2
68	ее в	2	2
69	тем что	8	2
70	в себя	3	2
71	над ними	2	2
72	мы не	6	2
73	вот почему	2	2
74	а в	2	2
75	с ним	2	2
76	можно было	7	2
77	и то	4	2
78	могут быть	5	2
79	только в	18	2
