N	2gram	Savitsky_E_1	RusskieA
1	и в	37	29
2	т е	9	24
3	что в	21	22
4	том что	6	22
5	в том	11	22
6	как бы	6	18
7	в других	2	15
8	может быть	6	13
9	так как	7	13
10	как и	7	11
11	в этом	12	11
12	и с	2	10
13	не только	18	10
14	о том	3	9
15	в некоторых	2	9
16	а в	2	9
17	во многих	4	9
18	но и	14	8
19	ее в	3	8
20	с в	2	8
21	мы видели	3	7
22	данном случае	2	7
23	как в	3	7
24	или в	2	7
25	с тем	3	6
26	мы не	4	6
27	же в	2	6
28	для того	6	6
29	для нас	4	6
30	вместе с	2	6
31	таким образом	2	6
32	того чтобы	6	6
33	и на	6	6
34	в данном	3	6
35	представление о	2	5
36	потому что	3	5
37	то что	6	5
38	и что	2	5
39	но не	5	5
40	не может	9	5
41	но в	14	5
42	именно в	4	4
43	в них	3	4
44	и все	2	4
45	тогда когда	2	4
46	вопрос о	4	4
47	не в	5	4
48	из них	3	4
49	к нему	2	4
50	же как	5	4
51	а также	7	4
52	так же	9	4
53	то же	15	4
54	на них	2	4
55	а не	2	4
56	в таком	3	4
57	в которых	3	4
58	в виде	5	4
59	далеко не	2	4
60	как это	4	4
61	тем что	3	3
62	в этих	2	3
63	в качестве	14	3
64	и других	2	3
65	и от	3	3
66	главным образом	2	3
67	в ее	8	3
68	она не	2	3
69	того что	7	3
70	было бы	8	3
71	нас к	2	3
72	но если	5	3
73	в котором	2	3
74	с другими	2	3
75	не имеет	4	3
76	во всех	6	3
77	а именно	2	3
78	и по	5	3
79	как мы	5	3
80	между тем	8	3
81	в этой	2	3
82	что это	2	3
83	в эту	2	3
84	начиная с	2	2
85	с этой	6	2
86	могут быть	2	2
87	никогда не	3	2
88	между собой	2	2
89	жизни в	3	2
90	с другой	7	2
91	в стороне	3	2
92	прежде всего	9	2
93	совершенно очевидно	2	2
94	что и	3	2
95	к ней	4	2
96	говорит о	3	2
97	и как	2	2
98	приводит нас	2	2
99	чем в	4	2
100	очевидно что	3	2
101	связано с	3	2
102	для них	2	2
103	одной стороны	8	2
104	что на	2	2
105	как оно	2	2
106	также в	2	2
107	в своей	8	2
108	не к	2	2
109	ее от	2	2
110	в их	11	2
111	влияние на	2	2
112	с одной	8	2
113	в течение	5	2
114	там где	3	2
115	этот вопрос	2	2
116	и для	3	2
117	можно было	3	2
118	в своих	2	2
119	и то	2	2
120	которое в	2	2
121	с этим	2	2
122	на себя	3	2
123	и еще	2	2
124	в то	16	2
125	представляет собой	3	2
126	заметить что	2	2
127	есть в	2	2
128	не можем	2	2
