N	2gram	Bakhtin_KF_1	Myshleni
1	в этом	14	29
2	точки зрения	12	28
3	и в	24	26
4	не только	5	24
5	для себя	5	24
6	то что	7	24
7	с точки	9	21
8	того чтобы	2	19
9	в том	6	18
10	и не	26	18
11	для того	3	18
12	том что	4	17
13	потому что	2	16
14	как и	5	15
15	того что	3	14
16	что в	4	12
17	и его	17	12
18	но и	9	11
19	не может	27	11
20	по своему	3	9
21	тому что	2	9
22	мышления и	2	9
23	тем что	3	9
24	в себе	21	9
25	то же	5	8
26	что он	2	8
27	тем самым	4	8
28	только в	16	8
29	прежде всего	2	7
30	может быть	45	7
31	мы не	3	7
32	и то	2	7
33	вопрос о	2	6
34	в смысле	6	6
35	и тем	3	6
36	по отношению	26	6
37	именно в	5	6
38	как бы	9	6
39	в ее	16	6
40	было бы	8	6
41	во всех	11	6
42	все эти	10	6
43	все же	5	6
44	самом деле	3	6
45	а не	17	6
46	в сознании	2	6
47	что это	3	6
48	что эта	2	6
49	слова в	2	5
50	до конца	3	5
51	если бы	8	5
52	в виду	3	5
53	в целом	10	5
54	и их	6	5
55	оба эти	2	5
56	с тем	2	5
57	тогда когда	3	5
58	в качестве	2	5
59	отношению к	22	5
60	в процессе	2	5
61	и для	9	5
62	что этот	3	5
63	в данном	2	5
64	не менее	3	4
65	никогда не	5	4
66	в котором	24	4
67	не по	4	4
68	мысль не	2	4
69	в момент	3	4
70	в его	40	4
71	о том	3	4
72	но в	5	4
73	еще не	4	4
74	не есть	20	4
75	как в	2	4
76	это и	2	4
77	не в	12	4
78	это есть	2	4
79	и только	6	4
80	едва ли	2	4
81	в области	2	4
82	я не	6	3
83	для этого	2	3
84	мысль и	2	3
85	все это	10	3
86	это не	10	3
87	тем не	2	3
88	только по	2	3
89	но это	6	3
90	мышления как	2	3
91	момент в	7	3
92	для него	8	3
93	в ней	3	3
94	в основе	5	3
95	его с	2	3
96	как к	2	3
97	он не	6	3
98	с ним	5	3
99	были бы	2	3
100	по себе	2	3
101	во всем	7	3
102	в то	3	3
103	но не	12	3
104	для нее	7	3
105	и потому	2	3
106	этого слова	2	3
107	нет и	3	3
108	что и	7	3
109	в своей	10	3
110	так и	2	3
111	на самом	3	3
112	менее всего	6	3
113	к нему	12	3
114	деятельности и	2	3
115	в этой	2	3
116	в чем	4	3
117	и весь	2	2
118	себя и	2	2
119	котором мы	3	2
120	его и	2	2
121	эти момента	3	2
122	его к	2	2
123	входит в	3	2
124	а по	2	2
125	для нас	4	2
126	ни в	12	2
127	в свою	3	2
128	но для	2	2
129	один из	2	2
130	в нем	28	2
131	с ее	2	2
132	отношение к	5	2
133	в их	8	2
134	и других	2	2
135	на первом	2	2
136	лишь в	8	2
137	действительности в	2	2
138	не имеет	5	2
139	мышление и	2	2
140	должно быть	6	2
141	слово не	3	2
142	а в	4	2
143	всем его	3	2
144	в своих	3	2
145	и есть	9	2
146	но всегда	2	2
147	его в	5	2
148	и свой	2	2
149	к этому	2	2
150	вовсе не	7	2
151	но эта	5	2
152	и здесь	7	2
153	это значило	2	2
154	это единство	3	2
155	со всеми	2	2
156	этот факт	2	2
157	совершенно не	6	2
158	и делает	2	2
159	в современной	3	2
160	во всей	4	2
161	и она	2	2
162	ко всему	5	2
163	что не	3	2
164	из которых	2	2
165	могут быть	3	2
166	и ее	2	2
167	я могу	5	2
168	ничего не	3	2
