N	2gram	Bakhtin_Fr_2	Dialekti
1	и не	15	30
2	может быть	5	17
3	ничего не	2	17
4	то что	6	16
5	и в	49	15
6	как бы	11	14
7	так как	6	14
8	точки зрения	6	14
9	прежде всего	19	11
10	и вот	3	11
11	в том	3	11
12	не может	7	11
13	и все	3	11
14	в этом	15	11
15	с ее	3	10
16	том что	4	10
17	было бы	3	9
18	в виду	3	9
19	все это	9	9
20	это и	2	9
21	то же	7	9
22	с точки	5	9
23	ни в	3	8
24	в себе	4	8
25	и о	4	8
26	не только	17	8
27	и это	3	8
28	что в	2	7
29	что он	3	7
30	как и	11	7
31	и его	17	7
32	и вообще	3	7
33	только в	13	7
34	же время	6	6
35	хотя и	2	6
36	и даже	2	6
37	сказать что	6	6
38	вовсе не	10	6
39	в то	6	6
40	в меру	2	5
41	так и	6	5
42	в своем	5	5
43	на то	2	5
44	можно сказать	2	5
45	того чтобы	2	5
46	в ней	2	5
47	в нем	9	5
48	другими словами	3	5
49	таким образом	7	5
50	именно в	6	5
51	и на	17	5
52	о том	3	5
53	с его	5	5
54	в жизни	4	5
55	учение о	2	5
56	в смысле	2	5
57	и чисто	4	5
58	в сущности	8	5
59	в себя	6	5
60	но это	2	4
61	в этой	10	4
62	что они	2	4
63	есть в	2	4
64	один из	7	4
65	жизни и	7	4
66	но и	13	4
67	в особенности	5	4
68	так же	2	4
69	также и	3	4
70	и с	6	4
71	мы должны	2	4
72	лишь как	2	4
73	в одном	3	4
74	с их	6	4
75	еще не	2	4
76	в течение	3	4
77	тому как	2	4
78	в его	18	4
79	подобно тому	2	4
80	смысла и	2	3
81	та же	2	3
82	в собственном	3	3
83	и следовательно	2	3
84	совершенно не	2	3
85	в их	2	3
86	смысл и	2	3
87	отношения к	4	3
88	все эти	7	3
89	даже и	2	3
90	в истории	6	3
91	с ним	4	3
92	но в	4	3
93	сознания и	2	3
94	в одну	2	3
95	этот момент	4	3
96	мы уже	6	3
97	за пределы	2	3
98	в своей	5	3
99	и потому	5	3
100	мы можем	2	3
101	могут быть	2	3
102	в области	4	3
103	в противоположность	2	2
104	мы еще	2	2
105	и без	2	2
106	в отношении	2	2
107	из этих	5	2
108	человека и	3	2
109	на все	3	2
110	собственном смысле	2	2
111	без всякого	2	2
112	да и	3	2
113	но все	4	2
114	эти два	2	2
115	не дает	3	2
116	при этом	5	2
117	в самом	3	2
118	понять и	2	2
119	себе и	2	2
120	никогда не	5	2
121	из них	3	2
122	другой стороны	3	2
123	не было	4	2
124	мы находим	4	2
125	лишь в	4	2
126	во всем	3	2
127	но они	3	2
128	в них	13	2
129	сравнению с	2	2
130	и во	4	2
131	думать что	2	2
132	в ее	3	2
133	все же	7	2
134	сила и	2	2
135	в качестве	2	2
136	все что	2	2
137	но именно	3	2
138	одной из	2	2
139	никто не	2	2
140	в целях	2	2
141	в свое	4	2
142	по сравнению	2	2
143	во всех	6	2
144	вместе с	2	2
145	ее в	2	2
146	тех же	2	2
147	того как	2	2
148	жизнь и	2	2
149	очень много	2	2
150	во всяком	2	2
151	тем что	4	2
