N	2gram	Propp_Morf_1	Freidism
1	таким образом	21	24
2	и не	12	23
3	не может	14	20
4	точки зрения	2	19
5	прежде всего	9	18
6	и пр	37	15
7	в этом	14	15
8	мы можем	2	13
9	может быть	52	13
10	как и	3	11
11	как бы	3	11
12	то что	8	11
13	все эти	2	11
14	с точки	2	11
15	так и	6	10
16	как мы	6	10
17	самом деле	4	10
18	его в	2	10
19	но в	2	10
20	с его	2	9
21	и в	13	9
22	во всех	4	9
23	по отношению	4	9
24	что он	4	8
25	отношению к	4	8
26	еще не	3	8
27	он не	3	8
28	не только	4	8
29	то же	7	8
30	только в	2	8
31	так как	16	8
32	к нему	3	7
33	во всяком	2	7
34	один из	5	7
35	что же	2	7
36	сказать что	2	7
37	всяком случае	2	7
38	вовсе не	4	6
39	и ее	3	6
40	того что	3	6
41	хотя бы	4	6
42	и к	4	5
43	но мы	3	5
44	можно сказать	2	5
45	не в	3	5
46	в этой	2	5
47	в то	3	5
48	в большинстве	3	5
49	что такое	3	5
50	что в	8	5
51	но и	4	5
52	на самом	4	5
53	для того	2	5
54	а в	7	5
55	могут быть	16	5
56	с этим	11	5
57	в каком	2	5
58	мы должны	3	5
59	большинстве случаев	3	5
60	не менее	5	4
61	но не	4	4
62	и др	10	4
63	в этих	13	4
64	то ни	3	4
65	в пределах	3	4
66	если мы	5	4
67	в собственном	3	4
68	к тому	4	4
69	об этом	4	4
70	на этом	3	4
71	в последнем	2	4
72	смысле слова	4	4
73	от того	3	4
74	все же	7	4
75	и за	2	4
76	уже не	2	4
77	того чтобы	3	4
78	и для	2	4
79	совсем не	3	4
80	в которой	3	4
81	мы не	8	4
82	этот вопрос	2	4
83	потому что	3	4
84	во время	6	4
85	себя и	2	4
86	говорить о	3	4
87	не могут	4	3
88	главным образом	4	3
89	если бы	2	3
90	и есть	2	3
91	тому что	4	3
92	во втором	3	3
93	на другие	2	3
94	и как	5	3
95	но это	6	3
96	учение о	3	3
97	по своему	2	3
98	случае не	3	3
99	она не	2	3
100	было бы	3	3
101	бы то	3	3
102	сказать о	2	3
103	на него	3	3
104	собственном смысле	3	3
105	где оно	2	3
106	со стороны	3	3
107	приводит к	2	3
108	как в	3	3
109	и что	2	3
110	и по	2	3
111	мы имеем	9	3
112	и этим	5	3
113	одна из	4	3
114	не является	3	3
115	есть и	4	2
116	в самых	2	2
117	этого не	2	2
118	но все	3	2
119	и другие	6	2
120	это уже	3	2
121	быть и	2	2
122	в нашем	3	2
123	его и	2	2
124	между собой	4	2
125	чаще всего	7	2
126	в какой	3	2
127	по всему	2	2
128	с другой	8	2
129	это не	6	2
130	оно не	2	2
131	к этому	3	2
132	таких случаях	2	2
133	тем не	5	2
134	для нас	2	2
135	ни было	2	2
136	это и	2	2
137	том что	4	2
138	самого себя	2	2
139	они и	3	2
140	в глаза	2	2
141	не существует	3	2
142	а не	11	2
143	из них	3	2
144	что мы	2	2
145	но для	2	2
146	но если	7	2
147	на работу	2	2
148	дело не	2	2
149	что она	2	2
150	и таким	2	2
151	а с	2	2
152	заметить что	8	2
153	так же	3	2
154	мы видим	13	2
155	в таких	2	2
156	можно сделать	2	2
157	что и	7	2
158	но как	2	2
159	в другом	2	2
160	при помощи	9	2
161	в первом	3	2
162	тех же	4	2
163	как это	3	2
164	оно может	3	2
165	это было	3	2
