N	2gram	Trubetskoy_1	Problemy
1	и в	23	34
2	и не	8	29
3	как бы	10	27
4	что он	7	23
5	в его	5	22
6	может быть	16	19
7	в нем	3	19
8	не может	17	19
9	и все	7	19
10	как и	9	18
11	но в	4	16
12	все это	11	16
13	в этом	12	16
14	и с	5	15
15	прежде всего	3	15
16	он не	3	15
17	то же	4	14
18	к нему	2	14
19	самом деле	12	13
20	для него	2	13
21	но и	9	12
22	же время	2	12
23	и к	5	12
24	потому что	9	12
25	в то	6	12
26	вовсе не	2	11
27	в сущности	2	11
28	то что	18	11
29	на самом	7	11
30	не только	7	10
31	не в	8	9
32	никогда не	4	8
33	себя и	2	8
34	в самом	8	8
35	так же	8	8
36	точки зрения	13	8
37	с ним	6	8
38	что же	2	8
39	и для	6	8
40	в другом	2	8
41	я не	2	7
42	что в	8	7
43	этого слова	2	7
44	все же	13	7
45	на него	2	7
46	как мы	2	7
47	как будто	5	7
48	что они	2	6
49	от себя	2	6
50	отношение к	4	6
51	что у	2	6
52	не знает	2	6
53	и на	6	6
54	с ними	2	6
55	от него	3	6
56	мы уже	4	6
57	для себя	2	6
58	отношению к	9	6
59	так и	10	6
60	в себе	5	6
61	только в	6	6
62	что это	5	5
63	это не	3	5
64	и от	5	5
65	в конце	4	5
66	к тому	8	5
67	так что	5	5
68	но все	5	5
69	и что	8	5
70	того что	6	5
71	и сам	2	5
72	всяком случае	2	5
73	в целом	5	5
74	из них	5	5
75	по отношению	9	5
76	таким образом	31	5
77	лишь в	5	5
78	а в	3	5
79	и так	2	5
80	и наконец	3	5
81	мы должны	4	5
82	с тем	2	5
83	даже в	3	5
84	что и	7	5
85	и у	4	5
86	хотя бы	4	5
87	во всяком	2	5
88	на вопрос	4	4
89	но на	2	4
90	то ни	3	4
91	с другой	6	4
92	что все	5	4
93	ни было	2	4
94	на этом	2	4
95	у него	5	4
96	при этом	9	4
97	в общем	6	4
98	бы то	2	4
99	как к	5	4
100	все эти	19	4
101	но как	2	4
102	в начале	2	4
103	его в	5	4
104	так как	7	4
105	если бы	8	4
106	но не	2	4
107	еще не	5	4
108	в мире	6	4
109	с точки	8	4
110	в виде	4	4
111	я в	2	4
112	и это	3	4
113	вместе с	6	4
114	не менее	7	3
115	для этого	7	3
116	но так	2	3
117	он все	2	3
118	в такой	4	3
119	в том	30	3
120	что его	4	3
121	такой же	2	3
122	что с	5	3
123	но для	2	3
124	хотя и	4	3
125	в виду	2	3
126	в котором	2	3
127	с ее	2	3
128	мы видели	2	3
129	жизни и	2	3
130	другой стороны	5	3
131	должно быть	4	3
132	их в	2	3
133	в ней	3	3
134	говорить о	2	3
135	во всем	3	3
136	конце концов	4	3
137	бы в	3	3
138	том что	19	3
139	так чтобы	2	3
140	по своему	5	3
141	между тем	12	3
142	лишь о	2	3
143	только что	3	3
144	а с	4	3
145	сводится к	2	3
146	и то	4	3
147	далеко не	5	3
148	а между	8	3
149	не было	2	2
150	в сторону	2	2
151	тому что	2	2
152	ибо в	4	2
153	о них	2	2
154	столь же	5	2
155	с этой	3	2
156	та же	3	2
157	эти последние	2	2
158	именно потому	2	2
159	вследствие этого	2	2
160	вопрос о	3	2
161	этом случае	4	2
162	тем не	4	2
163	мы знаем	10	2
164	мы и	2	2
165	нет в	2	2
166	и если	6	2
167	друг с	9	2
168	время от	2	2
169	с уже	2	2
170	чтобы все	3	2
171	в эти	3	2
172	друг друга	2	2
173	отличается от	6	2
174	в своем	10	2
175	и только	2	2
176	которых мы	3	2
177	что оно	3	2
178	те же	2	2
179	как на	4	2
180	от времени	2	2
181	каждый из	3	2
182	в которых	2	2
183	с этим	11	2
184	на одном	2	2
185	самого себя	4	2
186	о том	7	2
187	с которыми	2	2
188	почти все	2	2
189	на нее	2	2
190	признать что	3	2
191	всех этих	4	2
192	можно лишь	2	2
193	отнюдь не	2	2
194	в них	2	2
195	он должен	2	2
196	в жизни	3	2
197	конечно в	2	2
198	и того	3	2
199	а к	2	2
200	то в	2	2
201	того же	9	2
202	с другом	9	2
203	тот же	3	2
204	было бы	3	2
205	конечно не	3	2
206	во всех	10	2
207	как для	3	2
208	и потому	3	2
209	быть и	5	2
210	тому же	6	2
211	жизнь и	3	2
212	но с	2	2
213	в которой	5	2
214	и без	5	2
215	между двумя	5	2
216	не то	3	2
217	и ее	2	2
218	всех тех	2	2
219	и вообще	3	2
220	этими двумя	2	2
221	отличие от	3	2
222	же не	3	2
223	все его	2	2
