N	2gram	Nazirov_Tr_1	EvropaiC
1	в том	2	31
2	и в	18	24
3	том что	4	20
4	все эти	3	19
5	не может	5	18
6	то что	4	17
7	может быть	7	15
8	все же	5	15
9	в своем	3	12
10	в этом	9	12
11	все это	4	11
12	как бы	7	10
13	так и	5	10
14	при этом	3	9
15	как и	5	9
16	что в	4	9
17	не в	2	8
18	в самом	2	8
19	так же	4	8
20	и все	4	8
21	к тому	2	7
22	но и	4	7
23	и не	7	7
24	и что	4	7
25	о том	2	7
26	что он	6	7
27	так что	2	6
28	в этой	4	6
29	несмотря на	5	6
30	и на	7	6
31	с ним	3	6
32	еще не	4	6
33	что и	2	6
34	в мире	3	6
35	что это	5	5
36	столь же	2	5
37	что все	2	5
38	у него	6	5
39	что с	3	5
40	в целом	4	5
41	и с	7	5
42	потому что	2	5
43	его в	2	5
44	но в	6	5
45	ничем не	2	5
46	в то	5	5
47	в его	3	5
48	не только	8	5
49	но все	2	5
50	в себе	4	5
51	как будто	3	5
52	не могут	2	4
53	никогда не	2	4
54	в конце	3	4
55	в дальнейшем	5	4
56	отношение к	2	4
57	не так	2	4
58	должно быть	3	4
59	и то	2	4
60	он не	2	4
61	то же	5	4
62	в таком	2	4
63	в виде	2	4
64	состоит из	2	4
65	вопрос о	2	3
66	как у	2	3
67	в нем	4	3
68	данном случае	2	3
69	это не	5	3
70	с тем	2	3
71	прежде всего	4	3
72	даже если	2	3
73	жизнь и	3	3
74	в данном	2	3
75	и это	2	3
76	отличие от	2	3
77	в частности	2	2
78	что эти	2	2
79	для него	3	2
80	же время	6	2
81	и сам	3	2
82	нет в	2	2
83	к нему	3	2
84	с ее	3	2
85	и до	2	2
86	что она	2	2
87	то и	2	2
88	между этими	2	2
89	в глазах	2	2
90	то есть	3	2
91	отнюдь не	3	2
92	одна из	2	2
93	никто не	3	2
94	тем самым	3	2
95	и ее	2	2
96	этими двумя	2	2
