N	2gram	Losev_Prob_4	StatiiOP
1	и в	20	25
2	в этом	9	24
3	у пушкина	3	22
4	в том	20	20
5	что в	3	19
6	что он	8	19
7	может быть	9	19
8	тем что	3	19
9	что это	2	16
10	том что	12	15
11	в этой	4	14
12	в его	3	12
13	то что	15	12
14	не только	24	12
15	в этих	5	11
16	так что	6	11
17	прежде всего	11	10
18	таким образом	8	10
19	и не	28	10
20	но и	14	9
21	и т	4	8
22	все это	9	8
23	о том	5	8
24	это было	2	8
25	это не	7	7
26	было бы	14	7
27	с этим	4	7
28	не может	5	7
29	точки зрения	14	7
30	в то	4	7
31	в конце	2	6
32	не в	13	6
33	только в	23	6
34	как бы	4	6
35	как в	5	6
36	а в	4	6
37	и на	3	6
38	в области	3	6
39	то же	7	5
40	независимо от	3	5
41	в них	5	5
42	потому что	15	5
43	с другой	7	5
44	ни в	17	5
45	об этом	6	5
46	говорит что	2	5
47	такого рода	7	5
48	в котором	2	5
49	и это	2	5
50	а не	7	5
51	другой стороны	6	5
52	он не	2	5
53	так и	10	5
54	мы имеем	6	5
55	но в	8	5
56	с тем	4	4
57	всяком случае	4	4
58	по крайней	6	4
59	в жизни	3	4
60	этом смысле	3	4
61	была бы	2	4
62	в смысле	5	4
63	крайней мере	6	4
64	у нас	14	4
65	как и	6	4
66	это есть	3	4
67	но это	6	4
68	в начале	3	4
69	то в	2	4
70	что здесь	6	4
71	в качестве	10	4
72	можно сказать	5	4
73	если бы	8	4
74	и к	3	4
75	на его	2	4
76	в ней	7	4
77	к ней	2	4
78	относится к	2	4
79	а также	6	4
80	и тем	7	4
81	в своей	4	4
82	из этого	3	4
83	отличается от	4	4
84	не было	3	4
85	из которых	3	4
86	с точки	11	4
87	в чем	2	4
88	к нему	3	4
89	и для	4	4
90	и с	7	4
91	время как	2	4
92	можно назвать	2	4
93	сказать что	7	4
94	во всяком	8	4
95	в каком	6	4
96	все же	2	4
97	xix века	2	4
98	в которой	2	4
99	то время	2	4
100	уже в	4	3
101	с его	2	3
102	и более	3	3
103	все они	3	3
104	в какой	4	3
105	это произведение	3	3
106	в стихотворении	2	3
107	всех этих	6	3
108	он был	3	3
109	для него	3	3
110	тем более	4	3
111	и что	2	3
112	кроме того	4	3
113	нет в	2	3
114	и если	5	3
115	несмотря на	4	3
116	между прочим	3	3
117	о которых	2	3
118	и наконец	4	3
119	все эти	16	3
120	нет никакого	3	3
121	не является	10	3
122	по этому	2	3
123	как раз	4	3
124	в связи	3	3
125	уже не	5	3
126	что мы	3	3
127	не так	3	3
128	другое дело	2	3
129	и его	10	3
130	в виде	22	3
131	говорить о	2	3
132	в другом	3	3
133	связи с	3	3
134	так как	5	3
135	все время	2	2
136	при помощи	10	2
137	не менее	10	2
138	для его	2	2
139	себе отчет	2	2
140	для этого	2	2
141	как о	3	2
142	но они	2	2
143	и во	4	2
144	вовсе не	21	2
145	и ее	4	2
146	что именно	2	2
147	или иной	13	2
148	к тому	3	2
149	как мы	3	2
150	без всякого	4	2
151	что его	4	2
152	если и	3	2
153	но все	3	2
154	что они	2	2
155	так чтобы	2	2
156	есть в	7	2
157	каком смысле	2	2
158	но не	5	2
159	времени и	4	2
160	а то	2	2
161	того же	2	2
162	еще не	7	2
163	и может	2	2
164	в это	2	2
165	одной из	4	2
166	в самом	2	2
167	во всех	4	2
168	том чтобы	2	2
169	в виду	6	2
170	на себе	3	2
171	существуют в	2	2
172	нет и	2	2
173	здесь нет	3	2
174	тем не	10	2
175	каждый раз	5	2
176	отчет в	4	2
177	вместе с	5	2
178	дело не	3	2
179	и тогда	2	2
180	только что	2	2
181	и только	4	2
182	в отношении	4	2
183	т д	3	2
184	с ее	2	2
185	не просто	16	2
186	мы находим	2	2
187	эту комедию	2	2
188	заключается в	2	2
189	самом деле	3	2
190	для того	3	2
191	что не	4	2
192	и по	2	2
193	мы не	7	2
194	для искусства	3	2
195	или в	5	2
196	между собою	2	2
197	то он	2	2
198	в результате	8	2
199	то и	5	2
200	ни на	3	2
201	имеем в	3	2
202	но как	3	2
203	том смысле	2	2
204	и ни	5	2
205	не имеет	4	2
206	в каждой	3	2
207	то есть	27	2
