N	2gram	Berdyaev_M_2	Myslijsy
1	потому что	12	33
2	то что	5	29
3	может быть	21	26
4	в том	3	23
5	и в	46	23
6	в этом	20	23
7	и не	18	18
8	что в	4	17
9	только в	3	15
10	как и	13	14
11	в себе	10	14
12	то же	5	14
13	того что	6	14
14	так как	8	14
15	если бы	3	13
16	том что	4	12
17	не было	11	12
18	а не	13	12
19	по себе	2	11
20	но и	15	11
21	не в	9	11
22	не может	15	11
23	и потому	7	10
24	по отношению	2	10
25	не только	18	10
26	тем что	3	10
27	не есть	13	9
28	между тем	2	9
29	в своем	8	8
30	тогда когда	2	8
31	отношению к	2	8
32	сказать что	3	8
33	о том	3	8
34	но в	10	8
35	что это	6	7
36	это не	5	7
37	в нем	22	7
38	что и	4	7
39	и что	2	7
40	как в	7	7
41	и к	7	6
42	такой степени	2	6
43	мысль о	2	6
44	для того	5	6
45	вместе с	2	6
46	того как	3	6
47	человеческого духа	5	6
48	что не	2	6
49	в которой	2	6
50	так и	4	6
51	уже в	2	5
52	так что	2	5
53	для него	18	5
54	хотя и	2	5
55	в его	5	5
56	как бы	8	5
57	к нему	2	5
58	бы и	5	5
59	что же	2	5
60	должно быть	2	5
61	а в	2	5
62	с ним	3	5
63	есть в	3	5
64	не имеет	4	5
65	думать что	4	4
66	и та	2	4
67	и все	5	4
68	что все	5	4
69	быть может	2	4
70	что он	7	4
71	есть не	5	4
72	есть уже	4	4
73	до сих	3	4
74	со своим	2	4
75	от того	3	4
76	сам по	2	4
77	сих пор	3	4
78	да и	2	4
79	того чтобы	4	4
80	хотя бы	7	4
81	для человека	3	4
82	так же	6	4
83	когда человек	2	4
84	точки зрения	2	4
85	его в	3	4
86	и с	3	4
87	себе в	2	3
88	и есть	8	3
89	никогда не	18	3
90	связи с	2	3
91	в этих	2	3
92	в них	3	3
93	человека и	7	3
94	не всегда	2	3
95	что человек	2	3
96	мысль что	4	3
97	но это	8	3
98	не будет	3	3
99	было в	3	3
100	быть назван	2	3
101	в действительности	2	3
102	не от	2	3
103	и если	2	3
104	к тому	5	3
105	на его	2	3
106	в самом	5	3
107	в каждом	3	3
108	нет ничего	3	3
109	что есть	2	3
110	бы не	2	3
111	той же	3	3
112	в разных	2	3
113	все равно	3	3
114	и других	2	3
115	что у	4	3
116	те же	5	3
117	уже не	4	3
118	лишь в	2	3
119	более чем	2	3
120	должны быть	4	3
121	ведет к	13	3
122	и на	3	3
123	это есть	2	3
124	в мысли	2	3
125	то в	2	3
126	и тот	2	3
127	образа и	2	3
128	не существует	3	2
129	тому как	2	2
130	я не	5	2
131	иное как	3	2
132	в нашем	7	2
133	тому что	4	2
134	все что	4	2
135	превращается в	2	2
136	оно не	2	2
137	то он	2	2
138	же что	2	2
139	в образе	3	2
140	вопрос о	6	2
141	человек не	7	2
142	отношение к	8	2
143	и здесь	6	2
144	у нас	11	2
145	чем в	2	2
146	лишь один	2	2
147	есть и	3	2
148	в свою	4	2
149	после того	2	2
150	не что	3	2
151	одна и	3	2
152	она не	8	2
153	тот же	2	2
154	в сущности	2	2
155	не могу	6	2
156	с которым	3	2
157	в ней	11	2
158	он не	10	2
159	один из	5	2
160	и это	5	2
161	в мире	7	2
162	что она	5	2
163	мы видим	2	2
164	и для	7	2
165	еще более	2	2
166	человека в	14	2
167	но эта	2	2
168	не так	3	2
169	друг друга	12	2
170	и его	5	2
171	есть лишь	17	2
172	можно было	2	2
173	духа и	3	2
174	тех которые	3	2
175	нас в	2	2
176	в своих	3	2
177	в более	2	2
178	к ней	2	2
179	подобно тому	2	2
180	что иное	3	2
181	бы в	2	2
182	от его	2	2
183	человеческой природы	7	2
184	эта мысль	2	2
185	быть и	2	2
186	на деле	4	2
