N	2gram	Voloshinov_1	VrazhdaK
1	не только	27	9
2	в этом	10	8
3	и в	38	8
4	но и	13	7
5	то что	8	7
6	и все	4	7
7	в котором	3	6
8	в нем	4	6
9	все же	7	6
10	и даже	3	6
11	как и	10	6
12	в начале	3	6
13	но в	5	6
14	и с	5	6
15	то же	14	5
16	не было	2	5
17	и не	14	5
18	об этом	3	5
19	между тем	3	5
20	в то	9	5
21	же время	7	5
22	уже в	5	4
23	для нас	3	4
24	как бы	28	4
25	все это	4	4
26	целый ряд	3	4
27	это не	3	4
28	что он	2	4
29	так же	4	4
30	с ним	2	4
31	в своих	2	4
32	может быть	13	4
33	при этом	9	4
34	несмотря на	2	4
35	о том	4	4
36	в ней	8	4
37	в виду	3	4
38	и уже	3	3
39	с его	7	3
40	связи с	3	3
41	что у	3	3
42	эти слова	8	3
43	в связи	2	3
44	в конце	6	3
45	к этому	2	3
46	человека в	2	3
47	в том	2	3
48	и его	7	3
49	том что	3	3
50	и как	9	3
51	тем что	2	3
52	в его	6	3
53	его в	4	3
54	он не	2	3
55	и т.п	21	2
56	место в	2	2
57	а с	5	2
58	в своей	2	2
59	и это	7	2
60	из них	3	2
61	никогда не	7	2
62	вместе с	5	2
63	отнюдь не	10	2
64	его и	3	2
65	человека с	2	2
66	не может	12	2
67	а в	5	2
68	отношения к	3	2
69	таким образом	7	2
70	но это	2	2
71	в той	5	2
72	уже не	4	2
73	не мог	3	2
74	и он	2	2
75	с точки	5	2
76	в этой	6	2
77	и то	3	2
78	их в	3	2
79	но как	2	2
80	точки зрения	10	2
81	в свою	6	2
82	в себе	9	2
83	отношение к	2	2
84	для него	3	2
85	еще не	3	2
86	на это	4	2
87	в мире	2	2
88	ответ на	2	2
