N	2gram	Potebnia_M_4	Analitik
1	не только	10	22
2	тогда как	4	20
3	и в	23	18
4	как и	14	14
5	так и	6	14
6	в этом	23	14
7	но и	11	13
8	и его	2	13
9	том что	12	12
10	и не	18	12
11	при этом	15	11
12	а в	5	10
13	как бы	5	10
14	то есть	34	10
15	может быть	26	9
16	со стороны	3	9
17	что в	17	9
18	а не	12	9
19	в том	23	9
20	и даже	2	8
21	с другой	2	7
22	в его	5	7
23	отношению к	8	7
24	по отношению	10	7
25	к тому	3	6
26	не в	11	6
27	для него	5	6
28	еще не	3	6
29	он не	2	6
30	о том	8	6
31	никогда не	3	5
32	в свою	2	5
33	в самом	3	5
34	что и	7	5
35	в мире	2	5
36	в сущности	2	5
37	лишь в	3	5
38	уже не	3	5
39	той же	3	5
40	в слове	22	5
41	между тем	9	5
42	мы имеем	4	5
43	я в	2	5
44	не менее	5	4
45	в своем	8	4
46	столь же	2	4
47	по крайней	5	4
48	в одном	4	4
49	состоит в	2	4
50	по себе	11	4
51	что он	4	4
52	можно сказать	4	4
53	и к	6	4
54	и как	2	4
55	имеем дело	2	4
56	не есть	9	4
57	крайней мере	5	4
58	внимание на	5	4
59	таким образом	24	4
60	тем самым	4	4
61	и на	3	4
62	в данном	4	4
63	что по	2	4
64	уже в	5	3
65	в каждом	3	3
66	и без	2	3
67	из этих	2	3
68	не всегда	3	3
69	в ее	2	3
70	было бы	8	3
71	же время	3	3
72	указывает на	2	3
73	только не	3	3
74	по поводу	4	3
75	мысль о	6	3
76	во сне	2	3
77	известной степени	3	3
78	не будет	3	3
79	дело не	2	3
80	данном случае	2	3
81	как в	7	3
82	все это	5	3
83	так в	3	3
84	то же	14	3
85	не было	12	3
86	именно в	3	3
87	до известной	2	3
88	что не	6	3
89	мы не	8	3
90	с этим	7	3
91	точки зрения	4	3
92	подобно тому	2	3
93	говорить о	5	3
94	в то	4	3
95	его в	4	3
96	ко второму	2	3
97	нашего времени	3	3
98	бы и	5	2
99	могут быть	7	2
100	говоря словами	2	2
101	все эти	3	2
102	в них	3	2
103	это не	7	2
104	не как	2	2
105	с нею	3	2
106	в нем	7	2
107	есть не	4	2
108	тем не	4	2
109	кто говорит	2	2
110	да и	4	2
111	то в	3	2
112	с тем	7	2
113	по своему	2	2
114	очевидно что	7	2
115	в большинстве	2	2
116	тех пор	6	2
117	не от	3	2
118	например в	3	2
119	на его	3	2
120	могли бы	4	2
121	значительной степени	2	2
122	нам представляется	2	2
123	хотя и	5	2
124	в ней	2	2
125	об этом	2	2
126	от его	2	2
127	и потому	10	2
128	всяком случае	3	2
129	даже в	2	2
130	один из	2	2
131	не с	2	2
132	нам кажется	2	2
133	то что	29	2
134	в первом	3	2
135	в сравнении	4	2
136	вместе с	6	2
137	судя по	2	2
138	что она	2	2
139	уже по	2	2
140	не может	11	2
141	к первому	2	2
142	те же	3	2
143	в той	4	2
144	самом деле	3	2
145	более чем	3	2
146	с точки	3	2
147	и по	3	2
148	и для	2	2
149	и прежде	2	2
150	в глазах	2	2
151	тому как	2	2
152	его части	2	2
153	сказать что	8	2
154	во всяком	5	2
155	мы можем	10	2
156	тем что	10	2
157	в себе	14	2
158	и здесь	2	2
159	в искусстве	3	2
160	что мы	10	2
161	только в	15	2
162	этого слова	7	2
163	и все	4	2
164	хотя в	2	2
165	так сказать	5	2
166	там где	3	2
167	когда мы	6	2
168	но в	8	2
