N	2gram	Vinokur_St_2	Dialekti
1	и не	9	30
2	по себе	3	25
3	т е	10	25
4	и т	9	21
5	т д	6	19
6	и в	29	18
7	ничего не	4	17
8	может быть	2	17
9	точки зрения	5	17
10	в нем	4	16
11	ни в	3	15
12	так что	3	15
13	не имеет	2	15
14	а не	5	14
15	потому что	9	14
16	что в	19	13
17	то что	11	13
18	не только	19	13
19	и даже	3	13
20	если бы	2	12
21	было бы	5	12
22	и что	6	12
23	с точки	2	12
24	в этом	21	12
25	не может	2	12
26	что это	3	11
27	что он	13	11
28	как бы	5	11
29	все это	11	11
30	в себе	2	11
31	так как	2	11
32	прежде всего	5	10
33	несмотря на	2	10
34	то же	2	10
35	что такое	2	10
36	сказать что	2	10
37	никогда не	3	9
38	в том	27	9
39	так и	9	9
40	том что	27	9
41	но это	3	8
42	совершенно не	2	8
43	в каком	2	8
44	вовсе не	6	7
45	и как	2	7
46	но и	19	7
47	также и	2	7
48	с другой	4	6
49	хотя бы	3	6
50	никак не	2	6
51	ни с	2	6
52	не было	3	6
53	не в	4	6
54	его не	3	6
55	в то	2	6
56	не то	3	6
57	но в	8	6
58	я не	7	5
59	в этих	3	5
60	в своем	9	5
61	на то	2	5
62	говорит о	2	5
63	и пр	8	5
64	все же	6	5
65	в отношении	2	5
66	в особенности	2	5
67	и он	3	5
68	и с	4	5
69	в виду	7	5
70	и более	2	4
71	у пушкина	12	4
72	в конце	2	4
73	к тому	10	4
74	что эта	3	4
75	во всяком	3	4
76	об этом	6	4
77	но не	3	4
78	хотя и	4	4
79	в котором	7	4
80	так же	3	4
81	другой стороны	3	4
82	как раз	8	4
83	и вообще	2	4
84	о том	17	4
85	как он	2	4
86	как это	2	4
87	тому что	7	3
88	в них	2	3
89	не является	3	3
90	что и	2	3
91	меньше всего	3	3
92	только потому	2	3
93	что я	2	3
94	что они	2	3
95	более или	2	3
96	случае не	2	3
97	отношении к	3	3
98	и о	4	3
99	он не	9	3
100	только с	2	3
101	в его	13	3
102	и потому	2	3
103	даже в	2	3
104	или менее	2	3
105	в их	3	3
106	в самом	7	3
107	еще и	3	3
108	еще более	4	3
109	но все	7	3
110	но с	4	3
111	на самом	3	3
112	самом деле	3	3
113	была бы	5	3
114	только что	2	3
115	в данном	2	3
116	в ней	7	3
117	только в	2	3
118	утверждать что	2	3
119	иметь в	3	3
120	как у	3	2
121	не менее	3	2
122	но они	2	2
123	не был	3	2
124	находим в	2	2
125	того что	5	2
126	же как	3	2
127	именно в	4	2
128	в частности	4	2
129	в качестве	5	2
130	как в	3	2
131	с этой	2	2
132	для своего	2	2
133	к этому	4	2
134	вопрос о	6	2
135	и сейчас	3	2
136	о которых	2	2
137	очень мало	2	2
138	ни было	2	2
139	как и	2	2
140	с той	2	2
141	что именно	2	2
142	чем он	2	2
143	тому же	3	2
144	для него	4	2
145	до сих	6	2
146	для того	7	2
147	о чем	5	2
148	всяком случае	3	2
149	из них	3	2
150	в своей	7	2
151	дело не	2	2
152	сих пор	5	2
153	со стороны	2	2
154	нас не	2	2
155	как например	2	2
156	т п	3	2
157	с этим	3	2
158	а с	3	2
159	этом отношении	9	2
160	все эти	2	2
161	в другом	4	2
162	и это	2	2
163	в полной	2	2
164	почти все	2	2
165	это было	2	2
