N	2gram	Tiupa_Anal_1	Psycholo
1	то что	6	44
2	и в	18	33
3	в этом	13	28
4	как бы	5	25
5	потому что	2	24
6	для того	4	23
7	может быть	29	22
8	том что	12	22
9	того чтобы	3	22
10	что в	5	21
11	в том	27	21
12	о том	5	20
13	что он	3	20
14	таким образом	3	13
15	и не	21	13
16	то есть	11	13
17	к тому	7	12
18	в самом	6	12
19	и все	3	12
20	так как	2	12
21	было бы	2	12
22	самом деле	2	12
23	он не	3	11
24	не может	22	10
25	в его	13	10
26	если бы	3	10
27	в этой	5	9
28	по себе	4	9
29	то же	9	9
30	для этого	2	8
31	вместе с	4	8
32	как будто	3	8
33	в нем	3	7
34	не только	15	7
35	это не	6	6
36	и т	3	6
37	все эти	2	6
38	точки зрения	6	6
39	что мы	3	6
40	же самое	2	6
41	в сущности	6	6
42	на самом	2	6
43	а не	17	6
44	всякий раз	3	6
45	в себе	11	6
46	никогда не	2	5
47	в какой	2	5
48	и как	5	5
49	в целом	5	5
50	и на	5	5
51	вовсе не	2	5
52	как он	3	5
53	с ним	4	5
54	как и	13	5
55	и его	5	5
56	все же	4	5
57	смысла и	3	4
58	и есть	3	4
59	в частности	19	4
60	том чтобы	7	4
61	из них	2	4
62	для чего	2	4
63	смысл и	3	4
64	а в	9	4
65	не просто	2	4
66	того что	4	4
67	при помощи	2	4
68	никто не	3	4
69	и о	2	4
70	о нем	3	4
71	себя в	6	4
72	не будет	3	4
73	в своей	6	4
74	в двух	2	4
75	как мы	2	4
76	что не	3	4
77	с точки	4	4
78	той же	2	4
79	в таком	3	4
80	исходя из	4	4
81	могла бы	3	4
82	только в	6	4
83	в которой	2	4
84	с одной	3	3
85	что именно	2	3
86	обратиться к	3	3
87	в мире	8	3
88	ни в	4	3
89	тому же	4	3
90	должно быть	2	3
91	на этом	2	3
92	в пределах	2	3
93	одной стороны	3	3
94	какой бы	2	3
95	но и	17	3
96	и до	2	3
97	в то	9	3
98	события в	2	3
99	в основе	6	3
100	но не	10	3
101	сами по	2	3
102	что и	3	3
103	так и	4	3
104	дело с	4	3
105	тем самым	7	3
106	из которых	4	3
107	т п	3	3
108	далеко не	6	3
109	этого слова	7	3
110	в той	8	3
111	место в	3	2
112	его и	2	2
113	столь же	4	2
114	с другой	4	2
115	из этих	2	2
116	была бы	2	2
117	на все	2	2
118	прежде всего	6	2
119	вопрос о	2	2
120	такой же	2	2
121	времени и	6	2
122	же время	6	2
123	при этом	12	2
124	и та	2	2
125	и является	2	2
126	в котором	3	2
127	не является	2	2
128	один из	2	2
129	она есть	2	2
130	в их	5	2
131	другой стороны	2	2
132	быть не	3	2
133	именно в	4	2
134	и с	2	2
135	могли бы	2	2
136	также и	2	2
137	не в	14	2
138	в художественном	3	2
139	и потому	2	2
140	на примере	2	2
141	бы не	2	2
142	мы имеем	6	2
143	но в	8	2
144	а как	2	2
145	с его	3	2
146	только не	2	2
147	он может	2	2
148	создания и	2	2
149	думать что	2	2
150	и к	3	2
151	ли он	2	2
152	в искусстве	2	2
153	представляет собой	16	2
154	можно сказать	2	2
155	читателя в	2	2
156	иначе говоря	9	2
157	однако не	3	2
158	даже в	3	2
159	бы то	3	2
160	ни одно	2	2
161	не все	2	2
162	как говорит	2	2
163	со стороны	2	2
164	а с	3	2
165	сводится к	5	2
166	хотя бы	3	2
167	творческий акт	2	2
168	тому как	3	2
169	и то	2	2
170	между двумя	3	2
171	едва ли	2	2
